,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,7,AAWD76,False,False,False,0,Naive,Naive,Naive,471,Unknown,Unknown,2
1,72,AAWD76,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,1
2,41,AAWD76,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,1
3,13,AAWD76,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
4,35,AAWD76,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
5,30,AAWD76,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,2
6,97,AAWD76,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,1
7,71,AAWD76,False,False,False,0,Naive,Naive,Naive,373,Unknown,Unknown,1
8,17,AAWD76,False,False,False,0,Naive,Naive,Naive,167,Unknown,Unknown,1
9,20,AAWD76,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,1
10,58,AAWD76,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
11,51,AAWD76,False,False,False,0,Naive,Naive,Naive,456,Unknown,Unknown,1
12,90,AAWD76,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,1
13,82,AAWD76,False,False,False,0,Naive,Naive,Naive,370,Unknown,Unknown,1
14,80,AAWD76,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,1
15,55,AAWD76,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,1
16,86,AAWD76,False,False,False,0,Naive,Naive,Naive,308,Unknown,Unknown,1
17,47,AAWD76,False,False,False,0,Naive,Naive,Naive,255,Unknown,Unknown,2
18,44,AAWD76,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,2
19,78,AAWD76,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,1
20,60,AAWD76,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,2
