,source,target
0,7.0,57.0
0,59.0,49.0
0,30.0,29.0
0,27.0,13.0
0,49.0,34.0
0,22.0,41.0
0,88.0,35.0
0,80.0,7.0
0,86.0,5.0
0,48.0,84.0
0,18.0,99.0
0,29.0,73.0
0,63.0,78.0
0,9.0,19.0
0,50.0,76.0
0,35.0,1.0
0,60.0,62.0
0,67.0,48.0
0,96.0,44.0
0,13.0,27.0
0,61.0,68.0
0,6.0,24.0
0,41.0,37.0
0,33.0,14.0
0,60.0,13.0
0,22.0,41.0
0,84.0,67.0
0,39.0,52.0
0,103.0,78.0
0,100.0,64.0
0,98.0,83.0
0,90.0,48.0
0,95.0,39.0
0,3.0,36.0
0,97.0,18.0
0,35.0,1.0
0,26.0,15.0
0,48.0,89.0
0,46.0,59.0
0,19.0,26.0
0,77.0,92.0
0,42.0,102.0
0,34.0,93.0
0,60.0,91.0
0,75.0,96.0
0,93.0,59.0
0,70.0,38.0
0,18.0,26.0
0,36.0,52.0
0,16.0,28.0
0,101.0,1.0
0,78.0,89.0
0,90.0,48.0
0,103.0,60.0
0,57.0,25.0
0,105.0,104.0
0,56.0,7.0
0,8.0,65.0
0,14.0,103.0
0,60.0,13.0
0,98.0,83.0
0,35.0,101.0
0,23.0,18.0
0,82.0,44.0
0,35.0,45.0
0,78.0,60.0
0,60.0,107.0
0,4.0,62.0
0,92.0,70.0
0,4.0,54.0
0,13.0,33.0
0,91.0,27.0
0,93.0,34.0
0,102.0,93.0
0,14.0,103.0
0,40.0,72.0
0,18.0,26.0
0,65.0,108.0
0,32.0,28.0
0,25.0,50.0
0,99.0,64.0
0,93.0,105.0
0,81.0,24.0
0,4.0,54.0
0,91.0,78.0
0,46.0,72.0
0,39.0,52.0
0,103.0,112.0
0,26.0,23.0
0,74.0,40.0
0,93.0,34.0
0,76.0,68.0
0,28.0,113.0
0,2.0,12.0
0,50.0,76.0
0,99.0,9.0
0,83.0,109.0
0,27.0,97.0
0,56.0,80.0
0,45.0,95.0
0,106.0,90.0
0,111.0,93.0
0,48.0,106.0
0,89.0,48.0
0,106.0,13.0
0,1.0,87.0
0,15.0,35.0
0,65.0,108.0
0,91.0,27.0
0,97.0,91.0
0,46.0,74.0
0,49.0,29.0
0,84.0,89.0
0,61.0,79.0
0,90.0,106.0
0,26.0,23.0
0,57.0,25.0
0,29.0,42.0
0,111.0,105.0
0,97.0,27.0
0,34.0,111.0
0,70.0,77.0
0,34.0,93.0
0,98.0,80.0
0,66.0,90.0
0,62.0,4.0
0,16.0,32.0
0,14.0,103.0
0,99.0,9.0
0,44.0,75.0
0,110.0,97.0
0,36.0,3.0
0,86.0,82.0
0,96.0,44.0
0,13.0,60.0
0,116.0,107.0
0,62.0,18.0
0,111.0,115.0
0,5.0,86.0
0,65.0,108.0
0,27.0,110.0
0,24.0,114.0
0,8.0,65.0
0,61.0,79.0
0,2.0,12.0
0,111.0,49.0
0,107.0,13.0
0,65.0,114.0
0,71.0,63.0
0,3.0,36.0
0,65.0,24.0
0,39.0,101.0
0,87.0,21.0
0,51.0,16.0
0,103.0,112.0
0,82.0,44.0
0,90.0,106.0
0,102.0,105.0
0,103.0,78.0
0,97.0,110.0
0,76.0,56.0
0,99.0,15.0
0,26.0,62.0
0,31.0,99.0
0,89.0,27.0
0,96.0,92.0
0,117.0,5.0
0,46.0,40.0
0,82.0,117.0
0,101.0,45.0
0,60.0,107.0
0,83.0,109.0
0,91.0,60.0
0,65.0,108.0
0,44.0,5.0
0,35.0,101.0
0,82.0,117.0
0,14.0,103.0
0,119.0,44.0
0,107.0,13.0
0,93.0,115.0
0,31.0,15.0
0,115.0,105.0
0,76.0,56.0
0,60.0,89.0
0,87.0,21.0
0,102.0,42.0
0,99.0,31.0
0,104.0,49.0
0,102.0,111.0
0,39.0,45.0
0,5.0,119.0
0,107.0,110.0
0,69.0,32.0
0,25.0,47.0
0,54.0,74.0
0,57.0,47.0
0,84.0,91.0
0,78.0,63.0
0,86.0,82.0
0,24.0,108.0
0,89.0,107.0
0,111.0,42.0
0,27.0,84.0
0,13.0,116.0
0,14.0,103.0
0,62.0,60.0
0,86.0,119.0
0,34.0,29.0
0,116.0,110.0
0,14.0,89.0
0,107.0,14.0
0,64.0,15.0
0,42.0,121.0
0,75.0,50.0
0,87.0,6.0
0,105.0,115.0
0,12.0,28.0
0,35.0,101.0
0,119.0,5.0
0,24.0,8.0
0,60.0,107.0
0,14.0,103.0
0,93.0,115.0
0,11.0,23.0
0,69.0,86.0
0,79.0,106.0
0,83.0,109.0
0,74.0,40.0
0,27.0,110.0
0,86.0,32.0
0,18.0,91.0
0,99.0,31.0
0,71.0,61.0
0,98.0,56.0
0,93.0,105.0
0,4.0,19.0
0,118.0,63.0
0,76.0,90.0
0,104.0,54.0
0,14.0,112.0
0,108.0,24.0
0,24.0,114.0
0,13.0,120.0
0,65.0,108.0
0,2.0,81.0
0,18.0,84.0
0,103.0,60.0
0,102.0,42.0
0,114.0,65.0
0,108.0,122.0
0,78.0,123.0
0,121.0,111.0
0,106.0,71.0
0,106.0,79.0
0,12.0,113.0
0,64.0,15.0
0,100.0,78.0
0,90.0,109.0
0,27.0,110.0
0,35.0,101.0
0,13.0,116.0
0,93.0,115.0
0,104.0,102.0
0,99.0,62.0
0,4.0,19.0
0,103.0,112.0
0,84.0,124.0
0,120.0,27.0
0,104.0,42.0
0,116.0,120.0
0,65.0,108.0
0,69.0,51.0
0,60.0,118.0
0,87.0,64.0
0,80.0,50.0
0,9.0,1.0
0,15.0,87.0
0,104.0,121.0
0,83.0,90.0
0,93.0,105.0
0,27.0,110.0
0,42.0,29.0
0,28.0,113.0
0,83.0,109.0
0,122.0,108.0
0,74.0,54.0
0,103.0,112.0
0,24.0,114.0
0,120.0,13.0
0,112.0,63.0
0,10.0,51.0
0,101.0,31.0
0,74.0,91.0
0,112.0,118.0
0,118.0,60.0
0,13.0,116.0
0,42.0,102.0
0,23.0,95.0
0,125.0,115.0
0,62.0,99.0
0,51.0,69.0
0,1.0,21.0
0,96.0,60.0
0,104.0,49.0
0,106.0,83.0
0,91.0,54.0
0,47.0,117.0
0,63.0,123.0
0,18.0,124.0
0,60.0,116.0
0,115.0,125.0
0,79.0,110.0
0,122.0,126.0
0,71.0,96.0
0,87.0,21.0
0,128.0,13.0
0,77.0,86.0
0,79.0,71.0
0,124.0,84.0
0,35.0,101.0
0,21.0,1.0
0,128.0,120.0
0,29.0,102.0
0,14.0,112.0
0,83.0,109.0
0,50.0,80.0
0,103.0,14.0
0,115.0,93.0
0,91.0,74.0
0,31.0,95.0
0,84.0,105.0
0,112.0,103.0
0,24.0,114.0
0,126.0,108.0
0,12.0,122.0
0,115.0,105.0
0,24.0,28.0
0,107.0,63.0
0,42.0,121.0
0,13.0,120.0
0,95.0,129.0
0,27.0,125.0
0,14.0,128.0
0,120.0,116.0
0,120.0,107.0
0,52.0,23.0
0,72.0,104.0
0,93.0,84.0
0,77.0,38.0
0,79.0,27.0
0,98.0,75.0
0,80.0,50.0
0,6.0,87.0
0,27.0,110.0
0,84.0,115.0
0,126.0,122.0
0,100.0,78.0
0,34.0,111.0
0,90.0,106.0
0,35.0,101.0
0,61.0,5.0
0,64.0,21.0
0,83.0,98.0
0,83.0,109.0
0,12.0,126.0
0,101.0,37.0
0,13.0,96.0
0,89.0,100.0
