,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,42,GBfHfn,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,2
1,97,GBfHfn,False,False,False,0,Naive,Naive,Naive,341,Unknown,Unknown,2
2,41,GBfHfn,False,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,2
3,81,GBfHfn,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,2
4,12,GBfHfn,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,1
5,2,GBfHfn,False,False,False,0,Naive,Naive,Naive,66,Unknown,Unknown,2
6,80,GBfHfn,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,2
7,21,GBfHfn,False,False,False,0,Naive,Naive,Naive,262,Unknown,Unknown,2
8,38,GBfHfn,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,1
9,19,GBfHfn,False,False,False,1,Naive,Naive,Naive,351,Unknown,Unknown,1
10,74,GBfHfn,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,2
11,53,GBfHfn,False,False,False,0,Naive,Naive,Naive,161,Unknown,Unknown,1
12,86,GBfHfn,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,1
13,85,GBfHfn,False,False,False,0,Naive,Naive,Naive,396,Unknown,Unknown,2
14,57,GBfHfn,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,1
15,6,GBfHfn,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,1
16,98,GBfHfn,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,2
17,68,GBfHfn,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,2
18,58,GBfHfn,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,1
19,99,GBfHfn,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,2
20,90,GBfHfn,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,1
21,44,GBfHfn,False,False,False,0,Naive,Naive,Naive,150,Unknown,Unknown,1
22,51,GBfHfn,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,2
23,39,GBfHfn,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,2
24,65,GBfHfn,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,2
25,30,GBfHfn,False,False,False,0,Naive,Naive,Naive,81,Unknown,Unknown,1
26,66,GBfHfn,False,False,False,0,Naive,Naive,Naive,188,Unknown,Unknown,2
27,22,GBfHfn,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,1
28,83,GBfHfn,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,1
29,46,GBfHfn,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,2
30,10,GBfHfn,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,1
31,17,GBfHfn,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,2
32,59,GBfHfn,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,1
