,source,target
0,12.0,19.0
0,90.0,55.0
0,12.0,58.0
0,74.0,77.0
0,10.0,26.0
0,17.0,91.0
0,29.0,85.0
0,92.0,16.0
0,7.0,97.0
0,74.0,73.0
0,3.0,69.0
0,96.0,87.0
0,67.0,75.0
0,57.0,14.0
0,36.0,33.0
0,40.0,99.0
0,40.0,88.0
0,93.0,49.0
0,5.0,90.0
0,63.0,64.0
0,76.0,27.0
0,2.0,52.0
0,75.0,31.0
0,29.0,51.0
0,46.0,78.0
0,102.0,100.0
0,5.0,55.0
0,1.0,31.0
0,74.0,24.0
0,75.0,67.0
0,99.0,40.0
0,29.0,19.0
0,37.0,97.0
0,26.0,28.0
0,45.0,101.0
0,102.0,81.0
0,51.0,85.0
0,90.0,20.0
0,80.0,8.0
0,97.0,7.0
0,88.0,30.0
0,10.0,89.0
0,16.0,79.0
0,61.0,72.0
0,38.0,96.0
0,49.0,102.0
0,24.0,77.0
0,43.0,94.0
0,35.0,11.0
0,44.0,38.0
0,19.0,51.0
0,95.0,88.0
0,59.0,22.0
0,69.0,101.0
0,30.0,40.0
0,12.0,58.0
0,44.0,14.0
0,62.0,41.0
0,67.0,31.0
0,100.0,93.0
0,7.0,97.0
0,49.0,102.0
0,85.0,19.0
0,77.0,105.0
0,66.0,42.0
0,59.0,86.0
0,91.0,98.0
0,93.0,6.0
0,105.0,73.0
0,99.0,30.0
0,39.0,67.0
0,92.0,16.0
0,76.0,57.0
0,31.0,103.0
0,57.0,35.0
0,61.0,72.0
0,47.0,12.0
0,37.0,7.0
0,34.0,2.0
0,12.0,58.0
0,88.0,9.0
0,29.0,47.0
0,14.0,53.0
0,97.0,37.0
0,31.0,39.0
0,22.0,5.0
0,49.0,102.0
0,25.0,26.0
0,79.0,16.0
0,81.0,4.0
0,40.0,30.0
0,98.0,17.0
0,100.0,81.0
0,41.0,62.0
0,5.0,86.0
0,69.0,101.0
0,35.0,46.0
0,104.0,40.0
0,61.0,104.0
0,44.0,38.0
0,19.0,51.0
0,66.0,42.0
0,93.0,6.0
0,92.0,48.0
0,15.0,26.0
0,106.0,22.0
0,11.0,57.0
0,74.0,73.0
0,76.0,46.0
0,87.0,60.0
0,19.0,67.0
0,22.0,5.0
0,51.0,93.0
0,14.0,44.0
0,2.0,34.0
0,108.0,101.0
0,33.0,36.0
0,62.0,41.0
0,102.0,47.0
0,106.0,86.0
0,89.0,43.0
0,72.0,106.0
0,7.0,107.0
0,17.0,91.0
0,47.0,49.0
0,103.0,81.0
0,58.0,12.0
0,42.0,30.0
0,40.0,104.0
0,99.0,30.0
0,66.0,99.0
0,19.0,81.0
0,70.0,77.0
0,58.0,47.0
0,67.0,19.0
0,60.0,14.0
0,47.0,49.0
0,20.0,37.0
0,96.0,57.0
0,97.0,21.0
0,104.0,109.0
0,32.0,73.0
0,72.0,106.0
0,25.0,85.0
0,7.0,107.0
0,30.0,58.0
0,27.0,11.0
0,101.0,108.0
0,85.0,56.0
0,43.0,28.0
0,38.0,35.0
0,74.0,73.0
0,59.0,26.0
0,31.0,8.0
0,40.0,30.0
0,73.0,32.0
0,61.0,12.0
0,30.0,58.0
0,98.0,20.0
0,93.0,25.0
0,114.0,83.0
0,40.0,61.0
0,109.0,113.0
0,32.0,114.0
0,21.0,112.0
0,7.0,107.0
0,67.0,51.0
0,33.0,3.0
0,42.0,5.0
0,72.0,10.0
0,12.0,47.0
0,97.0,45.0
0,98.0,91.0
0,65.0,74.0
0,28.0,94.0
0,37.0,110.0
0,9.0,61.0
0,72.0,59.0
0,21.0,37.0
0,61.0,30.0
0,22.0,86.0
0,25.0,102.0
0,96.0,36.0
0,98.0,20.0
0,37.0,110.0
0,60.0,14.0
0,104.0,42.0
0,31.0,103.0
0,53.0,96.0
0,48.0,92.0
0,40.0,104.0
0,66.0,88.0
0,113.0,71.0
0,7.0,107.0
0,26.0,106.0
0,33.0,3.0
0,76.0,46.0
0,67.0,6.0
0,105.0,83.0
0,57.0,111.0
0,77.0,105.0
0,100.0,67.0
0,2.0,27.0
0,14.0,44.0
0,104.0,9.0
0,36.0,57.0
0,73.0,114.0
0,25.0,12.0
0,57.0,33.0
0,36.0,111.0
0,101.0,69.0
0,77.0,105.0
0,78.0,62.0
0,56.0,29.0
0,112.0,37.0
0,96.0,57.0
0,34.0,23.0
0,74.0,32.0
0,107.0,120.0
0,57.0,53.0
0,102.0,25.0
0,72.0,106.0
0,40.0,104.0
0,51.0,100.0
0,26.0,72.0
0,57.0,11.0
0,43.0,56.0
0,58.0,17.0
0,62.0,41.0
0,101.0,108.0
0,37.0,110.0
0,106.0,121.0
