,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,4,GwLpTI,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,1
1,66,GwLpTI,False,False,False,0,Naive,Naive,Naive,172,Unknown,Unknown,2
2,62,GwLpTI,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,1
3,80,GwLpTI,False,False,False,0,Naive,Naive,Naive,402,Unknown,Unknown,2
4,26,GwLpTI,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,1
5,24,GwLpTI,False,False,False,0,Naive,Naive,Naive,296,Unknown,Unknown,2
6,61,GwLpTI,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
7,76,GwLpTI,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,1
8,50,GwLpTI,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,2
9,32,GwLpTI,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,1
10,36,GwLpTI,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,1
11,97,GwLpTI,False,False,False,0,Naive,Naive,Naive,199,Unknown,Unknown,1
12,43,GwLpTI,False,False,False,0,Naive,Naive,Naive,459,Unknown,Unknown,1
13,77,GwLpTI,False,False,False,0,Naive,Naive,Naive,376,Unknown,Unknown,2
14,18,GwLpTI,False,False,False,0,Naive,Naive,Naive,133,Unknown,Unknown,1
15,5,GwLpTI,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,2
16,17,GwLpTI,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,1
17,38,GwLpTI,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
18,28,GwLpTI,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,1
19,14,GwLpTI,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,2
20,45,GwLpTI,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,1
21,1,GwLpTI,False,False,False,0,Naive,Naive,Naive,469,Unknown,Unknown,2
22,19,GwLpTI,False,False,False,0,Naive,Naive,Naive,99,Unknown,Unknown,1
23,95,GwLpTI,False,False,False,0,Naive,Naive,Naive,142,Unknown,Unknown,2
24,41,GwLpTI,False,False,False,0,Naive,Naive,Naive,198,Unknown,Unknown,1
25,33,GwLpTI,False,False,False,0,Naive,Naive,Naive,471,Unknown,Unknown,2
26,105,GwLpTI,False,False,False,0,Naive,Naive,Naive,11,93,False,2
27,10,GwLpTI,False,False,False,0,Naive,Naive,Naive,184,Unknown,Unknown,1
28,98,GwLpTI,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,2
29,67,GwLpTI,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,2
30,52,GwLpTI,False,False,False,0,Naive,Naive,Naive,70,Unknown,Unknown,1
31,86,GwLpTI,False,False,False,0,Naive,Naive,Naive,198,Unknown,Unknown,1
32,91,GwLpTI,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,1
33,37,GwLpTI,False,False,False,0,Naive,Naive,Naive,508,Unknown,Unknown,1
34,79,GwLpTI,False,False,False,0,Naive,Naive,Naive,79,Unknown,Unknown,2
35,75,GwLpTI,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,1
36,31,GwLpTI,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,2
37,68,GwLpTI,False,False,False,0,Naive,Naive,Naive,219,Unknown,Unknown,1
38,8,GwLpTI,False,False,False,0,Naive,Naive,Naive,127,Unknown,Unknown,1
39,40,GwLpTI,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,2
40,59,GwLpTI,False,False,False,0,Naive,Naive,Naive,73,Unknown,Unknown,2
41,58,GwLpTI,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,1
42,81,GwLpTI,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,1
43,53,GwLpTI,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,1
44,56,GwLpTI,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,1
45,49,GwLpTI,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
46,51,GwLpTI,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,2
47,16,GwLpTI,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,2
48,42,GwLpTI,False,False,False,0,Naive,Naive,Naive,404,Unknown,Unknown,2
49,88,GwLpTI,False,False,False,0,Naive,Naive,Naive,150,Unknown,Unknown,2
50,39,GwLpTI,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,1
51,93,GwLpTI,False,False,False,0,Naive,Naive,Naive,140,Unknown,Unknown,2
52,110,GwLpTI,False,False,False,0,Naive,Naive,Naive,20,109,False,2
53,89,GwLpTI,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,1
54,63,GwLpTI,False,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,1
55,2,GwLpTI,False,False,False,0,Naive,Naive,Naive,393,Unknown,Unknown,1
56,21,GwLpTI,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,2
57,92,GwLpTI,False,False,False,0,Naive,Naive,Naive,225,Unknown,Unknown,1
58,82,GwLpTI,False,False,False,0,Naive,Naive,Naive,93,Unknown,Unknown,2
59,55,GwLpTI,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,1
60,30,GwLpTI,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,1
61,7,GwLpTI,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,1
62,15,GwLpTI,False,False,False,0,Naive,Naive,Naive,133,Unknown,Unknown,1
63,3,GwLpTI,False,False,False,0,Naive,Naive,Naive,294,Unknown,Unknown,1
64,23,GwLpTI,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,2
65,6,GwLpTI,False,False,False,1,Naive,Naive,Naive,131,Unknown,Unknown,1
66,73,GwLpTI,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,2
67,13,GwLpTI,False,False,False,0,Naive,Naive,Naive,213,Unknown,Unknown,1
68,84,GwLpTI,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,1
69,65,GwLpTI,False,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,2
70,78,GwLpTI,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,2
71,94,GwLpTI,False,True,True,2,237,45,social,240,Unknown,Unknown,2
72,136,GwLpTI,False,False,False,0,Naive,Naive,Naive,31,72,False,2
73,27,GwLpTI,False,False,False,0,Naive,Naive,Naive,203,Unknown,Unknown,2
74,20,GwLpTI,False,False,False,1,Naive,Naive,Naive,123,Unknown,Unknown,2
75,107,GwLpTI,False,False,False,0,Naive,Naive,Naive,50,46,False,1
76,83,GwLpTI,False,False,False,0,Naive,Naive,Naive,149,Unknown,Unknown,1
77,144,GwLpTI,False,False,False,0,Naive,Naive,Naive,34,139,False,1
78,125,GwLpTI,False,False,False,0,Naive,Naive,Naive,42,7,False,1
79,69,GwLpTI,False,False,False,0,Naive,Naive,Naive,146,Unknown,Unknown,1
80,29,GwLpTI,False,False,False,0,Naive,Naive,Naive,557,Unknown,Unknown,1
81,60,GwLpTI,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,1
82,128,GwLpTI,False,False,False,0,Naive,Naive,Naive,48,117,False,1
83,22,GwLpTI,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,2
84,104,GwLpTI,False,False,False,0,Naive,Naive,Naive,62,15,False,1
85,96,GwLpTI,False,False,False,0,Naive,Naive,Naive,183,Unknown,Unknown,1
86,108,GwLpTI,False,False,False,3,Naive,Naive,Naive,65,94,False,2
87,44,GwLpTI,False,False,False,0,Naive,Naive,Naive,167,Unknown,Unknown,2
88,47,GwLpTI,False,True,True,1,258,56,social,273,Unknown,Unknown,1
89,165,GwLpTI,False,False,False,0,Naive,Naive,Naive,32,155,False,1
90,72,GwLpTI,False,False,False,1,Naive,Naive,Naive,213,Unknown,Unknown,1
91,74,GwLpTI,False,False,False,1,Naive,Naive,Naive,159,Unknown,Unknown,1
92,48,GwLpTI,False,False,False,0,Naive,Naive,Naive,452,Unknown,Unknown,2
93,71,GwLpTI,False,False,False,0,Naive,Naive,Naive,538,Unknown,Unknown,1
94,155,GwLpTI,False,False,False,0,Naive,Naive,Naive,48,11,False,1
95,140,GwLpTI,False,False,False,1,Naive,Naive,Naive,60,126,False,2
96,146,GwLpTI,False,False,False,1,Naive,Naive,Naive,57,55,False,1
97,152,GwLpTI,False,False,False,2,Naive,Naive,Naive,54,128,False,1
98,120,GwLpTI,False,False,False,0,Naive,Naive,Naive,71,111,False,1
99,134,GwLpTI,False,False,False,0,Naive,Naive,Naive,69,30,False,1
100,57,GwLpTI,False,False,False,0,Naive,Naive,Naive,117,Unknown,Unknown,1
101,90,GwLpTI,False,False,False,0,Naive,Naive,Naive,274,Unknown,Unknown,1
102,142,GwLpTI,False,False,False,0,Naive,Naive,Naive,66,130,False,1
103,100,GwLpTI,False,True,True,1,Naive,Naive,Naive,88,Unknown,Unknown,2
104,12,GwLpTI,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,1
105,157,GwLpTI,False,False,False,0,Naive,Naive,Naive,59,30,False,1
106,35,GwLpTI,False,False,False,1,Naive,Naive,Naive,184,Unknown,Unknown,1
107,192,GwLpTI,False,False,False,0,Naive,Naive,Naive,17,34,False,1
108,112,GwLpTI,False,False,False,1,Naive,Naive,Naive,86,87,False,2
109,87,GwLpTI,False,False,False,0,Naive,Naive,Naive,250,Unknown,Unknown,2
110,117,GwLpTI,False,False,False,1,Naive,Naive,Naive,87,103,False,1
111,119,GwLpTI,False,False,False,5,Naive,Naive,Naive,86,113,False,1
112,169,GwLpTI,False,False,False,0,Naive,Naive,Naive,57,156,False,1
113,54,GwLpTI,False,False,False,1,Naive,Naive,Naive,199,Unknown,Unknown,2
114,131,GwLpTI,False,False,False,0,Naive,Naive,Naive,87,11,False,2
115,162,GwLpTI,False,False,False,0,Naive,Naive,Naive,67,121,False,2
116,70,GwLpTI,False,False,False,1,Naive,Naive,Naive,211,Unknown,Unknown,1
117,114,GwLpTI,False,False,False,0,Naive,Naive,Naive,95,37,False,1
118,103,GwLpTI,False,False,False,0,Naive,Naive,Naive,101,70,False,1
119,148,GwLpTI,False,False,False,0,Naive,Naive,Naive,81,108,False,2
120,113,GwLpTI,False,False,False,2,Naive,Naive,Naive,97,81,False,1
121,25,GwLpTI,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,1
122,137,GwLpTI,False,False,False,2,Naive,Naive,Naive,89,133,False,1
123,121,GwLpTI,False,False,False,0,Naive,Naive,Naive,98,8,False,2
124,174,GwLpTI,False,False,False,2,Naive,Naive,Naive,62,29,False,1
125,64,GwLpTI,False,True,True,3,85,83,social,116,Unknown,Unknown,1
126,159,GwLpTI,False,False,False,0,Naive,Naive,Naive,83,152,False,1
127,210,GwLpTI,False,False,False,0,Naive,Naive,Naive,23,133,False,2
128,99,GwLpTI,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,1
129,154,GwLpTI,False,False,False,0,Naive,Naive,Naive,89,138,False,2
130,198,GwLpTI,False,False,False,2,Naive,Naive,Naive,39,176,False,1
131,183,GwLpTI,False,False,False,8,Naive,Naive,Naive,58,100,True,1
132,143,GwLpTI,False,False,False,0,Naive,Naive,Naive,100,85,False,1
133,207,GwLpTI,False,False,False,0,Naive,Naive,Naive,32,180,False,2
134,46,GwLpTI,False,False,False,1,Naive,Naive,Naive,131,Unknown,Unknown,1
135,138,GwLpTI,False,False,False,1,Naive,Naive,Naive,107,73,False,1
136,203,GwLpTI,False,False,False,0,Naive,Naive,Naive,45,9,False,1
137,118,GwLpTI,False,False,False,0,Naive,Naive,Naive,121,104,False,1
138,197,GwLpTI,False,True,True,1,48,127,social,52,171,False,1
139,111,GwLpTI,False,False,False,2,Naive,Naive,Naive,123,30,False,1
140,123,GwLpTI,False,False,False,0,Naive,Naive,Naive,121,99,False,1
141,189,GwLpTI,False,False,False,0,Naive,Naive,Naive,64,34,False,1
142,85,GwLpTI,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,1
143,130,GwLpTI,False,False,False,2,Naive,Naive,Naive,124,125,False,1
144,34,GwLpTI,False,False,False,0,Naive,Naive,Naive,191,Unknown,Unknown,1
145,102,GwLpTI,False,False,False,0,Naive,Naive,Naive,136,72,False,1
146,163,GwLpTI,False,False,False,0,Naive,Naive,Naive,102,150,False,2
147,161,GwLpTI,False,False,False,1,Naive,Naive,Naive,106,115,False,1
148,141,GwLpTI,False,False,False,0,Naive,Naive,Naive,122,125,False,1
149,230,GwLpTI,False,False,False,0,Naive,Naive,Naive,26,208,False,2
150,182,GwLpTI,False,False,False,1,Naive,Naive,Naive,83,173,False,1
151,221,GwLpTI,False,False,False,2,Naive,Naive,Naive,44,214,False,2
152,173,GwLpTI,False,False,False,1,Naive,Naive,Naive,100,12,False,1
153,191,GwLpTI,False,False,False,1,Naive,Naive,Naive,79,106,False,1
154,158,GwLpTI,False,False,False,0,Naive,Naive,Naive,121,155,False,1
155,133,GwLpTI,False,False,False,2,Naive,Naive,Naive,138,109,False,2
156,151,GwLpTI,False,False,False,2,Naive,Naive,Naive,128,124,False,1
157,195,GwLpTI,False,False,False,1,Naive,Naive,Naive,78,173,False,1
158,156,GwLpTI,False,False,False,1,Naive,Naive,Naive,126,149,False,1
159,9,GwLpTI,False,False,False,3,Naive,Naive,Naive,295,Unknown,Unknown,2
160,200,GwLpTI,False,False,False,1,Naive,Naive,Naive,77,139,False,1
161,238,GwLpTI,False,False,False,0,Naive,Naive,Naive,31,85,False,1
162,246,GwLpTI,False,False,False,0,Naive,Naive,Naive,26,167,False,1
163,176,GwLpTI,False,True,True,3,29,83,social,113,149,False,1
164,172,GwLpTI,False,False,False,0,Naive,Naive,Naive,120,168,False,2
165,208,GwLpTI,False,False,False,0,Naive,Naive,Naive,77,25,False,1
166,135,GwLpTI,False,False,False,1,Naive,Naive,Naive,154,11,False,1
167,214,GwLpTI,False,False,False,0,Naive,Naive,Naive,70,121,False,2
168,115,GwLpTI,False,False,False,3,Naive,Naive,Naive,165,113,False,1
169,229,GwLpTI,False,False,False,0,Naive,Naive,Naive,65,85,False,1
170,160,GwLpTI,False,False,False,5,Naive,Naive,Naive,148,57,False,1
171,248,GwLpTI,False,True,True,11,30,170,social,43,150,True,2
172,218,GwLpTI,False,False,False,1,Naive,Naive,Naive,81,215,False,1
173,122,GwLpTI,False,False,False,2,Naive,Naive,Naive,174,19,False,1
174,129,GwLpTI,False,True,True,17,35,49,social,173,100,True,1
175,166,GwLpTI,False,False,False,1,Naive,Naive,Naive,148,85,False,1
176,219,GwLpTI,False,False,False,4,Naive,Naive,Naive,86,188,False,1
177,236,GwLpTI,False,True,True,4,32,157,social,66,230,False,2
178,201,GwLpTI,False,False,False,1,Naive,Naive,Naive,106,184,False,1
179,167,GwLpTI,False,False,False,2,Naive,Naive,Naive,151,160,False,1
180,232,GwLpTI,False,False,False,1,Naive,Naive,Naive,71,207,False,2
181,254,GwLpTI,False,False,False,11,Naive,Naive,Naive,40,147,True,1
182,186,GwLpTI,False,False,False,3,Naive,Naive,Naive,124,184,False,1
183,243,GwLpTI,False,False,False,1,Naive,Naive,Naive,57,218,False,1
184,153,GwLpTI,False,False,False,5,Naive,Naive,Naive,167,115,False,1
185,250,GwLpTI,False,False,False,1,Naive,Naive,Naive,51,221,False,2
186,222,GwLpTI,False,False,False,1,Naive,Naive,Naive,88,170,False,1
187,275,GwLpTI,False,False,False,0,Naive,Naive,Naive,12,268,False,1
188,150,GwLpTI,False,True,True,5,43,69,social,174,131,False,2
189,171,GwLpTI,False,False,False,2,Naive,Naive,Naive,153,35,False,1
190,177,GwLpTI,False,False,False,2,Naive,Naive,Naive,149,153,False,1
191,206,GwLpTI,False,False,False,0,Naive,Naive,Naive,114,170,False,1
192,196,GwLpTI,False,True,True,3,121,200,social,126,181,False,1
193,164,GwLpTI,False,True,True,6,75,112,social,168,162,False,2
194,209,GwLpTI,False,False,False,1,Naive,Naive,Naive,114,156,False,1
195,175,GwLpTI,False,False,False,0,Naive,Naive,Naive,157,162,False,2
196,215,GwLpTI,False,False,False,1,Naive,Naive,Naive,107,206,False,1
197,212,GwLpTI,False,False,False,0,Naive,Naive,Naive,115,193,False,1
198,184,GwLpTI,False,False,False,4,Naive,Naive,Naive,146,183,False,1
199,180,GwLpTI,False,True,True,5,153,209,social,158,168,False,2
200,149,GwLpTI,False,False,False,4,Naive,Naive,Naive,193,125,False,1
201,204,GwLpTI,False,False,False,0,Naive,Naive,Naive,130,130,False,2
202,179,GwLpTI,False,False,False,0,Naive,Naive,Naive,163,165,False,1
203,237,GwLpTI,False,False,False,0,Naive,Naive,Naive,89,213,False,1
204,132,GwLpTI,False,False,False,3,Naive,Naive,Naive,205,116,False,2
205,109,GwLpTI,False,False,False,1,Naive,Naive,Naive,217,79,False,2
206,274,GwLpTI,False,False,False,1,Naive,Naive,Naive,38,149,False,2
207,231,GwLpTI,False,True,True,3,100,220,social,105,166,False,2
