,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,13,Gyxvab,False,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,1
1,71,Gyxvab,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,1
2,89,Gyxvab,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,2
3,74,Gyxvab,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,2
4,36,Gyxvab,False,False,False,0,Naive,Naive,Naive,361,Unknown,Unknown,1
5,47,Gyxvab,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,1
6,58,Gyxvab,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,1
7,31,Gyxvab,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,1
8,96,Gyxvab,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
9,90,Gyxvab,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,2
10,15,Gyxvab,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,2
11,16,Gyxvab,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,1
12,4,Gyxvab,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,2
13,70,Gyxvab,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,2
14,87,Gyxvab,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,1
15,30,Gyxvab,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,1
16,8,Gyxvab,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,1
17,83,Gyxvab,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,1
18,72,Gyxvab,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
19,91,Gyxvab,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,2
20,64,Gyxvab,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,1
21,48,Gyxvab,False,False,False,0,Naive,Naive,Naive,328,Unknown,Unknown,2
22,43,Gyxvab,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,2
23,97,Gyxvab,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,1
24,34,Gyxvab,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,2
25,69,Gyxvab,False,False,False,0,Naive,Naive,Naive,513,Unknown,Unknown,1
26,32,Gyxvab,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,2
27,45,Gyxvab,False,False,False,0,Naive,Naive,Naive,347,Unknown,Unknown,2
28,44,Gyxvab,False,False,False,0,Naive,Naive,Naive,77,Unknown,Unknown,1
29,6,Gyxvab,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,1
30,29,Gyxvab,False,False,False,0,Naive,Naive,Naive,442,Unknown,Unknown,2
31,19,Gyxvab,False,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,1
32,81,Gyxvab,False,False,False,0,Naive,Naive,Naive,457,Unknown,Unknown,2
33,3,Gyxvab,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,2
