,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,21,KpJosA,False,False,False,0,Naive,Naive,Naive,457,Unknown,Unknown,1
1,72,KpJosA,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,2
2,83,KpJosA,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,1
3,54,KpJosA,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,1
4,5,KpJosA,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,1
5,92,KpJosA,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,2
6,48,KpJosA,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,2
7,95,KpJosA,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,2
8,23,KpJosA,False,False,False,0,Naive,Naive,Naive,347,Unknown,Unknown,1
9,19,KpJosA,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,1
10,7,KpJosA,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,1
11,3,KpJosA,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,1
12,46,KpJosA,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,1
13,66,KpJosA,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,1
14,17,KpJosA,False,False,False,0,Naive,Naive,Naive,266,Unknown,Unknown,1
15,77,KpJosA,False,False,False,0,Naive,Naive,Naive,195,Unknown,Unknown,2
16,99,KpJosA,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,2
17,41,KpJosA,False,False,False,0,Naive,Naive,Naive,261,Unknown,Unknown,1
18,30,KpJosA,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,1
19,22,KpJosA,False,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,1
20,15,KpJosA,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,2
21,45,KpJosA,False,False,False,0,Naive,Naive,Naive,140,Unknown,Unknown,1
22,44,KpJosA,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,1
23,33,KpJosA,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,2
24,16,KpJosA,False,False,False,0,Naive,Naive,Naive,100,Unknown,Unknown,1
25,64,KpJosA,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,2
26,59,KpJosA,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,2
27,47,KpJosA,False,False,False,0,Naive,Naive,Naive,413,Unknown,Unknown,2
28,14,KpJosA,False,False,False,0,Naive,Naive,Naive,107,Unknown,Unknown,2
29,82,KpJosA,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,1
30,27,KpJosA,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,2
31,4,KpJosA,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,1
32,36,KpJosA,False,False,False,0,Naive,Naive,Naive,132,Unknown,Unknown,1
33,55,KpJosA,False,False,False,0,Naive,Naive,Naive,150,Unknown,Unknown,1
