,source,target
0,71.0,36.0
0,3.0,45.0
0,43.0,68.0
0,73.0,35.0
0,91.0,10.0
0,60.0,30.0
0,53.0,82.0
0,80.0,23.0
0,14.0,54.0
0,75.0,56.0
0,48.0,89.0
0,15.0,34.0
0,99.0,18.0
0,63.0,19.0
0,38.0,9.0
0,96.0,59.0
0,86.0,90.0
0,91.0,10.0
0,82.0,27.0
0,62.0,58.0
0,54.0,14.0
0,101.0,82.0
0,54.0,44.0
0,97.0,35.0
0,63.0,19.0
0,62.0,13.0
0,17.0,80.0
0,90.0,61.0
0,25.0,60.0
0,49.0,92.0
0,69.0,6.0
0,57.0,25.0
0,25.0,76.0
0,84.0,50.0
0,70.0,1.0
0,19.0,43.0
0,45.0,68.0
0,51.0,8.0
0,40.0,31.0
0,47.0,98.0
0,36.0,62.0
0,76.0,57.0
0,50.0,84.0
0,20.0,86.0
0,46.0,28.0
0,78.0,74.0
0,62.0,104.0
0,85.0,94.0
0,45.0,44.0
0,11.0,85.0
0,96.0,73.0
0,76.0,60.0
0,19.0,105.0
0,38.0,34.0
0,35.0,59.0
0,23.0,102.0
0,22.0,64.0
0,88.0,83.0
0,82.0,101.0
0,72.0,98.0
0,2.0,55.0
0,93.0,31.0
0,98.0,47.0
0,33.0,69.0
0,62.0,58.0
0,87.0,2.0
0,46.0,98.0
0,43.0,68.0
0,75.0,56.0
0,45.0,63.0
0,23.0,102.0
0,80.0,106.0
0,48.0,89.0
0,68.0,45.0
0,90.0,103.0
0,28.0,47.0
0,58.0,104.0
0,8.0,51.0
0,10.0,80.0
0,103.0,50.0
0,78.0,107.0
0,96.0,73.0
0,89.0,58.0
0,35.0,59.0
0,19.0,105.0
0,78.0,42.0
0,17.0,23.0
0,31.0,93.0
0,100.0,53.0
0,22.0,65.0
0,79.0,33.0
0,41.0,36.0
0,38.0,34.0
0,74.0,28.0
0,35.0,97.0
0,90.0,103.0
0,39.0,61.0
0,65.0,108.0
0,100.0,101.0
0,17.0,102.0
0,104.0,62.0
0,25.0,57.0
0,3.0,63.0
0,89.0,48.0
0,83.0,107.0
0,6.0,93.0
0,92.0,85.0
0,31.0,6.0
0,48.0,104.0
0,55.0,11.0
0,80.0,106.0
0,57.0,60.0
0,96.0,15.0
0,72.0,74.0
0,23.0,26.0
0,16.0,22.0
0,87.0,2.0
0,19.0,105.0
0,15.0,8.0
0,107.0,78.0
0,64.0,84.0
0,60.0,9.0
0,110.0,41.0
0,83.0,107.0
0,93.0,53.0
0,90.0,103.0
0,107.0,69.0
0,19.0,44.0
0,78.0,42.0
0,3.0,19.0
0,14.0,106.0
0,23.0,102.0
0,74.0,18.0
0,101.0,3.0
0,22.0,111.0
0,37.0,91.0
0,65.0,108.0
0,90.0,109.0
0,58.0,104.0
0,57.0,60.0
0,79.0,4.0
0,83.0,107.0
0,25.0,9.0
0,15.0,8.0
0,64.0,84.0
0,63.0,31.0
0,54.0,16.0
0,91.0,14.0
0,58.0,104.0
0,58.0,62.0
0,11.0,94.0
0,82.0,101.0
0,69.0,83.0
0,114.0,78.0
0,23.0,102.0
0,22.0,111.0
0,32.0,43.0
0,106.0,112.0
0,39.0,61.0
0,3.0,44.0
0,76.0,30.0
0,89.0,36.0
0,90.0,103.0
0,8.0,73.0
0,103.0,109.0
0,113.0,79.0
0,83.0,98.0
0,110.0,62.0
0,34.0,96.0
0,15.0,35.0
0,57.0,9.0
0,30.0,76.0
0,3.0,105.0
0,16.0,64.0
0,65.0,108.0
0,58.0,89.0
0,107.0,99.0
0,113.0,33.0
0,58.0,104.0
0,107.0,69.0
0,106.0,112.0
0,60.0,57.0
0,22.0,111.0
0,82.0,101.0
0,6.0,93.0
0,103.0,109.0
0,109.0,90.0
0,83.0,107.0
0,2.0,67.0
0,66.0,37.0
0,14.0,91.0
0,51.0,11.0
0,110.0,104.0
0,91.0,37.0
0,36.0,23.0
0,79.0,115.0
0,83.0,107.0
0,50.0,39.0
0,93.0,45.0
0,69.0,49.0
0,54.0,82.0
0,110.0,117.0
0,54.0,101.0
0,62.0,56.0
0,106.0,112.0
0,102.0,17.0
0,83.0,74.0
0,90.0,103.0
0,51.0,11.0
0,30.0,76.0
0,65.0,108.0
0,113.0,53.0
0,114.0,69.0
0,35.0,73.0
0,116.0,115.0
0,108.0,22.0
0,54.0,82.0
0,115.0,79.0
0,107.0,74.0
0,23.0,102.0
0,5.0,100.0
0,74.0,114.0
0,106.0,32.0
0,44.0,3.0
0,113.0,53.0
0,58.0,52.0
0,103.0,109.0
0,82.0,101.0
0,31.0,45.0
0,41.0,110.0
0,111.0,16.0
0,48.0,56.0
0,72.0,67.0
0,9.0,57.0
0,22.0,111.0
0,65.0,108.0
0,104.0,117.0
0,3.0,54.0
0,90.0,103.0
0,23.0,36.0
0,106.0,112.0
0,17.0,23.0
0,42.0,98.0
0,78.0,42.0
0,17.0,23.0
0,56.0,62.0
0,39.0,118.0
0,94.0,55.0
0,17.0,36.0
0,115.0,120.0
0,103.0,109.0
0,17.0,102.0
0,83.0,107.0
0,16.0,111.0
0,118.0,90.0
0,67.0,2.0
0,89.0,17.0
0,103.0,119.0
0,16.0,22.0
0,83.0,88.0
0,67.0,72.0
0,69.0,49.0
0,6.0,93.0
0,104.0,117.0
0,5.0,50.0
0,49.0,74.0
0,14.0,68.0
0,74.0,49.0
0,82.0,3.0
0,83.0,107.0
0,8.0,59.0
0,114.0,83.0
0,16.0,108.0
0,79.0,115.0
0,79.0,53.0
0,115.0,120.0
0,73.0,15.0
0,75.0,29.0
0,18.0,72.0
0,104.0,117.0
0,62.0,48.0
0,54.0,44.0
0,23.0,102.0
0,67.0,18.0
0,22.0,111.0
0,31.0,54.0
0,90.0,109.0
0,85.0,78.0
0,60.0,25.0
0,39.0,118.0
0,118.0,90.0
0,64.0,66.0
0,107.0,114.0
0,65.0,64.0
0,74.0,42.0
0,23.0,102.0
0,103.0,109.0
0,100.0,82.0
0,67.0,72.0
0,43.0,14.0
0,122.0,15.0
0,66.0,16.0
0,113.0,6.0
0,68.0,112.0
0,98.0,121.0
0,11.0,38.0
0,106.0,37.0
0,29.0,75.0
0,122.0,73.0
0,56.0,17.0
0,88.0,74.0
0,39.0,118.0
0,20.0,61.0
0,29.0,123.0
0,35.0,59.0
0,22.0,111.0
0,104.0,117.0
0,78.0,124.0
0,98.0,120.0
0,82.0,101.0
0,45.0,54.0
0,53.0,115.0
0,86.0,20.0
0,113.0,105.0
0,90.0,103.0
0,107.0,114.0
0,84.0,3.0
0,56.0,48.0
0,3.0,82.0
0,83.0,107.0
0,101.0,100.0
0,25.0,60.0
0,53.0,120.0
0,109.0,90.0
0,49.0,42.0
0,79.0,115.0
0,8.0,51.0
0,53.0,121.0
0,65.0,66.0
0,23.0,102.0
0,78.0,124.0
0,22.0,111.0
0,3.0,101.0
0,15.0,122.0
0,115.0,113.0
0,41.0,110.0
0,77.0,78.0
0,109.0,103.0
0,84.0,3.0
0,65.0,108.0
0,96.0,79.0
0,83.0,107.0
0,64.0,22.0
0,78.0,124.0
0,60.0,9.0
0,41.0,117.0
0,104.0,10.0
0,68.0,14.0
0,105.0,113.0
0,85.0,42.0
0,22.0,111.0
0,103.0,119.0
0,29.0,123.0
0,15.0,122.0
0,98.0,53.0
0,96.0,115.0
0,101.0,84.0
0,49.0,85.0
0,3.0,82.0
0,53.0,121.0
0,3.0,101.0
0,55.0,11.0
0,98.0,83.0
0,89.0,102.0
0,89.0,125.0
0,35.0,59.0
0,39.0,61.0
0,37.0,65.0
0,72.0,87.0
0,90.0,103.0
0,122.0,8.0
0,114.0,88.0
0,126.0,122.0
0,96.0,120.0
0,79.0,115.0
0,117.0,10.0
0,121.0,96.0
0,48.0,56.0
0,15.0,51.0
0,119.0,90.0
0,107.0,98.0
0,108.0,37.0
0,102.0,23.0
0,29.0,123.0
0,101.0,54.0
0,78.0,77.0
0,65.0,64.0
0,118.0,86.0
0,100.0,84.0
0,108.0,127.0
0,82.0,50.0
0,103.0,119.0
0,117.0,41.0
0,110.0,117.0
0,58.0,104.0
0,122.0,126.0
0,125.0,23.0
0,82.0,101.0
0,64.0,108.0
0,51.0,122.0
0,125.0,36.0
0,3.0,82.0
0,79.0,115.0
0,107.0,114.0
0,118.0,61.0
0,60.0,25.0
0,83.0,107.0
0,22.0,111.0
0,36.0,102.0
0,127.0,64.0
0,73.0,51.0
0,35.0,55.0
0,109.0,129.0
0,64.0,37.0
0,120.0,121.0
0,103.0,109.0
0,72.0,87.0
0,98.0,83.0
0,93.0,120.0
0,68.0,63.0
0,108.0,127.0
0,129.0,103.0
0,117.0,110.0
0,96.0,105.0
0,29.0,123.0
0,106.0,100.0
0,100.0,112.0
0,78.0,124.0
0,79.0,115.0
0,22.0,111.0
0,77.0,78.0
0,129.0,119.0
0,88.0,114.0
0,49.0,72.0
0,84.0,82.0
0,65.0,22.0
0,120.0,121.0
0,48.0,17.0
0,90.0,103.0
0,104.0,117.0
0,36.0,10.0
0,112.0,100.0
0,64.0,128.0
0,58.0,104.0
0,122.0,126.0
0,83.0,85.0
0,127.0,37.0
0,53.0,105.0
0,108.0,127.0
0,117.0,58.0
0,103.0,129.0
0,83.0,88.0
0,115.0,120.0
0,23.0,102.0
0,41.0,36.0
0,102.0,125.0
0,78.0,124.0
0,15.0,122.0
0,119.0,109.0
0,82.0,101.0
0,39.0,61.0
0,129.0,119.0
0,29.0,123.0
0,31.0,106.0
0,121.0,34.0
0,108.0,37.0
0,117.0,104.0
0,111.0,22.0
0,31.0,82.0
0,130.0,17.0
0,31.0,112.0
0,110.0,117.0
0,100.0,84.0
0,124.0,77.0
0,39.0,118.0
0,119.0,131.0
0,120.0,121.0
0,72.0,87.0
0,115.0,120.0
0,126.0,73.0
0,44.0,76.0
0,11.0,55.0
0,23.0,10.0
0,85.0,107.0
0,104.0,110.0
0,10.0,102.0
0,83.0,53.0
0,56.0,75.0
0,109.0,131.0
0,11.0,94.0
0,34.0,93.0
0,110.0,58.0
0,108.0,127.0
0,68.0,6.0
0,96.0,105.0
0,119.0,129.0
0,129.0,103.0
0,117.0,104.0
0,123.0,29.0
