,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,73,Ln4hKH,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,2
1,5,Ln4hKH,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,2
2,69,Ln4hKH,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,1
3,41,Ln4hKH,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,1
4,57,Ln4hKH,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,1
5,93,Ln4hKH,False,False,False,0,Naive,Naive,Naive,334,Unknown,Unknown,1
6,17,Ln4hKH,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,1
7,20,Ln4hKH,False,False,False,0,Naive,Naive,Naive,345,Unknown,Unknown,1
8,9,Ln4hKH,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,1
9,4,Ln4hKH,False,False,False,1,Naive,Naive,Naive,450,Unknown,Unknown,1
10,81,Ln4hKH,False,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,1
11,35,Ln4hKH,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,1
12,42,Ln4hKH,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,2
13,14,Ln4hKH,False,False,False,0,Naive,Naive,Naive,270,Unknown,Unknown,2
14,96,Ln4hKH,False,False,False,0,Naive,Naive,Naive,132,Unknown,Unknown,2
15,87,Ln4hKH,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,2
16,39,Ln4hKH,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,1
17,111,Ln4hKH,False,False,False,0,Naive,Naive,Naive,3,23,False,2
18,43,Ln4hKH,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,2
19,71,Ln4hKH,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,1
20,34,Ln4hKH,False,False,False,0,Naive,Naive,Naive,345,Unknown,Unknown,2
21,15,Ln4hKH,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,2
22,84,Ln4hKH,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,1
23,63,Ln4hKH,False,False,False,0,Naive,Naive,Naive,121,Unknown,Unknown,1
24,33,Ln4hKH,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,2
