,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,21,M2YFdH,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,2
1,58,M2YFdH,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,1
2,49,M2YFdH,False,False,False,0,Naive,Naive,Naive,22,Unknown,Unknown,1
3,97,M2YFdH,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,1
4,1,M2YFdH,False,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,1
5,43,M2YFdH,False,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,2
6,93,M2YFdH,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,2
7,99,M2YFdH,False,False,False,0,Naive,Naive,Naive,44,Unknown,Unknown,1
8,83,M2YFdH,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
9,38,M2YFdH,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,2
10,86,M2YFdH,False,False,False,0,Naive,Naive,Naive,139,Unknown,Unknown,1
11,32,M2YFdH,False,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,2
12,18,M2YFdH,False,False,False,0,Naive,Naive,Naive,176,Unknown,Unknown,2
13,9,M2YFdH,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,1
14,15,M2YFdH,False,False,False,0,Naive,Naive,Naive,487,Unknown,Unknown,1
15,44,M2YFdH,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,1
16,14,M2YFdH,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,1
17,29,M2YFdH,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,1
18,78,M2YFdH,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,1
19,82,M2YFdH,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,1
20,71,M2YFdH,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,2
21,45,M2YFdH,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,2
22,27,M2YFdH,False,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,2
23,94,M2YFdH,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,2
24,68,M2YFdH,False,False,False,0,Naive,Naive,Naive,401,Unknown,Unknown,2
25,75,M2YFdH,False,False,False,0,Naive,Naive,Naive,352,Unknown,Unknown,1
26,79,M2YFdH,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,1
27,30,M2YFdH,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
28,52,M2YFdH,False,False,False,0,Naive,Naive,Naive,300,Unknown,Unknown,1
29,8,M2YFdH,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,2
30,20,M2YFdH,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
