,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,23,NJBbqn,False,False,False,0,Naive,Naive,Naive,16,Unknown,Unknown,2
1,52,NJBbqn,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,1
2,80,NJBbqn,False,False,False,0,Naive,Naive,Naive,376,Unknown,Unknown,2
3,55,NJBbqn,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,1
4,48,NJBbqn,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,1
5,86,NJBbqn,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,1
6,70,NJBbqn,False,False,False,0,Naive,Naive,Naive,334,Unknown,Unknown,1
7,58,NJBbqn,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,1
8,27,NJBbqn,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,2
9,96,NJBbqn,False,False,False,1,Naive,Naive,Naive,251,Unknown,Unknown,2
10,97,NJBbqn,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,1
11,36,NJBbqn,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,2
12,69,NJBbqn,False,False,False,0,Naive,Naive,Naive,62,Unknown,Unknown,1
13,22,NJBbqn,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
14,8,NJBbqn,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,1
15,15,NJBbqn,False,False,False,0,Naive,Naive,Naive,305,Unknown,Unknown,1
16,34,NJBbqn,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,2
17,89,NJBbqn,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,1
18,77,NJBbqn,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,1
19,28,NJBbqn,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,1
20,20,NJBbqn,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,1
21,93,NJBbqn,False,False,False,0,Naive,Naive,Naive,224,Unknown,Unknown,1
22,53,NJBbqn,False,False,False,0,Naive,Naive,Naive,503,Unknown,Unknown,1
23,43,NJBbqn,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,2
24,11,NJBbqn,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,2
25,75,NJBbqn,False,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,1
26,92,NJBbqn,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,1
27,51,NJBbqn,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,2
28,3,NJBbqn,False,False,False,0,Naive,Naive,Naive,165,Unknown,Unknown,1
29,67,NJBbqn,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,1
30,65,NJBbqn,False,False,False,0,Naive,Naive,Naive,490,Unknown,Unknown,2
31,4,NJBbqn,False,False,False,0,Naive,Naive,Naive,219,Unknown,Unknown,1
32,74,NJBbqn,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,1
33,54,NJBbqn,False,False,False,0,Naive,Naive,Naive,164,Unknown,Unknown,1
34,35,NJBbqn,False,False,False,0,Naive,Naive,Naive,175,Unknown,Unknown,2
35,42,NJBbqn,False,False,False,0,Naive,Naive,Naive,285,Unknown,Unknown,2
36,45,NJBbqn,False,False,False,0,Naive,Naive,Naive,123,Unknown,Unknown,2
37,40,NJBbqn,False,False,False,0,Naive,Naive,Naive,151,Unknown,Unknown,1
38,88,NJBbqn,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,2
39,73,NJBbqn,False,False,False,0,Naive,Naive,Naive,266,Unknown,Unknown,1
40,38,NJBbqn,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,2
41,32,NJBbqn,False,False,False,0,Naive,Naive,Naive,393,Unknown,Unknown,2
42,85,NJBbqn,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,2
43,91,NJBbqn,False,False,False,0,Naive,Naive,Naive,452,Unknown,Unknown,2
44,76,NJBbqn,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,2
45,78,NJBbqn,False,False,False,0,Naive,Naive,Naive,344,Unknown,Unknown,2
46,47,NJBbqn,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,1
47,71,NJBbqn,False,False,False,0,Naive,Naive,Naive,112,Unknown,Unknown,2
48,98,NJBbqn,False,False,False,1,Naive,Naive,Naive,343,Unknown,Unknown,2
49,1,NJBbqn,False,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,2
50,18,NJBbqn,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,1
51,63,NJBbqn,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,2
52,14,NJBbqn,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,2
53,95,NJBbqn,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
54,72,NJBbqn,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,2
55,29,NJBbqn,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
56,83,NJBbqn,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,1
57,57,NJBbqn,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,1
58,90,NJBbqn,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,1
59,82,NJBbqn,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,2
