,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,64,NZFJDc,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,2
1,68,NZFJDc,False,False,False,0,Naive,Naive,Naive,368,Unknown,Unknown,2
2,77,NZFJDc,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,2
3,40,NZFJDc,False,False,False,1,Naive,Naive,Naive,299,Unknown,Unknown,2
4,78,NZFJDc,False,False,False,0,Naive,Naive,Naive,373,Unknown,Unknown,2
5,56,NZFJDc,False,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,2
6,2,NZFJDc,False,False,False,0,Naive,Naive,Naive,420,Unknown,Unknown,1
7,72,NZFJDc,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,2
8,97,NZFJDc,False,False,False,0,Naive,Naive,Naive,470,Unknown,Unknown,1
9,69,NZFJDc,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,2
10,66,NZFJDc,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,2
11,67,NZFJDc,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,2
12,32,NZFJDc,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,1
13,5,NZFJDc,False,False,False,0,Naive,Naive,Naive,425,Unknown,Unknown,1
14,59,NZFJDc,False,False,False,0,Naive,Naive,Naive,163,Unknown,Unknown,2
15,65,NZFJDc,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
16,37,NZFJDc,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,1
17,29,NZFJDc,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,1
18,31,NZFJDc,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,1
19,50,NZFJDc,False,False,False,0,Naive,Naive,Naive,248,Unknown,Unknown,2
20,27,NZFJDc,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,1
21,17,NZFJDc,False,False,False,0,Naive,Naive,Naive,345,Unknown,Unknown,1
22,99,NZFJDc,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,2
