,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,82,Ntnxmm,False,False,False,0,Naive,Naive,Naive,63,Unknown,Unknown,2
1,15,Ntnxmm,False,False,False,0,Naive,Naive,Naive,470,Unknown,Unknown,1
2,93,Ntnxmm,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,2
3,57,Ntnxmm,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,1
4,6,Ntnxmm,False,False,False,0,Naive,Naive,Naive,293,Unknown,Unknown,2
5,94,Ntnxmm,False,False,False,0,Naive,Naive,Naive,122,Unknown,Unknown,1
6,73,Ntnxmm,False,False,False,0,Naive,Naive,Naive,234,Unknown,Unknown,2
7,78,Ntnxmm,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
8,95,Ntnxmm,False,False,False,0,Naive,Naive,Naive,182,Unknown,Unknown,2
9,69,Ntnxmm,False,False,False,0,Naive,Naive,Naive,487,Unknown,Unknown,2
10,70,Ntnxmm,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,1
11,79,Ntnxmm,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,1
12,61,Ntnxmm,False,False,False,1,Naive,Naive,Naive,482,Unknown,Unknown,1
13,1,Ntnxmm,False,False,False,0,Naive,Naive,Naive,490,Unknown,Unknown,1
14,20,Ntnxmm,False,False,False,0,Naive,Naive,Naive,161,Unknown,Unknown,2
15,84,Ntnxmm,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,1
16,36,Ntnxmm,False,False,False,0,Naive,Naive,Naive,106,Unknown,Unknown,1
17,42,Ntnxmm,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,2
18,66,Ntnxmm,False,False,False,0,Naive,Naive,Naive,48,Unknown,Unknown,1
19,3,Ntnxmm,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,1
20,60,Ntnxmm,False,False,False,0,Naive,Naive,Naive,452,Unknown,Unknown,2
21,87,Ntnxmm,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,1
22,72,Ntnxmm,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,1
23,65,Ntnxmm,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,1
24,44,Ntnxmm,False,False,False,0,Naive,Naive,Naive,113,Unknown,Unknown,2
25,43,Ntnxmm,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,1
26,18,Ntnxmm,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,1
27,7,Ntnxmm,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,2
28,34,Ntnxmm,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,1
29,2,Ntnxmm,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,2
30,32,Ntnxmm,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,1
31,11,Ntnxmm,False,False,False,1,Naive,Naive,Naive,369,Unknown,Unknown,1
32,37,Ntnxmm,False,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,1
33,28,Ntnxmm,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,1
34,85,Ntnxmm,False,False,False,0,Naive,Naive,Naive,457,Unknown,Unknown,1
35,5,Ntnxmm,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,2
36,12,Ntnxmm,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,1
37,74,Ntnxmm,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,1
38,13,Ntnxmm,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,2
39,33,Ntnxmm,False,False,False,1,Naive,Naive,Naive,430,Unknown,Unknown,1
40,53,Ntnxmm,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,2
41,56,Ntnxmm,False,False,False,0,Naive,Naive,Naive,106,Unknown,Unknown,2
42,97,Ntnxmm,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,1
43,46,Ntnxmm,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
44,86,Ntnxmm,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,2
45,49,Ntnxmm,False,False,False,0,Naive,Naive,Naive,146,Unknown,Unknown,2
46,90,Ntnxmm,False,False,False,0,Naive,Naive,Naive,111,Unknown,Unknown,2
47,41,Ntnxmm,False,False,False,0,Naive,Naive,Naive,268,Unknown,Unknown,2
48,81,Ntnxmm,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,1
49,21,Ntnxmm,False,False,False,0,Naive,Naive,Naive,524,Unknown,Unknown,2
50,62,Ntnxmm,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,1
51,98,Ntnxmm,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,2
52,39,Ntnxmm,False,False,False,0,Naive,Naive,Naive,511,Unknown,Unknown,2
53,48,Ntnxmm,False,False,False,0,Naive,Naive,Naive,87,Unknown,Unknown,1
54,27,Ntnxmm,False,False,False,0,Naive,Naive,Naive,442,Unknown,Unknown,1
55,8,Ntnxmm,False,False,False,0,Naive,Naive,Naive,482,Unknown,Unknown,1
56,55,Ntnxmm,False,False,False,0,Naive,Naive,Naive,531,Unknown,Unknown,2
57,24,Ntnxmm,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,1
58,10,Ntnxmm,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,1
59,51,Ntnxmm,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,1
60,9,Ntnxmm,False,False,False,0,Naive,Naive,Naive,216,Unknown,Unknown,1
61,59,Ntnxmm,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,2
62,80,Ntnxmm,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,1
63,38,Ntnxmm,False,False,False,0,Naive,Naive,Naive,224,Unknown,Unknown,1
64,35,Ntnxmm,False,False,False,0,Naive,Naive,Naive,248,Unknown,Unknown,1
65,112,Ntnxmm,False,False,False,0,Naive,Naive,Naive,40,74,False,1
66,50,Ntnxmm,False,False,False,0,Naive,Naive,Naive,324,Unknown,Unknown,2
67,23,Ntnxmm,False,False,False,0,Naive,Naive,Naive,206,Unknown,Unknown,2
68,31,Ntnxmm,False,False,False,0,Naive,Naive,Naive,150,Unknown,Unknown,1
