,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,39,Q7VHJW,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,1
1,76,Q7VHJW,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,1
2,59,Q7VHJW,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,1
3,25,Q7VHJW,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,1
4,54,Q7VHJW,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,1
5,7,Q7VHJW,False,False,False,0,Naive,Naive,Naive,75,Unknown,Unknown,1
6,20,Q7VHJW,False,False,False,0,Naive,Naive,Naive,116,Unknown,Unknown,2
7,9,Q7VHJW,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,1
8,45,Q7VHJW,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,1
9,64,Q7VHJW,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,2
10,87,Q7VHJW,False,False,False,0,Naive,Naive,Naive,384,Unknown,Unknown,1
11,58,Q7VHJW,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,2
12,61,Q7VHJW,False,False,False,0,Naive,Naive,Naive,304,Unknown,Unknown,1
13,79,Q7VHJW,False,False,False,0,Naive,Naive,Naive,280,Unknown,Unknown,1
14,70,Q7VHJW,False,False,False,0,Naive,Naive,Naive,212,Unknown,Unknown,2
15,11,Q7VHJW,False,False,False,1,Naive,Naive,Naive,388,Unknown,Unknown,1
16,23,Q7VHJW,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,1
17,46,Q7VHJW,False,False,False,0,Naive,Naive,Naive,367,Unknown,Unknown,1
18,60,Q7VHJW,False,False,False,0,Naive,Naive,Naive,181,Unknown,Unknown,1
19,28,Q7VHJW,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,2
20,15,Q7VHJW,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,2
21,94,Q7VHJW,False,False,False,0,Naive,Naive,Naive,171,Unknown,Unknown,1
22,10,Q7VHJW,False,False,False,0,Naive,Naive,Naive,447,Unknown,Unknown,1
23,4,Q7VHJW,False,False,False,0,Naive,Naive,Naive,140,Unknown,Unknown,2
24,8,Q7VHJW,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,2
25,3,Q7VHJW,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,1
26,27,Q7VHJW,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,2
27,80,Q7VHJW,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,1
28,57,Q7VHJW,False,False,False,0,Naive,Naive,Naive,257,Unknown,Unknown,1
29,71,Q7VHJW,False,False,False,0,Naive,Naive,Naive,280,Unknown,Unknown,2
30,32,Q7VHJW,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,1
31,16,Q7VHJW,False,False,False,0,Naive,Naive,Naive,495,Unknown,Unknown,1
32,37,Q7VHJW,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,2
33,17,Q7VHJW,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,1
34,12,Q7VHJW,False,False,False,0,Naive,Naive,Naive,513,Unknown,Unknown,1
35,118,Q7VHJW,False,False,False,0,Naive,Naive,Naive,13,12,False,1
36,96,Q7VHJW,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,1
37,90,Q7VHJW,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,2
38,48,Q7VHJW,False,False,False,0,Naive,Naive,Naive,215,Unknown,Unknown,2
39,30,Q7VHJW,False,False,False,0,Naive,Naive,Naive,200,Unknown,Unknown,1
40,81,Q7VHJW,False,False,False,0,Naive,Naive,Naive,230,Unknown,Unknown,1
41,34,Q7VHJW,False,False,False,0,Naive,Naive,Naive,524,Unknown,Unknown,1
42,92,Q7VHJW,False,False,False,0,Naive,Naive,Naive,472,Unknown,Unknown,1
43,24,Q7VHJW,False,False,False,0,Naive,Naive,Naive,367,Unknown,Unknown,2
44,78,Q7VHJW,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,2
45,77,Q7VHJW,False,False,False,0,Naive,Naive,Naive,343,Unknown,Unknown,1
46,100,Q7VHJW,False,True,True,0,Naive,Naive,Naive,32,Unknown,Unknown,2
47,99,Q7VHJW,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,2
