,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,68,RCLhBZ,False,False,False,0,Naive,Naive,Naive,486,Unknown,Unknown,1
1,85,RCLhBZ,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,2
2,87,RCLhBZ,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,1
3,47,RCLhBZ,False,False,False,0,Naive,Naive,Naive,127,Unknown,Unknown,2
4,17,RCLhBZ,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
5,94,RCLhBZ,False,False,False,0,Naive,Naive,Naive,256,Unknown,Unknown,2
6,39,RCLhBZ,False,False,False,0,Naive,Naive,Naive,216,Unknown,Unknown,1
7,7,RCLhBZ,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,1
8,49,RCLhBZ,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,1
9,51,RCLhBZ,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,1
10,57,RCLhBZ,False,False,False,0,Naive,Naive,Naive,291,Unknown,Unknown,2
11,5,RCLhBZ,False,False,False,0,Naive,Naive,Naive,74,Unknown,Unknown,1
12,2,RCLhBZ,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
13,65,RCLhBZ,False,False,False,0,Naive,Naive,Naive,176,Unknown,Unknown,1
14,52,RCLhBZ,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,1
15,71,RCLhBZ,False,False,False,0,Naive,Naive,Naive,505,Unknown,Unknown,1
16,1,RCLhBZ,False,False,False,0,Naive,Naive,Naive,142,Unknown,Unknown,2
17,58,RCLhBZ,False,False,False,0,Naive,Naive,Naive,250,Unknown,Unknown,2
18,90,RCLhBZ,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,2
19,99,RCLhBZ,False,False,False,0,Naive,Naive,Naive,510,Unknown,Unknown,2
20,48,RCLhBZ,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,2
21,78,RCLhBZ,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,1
22,97,RCLhBZ,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,2
23,41,RCLhBZ,False,False,False,0,Naive,Naive,Naive,264,Unknown,Unknown,1
24,26,RCLhBZ,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,2
25,8,RCLhBZ,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,1
26,64,RCLhBZ,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,1
27,6,RCLhBZ,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,1
28,76,RCLhBZ,False,False,False,0,Naive,Naive,Naive,211,Unknown,Unknown,1
29,67,RCLhBZ,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,2
30,69,RCLhBZ,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,2
31,86,RCLhBZ,False,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,1
32,33,RCLhBZ,False,False,False,0,Naive,Naive,Naive,183,Unknown,Unknown,2
33,63,RCLhBZ,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,2
34,45,RCLhBZ,False,False,False,1,Naive,Naive,Naive,341,Unknown,Unknown,1
35,10,RCLhBZ,False,False,False,1,Naive,Naive,Naive,304,Unknown,Unknown,2
36,37,RCLhBZ,False,False,False,0,Naive,Naive,Naive,367,Unknown,Unknown,2
37,72,RCLhBZ,False,False,False,0,Naive,Naive,Naive,109,Unknown,Unknown,1
38,35,RCLhBZ,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
39,113,RCLhBZ,False,False,False,0,Naive,Naive,Naive,23,108,False,1
40,16,RCLhBZ,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,1
41,66,RCLhBZ,False,False,False,0,Naive,Naive,Naive,65,Unknown,Unknown,2
