,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,59,Rtg4mu,False,False,False,0,Naive,Naive,Naive,367,Unknown,Unknown,1
1,10,Rtg4mu,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
2,23,Rtg4mu,False,False,False,0,Naive,Naive,Naive,272,Unknown,Unknown,1
3,32,Rtg4mu,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
4,13,Rtg4mu,False,False,False,0,Naive,Naive,Naive,389,Unknown,Unknown,2
5,54,Rtg4mu,False,False,False,0,Naive,Naive,Naive,130,Unknown,Unknown,1
6,90,Rtg4mu,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,2
7,2,Rtg4mu,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,1
8,34,Rtg4mu,False,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,2
9,8,Rtg4mu,False,False,False,0,Naive,Naive,Naive,36,Unknown,Unknown,2
10,7,Rtg4mu,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,2
11,35,Rtg4mu,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,1
12,87,Rtg4mu,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,2
13,25,Rtg4mu,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,1
14,1,Rtg4mu,False,False,False,0,Naive,Naive,Naive,338,Unknown,Unknown,1
15,91,Rtg4mu,False,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,2
16,95,Rtg4mu,False,False,False,0,Naive,Naive,Naive,128,Unknown,Unknown,1
17,36,Rtg4mu,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,2
18,57,Rtg4mu,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,1
19,62,Rtg4mu,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,2
20,27,Rtg4mu,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,2
21,3,Rtg4mu,False,False,False,0,Naive,Naive,Naive,173,Unknown,Unknown,1
22,64,Rtg4mu,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,1
23,82,Rtg4mu,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,1
24,52,Rtg4mu,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,1
25,86,Rtg4mu,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,1
26,40,Rtg4mu,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,2
27,43,Rtg4mu,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,2
28,22,Rtg4mu,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,1
29,15,Rtg4mu,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,2
30,74,Rtg4mu,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,1
31,80,Rtg4mu,False,False,False,0,Naive,Naive,Naive,70,Unknown,Unknown,1
32,83,Rtg4mu,False,False,False,0,Naive,Naive,Naive,345,Unknown,Unknown,1
33,108,Rtg4mu,False,False,False,0,Naive,Naive,Naive,13,106,False,2
34,42,Rtg4mu,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,2
35,45,Rtg4mu,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,2
36,56,Rtg4mu,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,2
37,41,Rtg4mu,False,False,False,0,Naive,Naive,Naive,213,Unknown,Unknown,1
38,93,Rtg4mu,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,1
39,61,Rtg4mu,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,2
40,73,Rtg4mu,False,False,False,0,Naive,Naive,Naive,341,Unknown,Unknown,1
41,70,Rtg4mu,False,False,False,0,Naive,Naive,Naive,171,Unknown,Unknown,1
42,68,Rtg4mu,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,1
43,44,Rtg4mu,False,False,False,0,Naive,Naive,Naive,370,Unknown,Unknown,2
44,19,Rtg4mu,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,1
45,89,Rtg4mu,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
46,135,Rtg4mu,False,False,False,0,Naive,Naive,Naive,7,48,False,2
47,58,Rtg4mu,False,False,False,0,Naive,Naive,Naive,193,Unknown,Unknown,2
48,31,Rtg4mu,False,False,False,1,Naive,Naive,Naive,210,Unknown,Unknown,2
49,51,Rtg4mu,False,False,False,0,Naive,Naive,Naive,91,Unknown,Unknown,1
50,46,Rtg4mu,False,False,False,0,Naive,Naive,Naive,97,Unknown,Unknown,2
51,5,Rtg4mu,False,False,False,0,Naive,Naive,Naive,452,Unknown,Unknown,2
52,116,Rtg4mu,False,False,False,0,Naive,Naive,Naive,24,108,False,1
53,65,Rtg4mu,False,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,2
54,20,Rtg4mu,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,1
55,53,Rtg4mu,False,False,False,0,Naive,Naive,Naive,139,Unknown,Unknown,1
56,78,Rtg4mu,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,1
57,29,Rtg4mu,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,1
58,113,Rtg4mu,False,False,False,0,Naive,Naive,Naive,27,108,False,1
59,63,Rtg4mu,False,False,False,0,Naive,Naive,Naive,109,Unknown,Unknown,2
60,69,Rtg4mu,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
61,126,Rtg4mu,False,False,False,0,Naive,Naive,Naive,22,101,False,2
62,38,Rtg4mu,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,2
63,114,Rtg4mu,False,False,False,0,Naive,Naive,Naive,32,5,False,2
64,55,Rtg4mu,False,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,2
65,17,Rtg4mu,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,2
66,97,Rtg4mu,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,2
67,94,Rtg4mu,False,False,False,0,Naive,Naive,Naive,361,Unknown,Unknown,2
68,81,Rtg4mu,False,False,False,0,Naive,Naive,Naive,149,Unknown,Unknown,2
69,88,Rtg4mu,False,False,False,0,Naive,Naive,Naive,135,Unknown,Unknown,1
70,145,Rtg4mu,False,False,False,0,Naive,Naive,Naive,17,29,False,1
71,14,Rtg4mu,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,1
72,85,Rtg4mu,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,1
73,11,Rtg4mu,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,2
74,47,Rtg4mu,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,2
75,104,Rtg4mu,False,False,False,0,Naive,Naive,Naive,44,56,False,2
76,21,Rtg4mu,False,False,False,0,Naive,Naive,Naive,135,Unknown,Unknown,1
77,50,Rtg4mu,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,2
78,9,Rtg4mu,False,False,False,0,Naive,Naive,Naive,510,Unknown,Unknown,2
79,75,Rtg4mu,False,False,False,0,Naive,Naive,Naive,102,Unknown,Unknown,2
80,76,Rtg4mu,False,False,False,1,Naive,Naive,Naive,241,Unknown,Unknown,2
81,18,Rtg4mu,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,1
82,28,Rtg4mu,False,False,False,0,Naive,Naive,Naive,225,Unknown,Unknown,1
83,71,Rtg4mu,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,1
84,101,Rtg4mu,False,False,False,0,Naive,Naive,Naive,53,48,False,2
85,16,Rtg4mu,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,1
86,161,Rtg4mu,False,False,False,0,Naive,Naive,Naive,26,157,False,2
87,140,Rtg4mu,False,False,False,1,Naive,Naive,Naive,41,44,False,2
88,96,Rtg4mu,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,1
89,143,Rtg4mu,False,False,False,0,Naive,Naive,Naive,45,96,False,2
90,48,Rtg4mu,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,2
91,92,Rtg4mu,False,False,False,1,Naive,Naive,Naive,272,Unknown,Unknown,2
92,67,Rtg4mu,False,False,False,0,Naive,Naive,Naive,70,Unknown,Unknown,1
93,110,Rtg4mu,False,False,False,0,Naive,Naive,Naive,65,56,False,2
94,98,Rtg4mu,False,False,False,0,Naive,Naive,Naive,259,Unknown,Unknown,1
95,128,Rtg4mu,False,False,False,0,Naive,Naive,Naive,58,29,False,1
96,121,Rtg4mu,False,False,False,3,Naive,Naive,Naive,60,14,False,1
97,153,Rtg4mu,False,False,False,0,Naive,Naive,Naive,43,150,False,1
98,137,Rtg4mu,False,False,False,1,Naive,Naive,Naive,60,29,False,1
99,169,Rtg4mu,False,False,False,0,Naive,Naive,Naive,39,162,False,2
100,119,Rtg4mu,False,False,False,0,Naive,Naive,Naive,71,108,False,1
101,159,Rtg4mu,False,False,False,1,Naive,Naive,Naive,47,71,False,1
102,12,Rtg4mu,False,False,False,0,Naive,Naive,Naive,117,Unknown,Unknown,1
103,138,Rtg4mu,False,False,False,0,Naive,Naive,Naive,63,118,False,2
104,171,Rtg4mu,False,False,False,0,Naive,Naive,Naive,43,37,False,2
105,131,Rtg4mu,False,False,False,0,Naive,Naive,Naive,74,127,False,1
106,4,Rtg4mu,False,False,False,0,Naive,Naive,Naive,361,Unknown,Unknown,1
107,164,Rtg4mu,False,False,False,0,Naive,Naive,Naive,56,30,False,2
108,99,Rtg4mu,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,2
109,120,Rtg4mu,False,False,False,0,Naive,Naive,Naive,87,79,False,1
110,142,Rtg4mu,False,False,False,0,Naive,Naive,Naive,73,77,False,2
111,130,Rtg4mu,False,False,False,0,Naive,Naive,Naive,81,16,False,1
112,115,Rtg4mu,False,False,False,0,Naive,Naive,Naive,91,109,False,1
113,6,Rtg4mu,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,1
114,146,Rtg4mu,False,False,False,0,Naive,Naive,Naive,74,101,False,2
115,39,Rtg4mu,False,False,False,0,Naive,Naive,Naive,106,Unknown,Unknown,2
116,195,Rtg4mu,False,False,False,0,Naive,Naive,Naive,34,175,False,1
117,117,Rtg4mu,False,False,False,0,Naive,Naive,Naive,95,45,False,1
118,77,Rtg4mu,False,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,2
119,105,Rtg4mu,False,False,False,0,Naive,Naive,Naive,105,80,False,2
120,123,Rtg4mu,False,False,False,0,Naive,Naive,Naive,97,88,False,1
121,178,Rtg4mu,False,False,False,0,Naive,Naive,Naive,64,162,False,2
