,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,69,TVUT6Y,False,False,False,0,Naive,Naive,Naive,342,Unknown,Unknown,1
1,60,TVUT6Y,False,False,False,0,Naive,Naive,Naive,113,Unknown,Unknown,2
2,55,TVUT6Y,False,False,False,0,Naive,Naive,Naive,328,Unknown,Unknown,2
3,45,TVUT6Y,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,1
4,48,TVUT6Y,False,False,False,0,Naive,Naive,Naive,289,Unknown,Unknown,1
5,79,TVUT6Y,False,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,2
6,50,TVUT6Y,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,2
7,76,TVUT6Y,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,2
8,18,TVUT6Y,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,1
9,89,TVUT6Y,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,2
10,54,TVUT6Y,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,2
11,49,TVUT6Y,False,False,False,0,Naive,Naive,Naive,472,Unknown,Unknown,2
12,83,TVUT6Y,False,False,False,0,Naive,Naive,Naive,203,Unknown,Unknown,2
13,35,TVUT6Y,False,False,False,0,Naive,Naive,Naive,268,Unknown,Unknown,2
14,63,TVUT6Y,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,2
15,98,TVUT6Y,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,1
16,113,TVUT6Y,False,False,False,0,Naive,Naive,Naive,2,88,False,1
17,61,TVUT6Y,False,False,False,0,Naive,Naive,Naive,239,Unknown,Unknown,2
18,7,TVUT6Y,False,False,False,0,Naive,Naive,Naive,235,Unknown,Unknown,1
19,11,TVUT6Y,False,False,False,0,Naive,Naive,Naive,69,Unknown,Unknown,1
20,12,TVUT6Y,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,2
21,25,TVUT6Y,False,False,False,0,Naive,Naive,Naive,326,Unknown,Unknown,1
22,99,TVUT6Y,False,False,False,0,Naive,Naive,Naive,194,Unknown,Unknown,2
23,29,TVUT6Y,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,2
24,4,TVUT6Y,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,2
25,22,TVUT6Y,False,False,False,0,Naive,Naive,Naive,222,Unknown,Unknown,2
26,41,TVUT6Y,False,False,False,0,Naive,Naive,Naive,456,Unknown,Unknown,1
27,44,TVUT6Y,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,2
28,87,TVUT6Y,False,False,False,0,Naive,Naive,Naive,268,Unknown,Unknown,2
29,37,TVUT6Y,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,1
30,56,TVUT6Y,False,False,False,0,Naive,Naive,Naive,334,Unknown,Unknown,1
31,28,TVUT6Y,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,1
32,27,TVUT6Y,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,2
33,59,TVUT6Y,False,False,False,1,Naive,Naive,Naive,88,Unknown,Unknown,1
34,91,TVUT6Y,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,1
35,92,TVUT6Y,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,2
36,9,TVUT6Y,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,1
37,40,TVUT6Y,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,1
38,6,TVUT6Y,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,1
39,88,TVUT6Y,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,1
40,109,TVUT6Y,False,False,False,8,Naive,Naive,Naive,16,100,True,2
41,97,TVUT6Y,False,False,False,0,Naive,Naive,Naive,308,Unknown,Unknown,1
42,32,TVUT6Y,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
43,26,TVUT6Y,False,False,False,0,Naive,Naive,Naive,361,Unknown,Unknown,2
44,46,TVUT6Y,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,1
45,10,TVUT6Y,False,False,False,1,Naive,Naive,Naive,447,Unknown,Unknown,2
46,66,TVUT6Y,False,False,False,0,Naive,Naive,Naive,201,Unknown,Unknown,1
