,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,75,VpW2C5,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,1
1,54,VpW2C5,False,False,False,0,Naive,Naive,Naive,131,Unknown,Unknown,2
2,90,VpW2C5,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,1
3,5,VpW2C5,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,2
4,91,VpW2C5,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,2
5,31,VpW2C5,False,False,False,0,Naive,Naive,Naive,141,Unknown,Unknown,1
6,39,VpW2C5,False,False,False,0,Naive,Naive,Naive,434,Unknown,Unknown,2
7,4,VpW2C5,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,2
8,80,VpW2C5,False,False,False,0,Naive,Naive,Naive,81,Unknown,Unknown,2
9,94,VpW2C5,False,False,False,0,Naive,Naive,Naive,345,Unknown,Unknown,1
10,41,VpW2C5,False,False,False,0,Naive,Naive,Naive,139,Unknown,Unknown,2
11,47,VpW2C5,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,1
12,6,VpW2C5,False,False,False,0,Naive,Naive,Naive,79,Unknown,Unknown,2
13,19,VpW2C5,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,2
14,14,VpW2C5,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,1
15,86,VpW2C5,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,2
16,77,VpW2C5,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,2
17,79,VpW2C5,False,False,False,1,Naive,Naive,Naive,433,Unknown,Unknown,2
18,34,VpW2C5,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,1
19,26,VpW2C5,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,1
20,89,VpW2C5,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,2
21,51,VpW2C5,False,False,False,0,Naive,Naive,Naive,373,Unknown,Unknown,2
22,33,VpW2C5,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,2
23,99,VpW2C5,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,1
24,62,VpW2C5,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,2
25,55,VpW2C5,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,2
26,27,VpW2C5,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,1
27,70,VpW2C5,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,1
28,73,VpW2C5,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,2
29,38,VpW2C5,False,False,False,0,Naive,Naive,Naive,293,Unknown,Unknown,1
30,68,VpW2C5,False,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,2
31,87,VpW2C5,False,False,False,0,Naive,Naive,Naive,177,Unknown,Unknown,1
32,53,VpW2C5,False,False,False,0,Naive,Naive,Naive,107,Unknown,Unknown,1
33,9,VpW2C5,False,False,False,0,Naive,Naive,Naive,474,Unknown,Unknown,1
34,71,VpW2C5,False,False,False,0,Naive,Naive,Naive,75,Unknown,Unknown,1
35,83,VpW2C5,False,False,False,1,Naive,Naive,Naive,366,Unknown,Unknown,1
36,60,VpW2C5,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,1
37,13,VpW2C5,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,1
38,32,VpW2C5,False,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,2
39,106,VpW2C5,False,False,False,0,Naive,Naive,Naive,22,33,False,1
40,35,VpW2C5,False,False,False,0,Naive,Naive,Naive,123,Unknown,Unknown,2
41,85,VpW2C5,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,2
42,78,VpW2C5,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,2
43,36,VpW2C5,False,False,False,0,Naive,Naive,Naive,524,Unknown,Unknown,2
44,124,VpW2C5,False,False,False,0,Naive,Naive,Naive,13,111,False,2
45,17,VpW2C5,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,2
46,63,VpW2C5,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,2
47,123,VpW2C5,False,False,False,0,Naive,Naive,Naive,14,42,False,1
48,69,VpW2C5,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,1
49,16,VpW2C5,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,1
50,21,VpW2C5,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,2
51,98,VpW2C5,False,False,False,0,Naive,Naive,Naive,308,Unknown,Unknown,2
52,92,VpW2C5,False,False,False,0,Naive,Naive,Naive,73,Unknown,Unknown,2
53,59,VpW2C5,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,1
54,93,VpW2C5,False,False,False,0,Naive,Naive,Naive,91,Unknown,Unknown,1
55,56,VpW2C5,False,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,2
56,1,VpW2C5,False,False,False,0,Naive,Naive,Naive,508,Unknown,Unknown,1
57,20,VpW2C5,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,2
58,37,VpW2C5,False,False,False,0,Naive,Naive,Naive,141,Unknown,Unknown,1
59,25,VpW2C5,False,False,False,0,Naive,Naive,Naive,401,Unknown,Unknown,1
60,45,VpW2C5,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,1
61,58,VpW2C5,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,2
62,50,VpW2C5,False,False,False,0,Naive,Naive,Naive,344,Unknown,Unknown,1
63,82,VpW2C5,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,1
64,97,VpW2C5,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,2
65,111,VpW2C5,False,False,False,0,Naive,Naive,Naive,35,65,False,2
66,8,VpW2C5,False,False,False,0,Naive,Naive,Naive,518,Unknown,Unknown,2
67,29,VpW2C5,False,False,False,0,Naive,Naive,Naive,307,Unknown,Unknown,2
68,2,VpW2C5,False,False,False,0,Naive,Naive,Naive,520,Unknown,Unknown,1
69,65,VpW2C5,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,2
70,76,VpW2C5,False,False,False,0,Naive,Naive,Naive,202,Unknown,Unknown,1
71,81,VpW2C5,False,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,2
72,66,VpW2C5,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,1
73,52,VpW2C5,False,False,False,0,Naive,Naive,Naive,245,Unknown,Unknown,2
74,72,VpW2C5,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,1
75,138,VpW2C5,False,False,False,0,Naive,Naive,Naive,31,35,False,1
76,113,VpW2C5,False,False,False,0,Naive,Naive,Naive,46,106,False,2
77,96,VpW2C5,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,2
78,125,VpW2C5,False,False,False,0,Naive,Naive,Naive,41,57,False,2
79,57,VpW2C5,False,False,False,0,Naive,Naive,Naive,205,Unknown,Unknown,1
80,168,VpW2C5,False,False,False,0,Naive,Naive,Naive,15,143,False,1
81,46,VpW2C5,False,False,False,0,Naive,Naive,Naive,199,Unknown,Unknown,1
82,15,VpW2C5,False,False,False,0,Naive,Naive,Naive,507,Unknown,Unknown,1
83,140,VpW2C5,False,False,False,0,Naive,Naive,Naive,36,7,False,2
84,22,VpW2C5,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,2
85,24,VpW2C5,False,False,False,0,Naive,Naive,Naive,176,Unknown,Unknown,1
86,121,VpW2C5,False,False,False,0,Naive,Naive,Naive,53,110,False,1
87,40,VpW2C5,False,False,False,0,Naive,Naive,Naive,530,Unknown,Unknown,2
88,67,VpW2C5,False,False,False,1,Naive,Naive,Naive,458,Unknown,Unknown,2
89,95,VpW2C5,False,False,False,0,Naive,Naive,Naive,116,Unknown,Unknown,2
90,126,VpW2C5,False,False,False,0,Naive,Naive,Naive,55,97,False,2
91,7,VpW2C5,False,False,False,0,Naive,Naive,Naive,111,Unknown,Unknown,2
92,102,VpW2C5,False,False,False,0,Naive,Naive,Naive,76,43,False,2
93,49,VpW2C5,False,False,False,0,Naive,Naive,Naive,151,Unknown,Unknown,1
94,88,VpW2C5,False,False,False,0,Naive,Naive,Naive,142,Unknown,Unknown,1
95,61,VpW2C5,False,False,False,0,Naive,Naive,Naive,329,Unknown,Unknown,2
96,149,VpW2C5,False,False,False,0,Naive,Naive,Naive,54,74,False,1
97,84,VpW2C5,False,False,False,2,Naive,Naive,Naive,237,Unknown,Unknown,1
98,64,VpW2C5,False,False,False,0,Naive,Naive,Naive,98,Unknown,Unknown,2
99,42,VpW2C5,False,False,False,0,Naive,Naive,Naive,108,Unknown,Unknown,2
100,110,VpW2C5,False,False,False,0,Naive,Naive,Naive,83,46,False,1
101,28,VpW2C5,False,False,False,0,Naive,Naive,Naive,102,Unknown,Unknown,1
102,171,VpW2C5,False,False,False,0,Naive,Naive,Naive,43,148,False,2
103,155,VpW2C5,False,False,False,1,Naive,Naive,Naive,59,109,False,2
104,148,VpW2C5,False,False,False,0,Naive,Naive,Naive,64,120,False,2
105,198,VpW2C5,False,False,False,0,Naive,Naive,Naive,11,148,False,2
106,147,VpW2C5,False,False,False,0,Naive,Naive,Naive,68,97,False,2
107,142,VpW2C5,False,False,False,0,Naive,Naive,Naive,71,37,False,2
108,117,VpW2C5,False,False,False,0,Naive,Naive,Naive,88,60,False,1
109,10,VpW2C5,False,False,False,1,Naive,Naive,Naive,126,Unknown,Unknown,2
110,30,VpW2C5,False,False,False,2,Naive,Naive,Naive,115,Unknown,Unknown,2
