,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,71,VtFfRG,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,2
1,27,VtFfRG,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,2
2,77,VtFfRG,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
3,97,VtFfRG,False,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,1
4,28,VtFfRG,False,False,False,0,Naive,Naive,Naive,230,Unknown,Unknown,1
5,41,VtFfRG,False,False,False,0,Naive,Naive,Naive,27,Unknown,Unknown,1
6,52,VtFfRG,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,2
7,47,VtFfRG,False,False,False,0,Naive,Naive,Naive,413,Unknown,Unknown,2
8,50,VtFfRG,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,1
9,86,VtFfRG,False,False,False,0,Naive,Naive,Naive,410,Unknown,Unknown,1
10,42,VtFfRG,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,1
11,61,VtFfRG,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,1
12,66,VtFfRG,False,False,False,0,Naive,Naive,Naive,216,Unknown,Unknown,1
13,84,VtFfRG,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,2
14,95,VtFfRG,False,False,False,0,Naive,Naive,Naive,266,Unknown,Unknown,1
15,22,VtFfRG,False,False,False,0,Naive,Naive,Naive,249,Unknown,Unknown,1
16,30,VtFfRG,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,2
17,18,VtFfRG,False,False,False,0,Naive,Naive,Naive,343,Unknown,Unknown,1
18,20,VtFfRG,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,1
19,11,VtFfRG,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,2
20,40,VtFfRG,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,1
21,6,VtFfRG,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,2
22,89,VtFfRG,False,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,2
23,24,VtFfRG,False,False,False,0,Naive,Naive,Naive,110,Unknown,Unknown,1
24,32,VtFfRG,False,False,False,0,Naive,Naive,Naive,147,Unknown,Unknown,2
25,34,VtFfRG,False,False,False,0,Naive,Naive,Naive,58,Unknown,Unknown,1
26,4,VtFfRG,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,2
27,26,VtFfRG,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,1
28,87,VtFfRG,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,2
29,72,VtFfRG,False,False,False,0,Naive,Naive,Naive,429,Unknown,Unknown,2
30,38,VtFfRG,False,False,False,0,Naive,Naive,Naive,103,Unknown,Unknown,1
31,44,VtFfRG,False,False,False,0,Naive,Naive,Naive,490,Unknown,Unknown,1
32,10,VtFfRG,False,False,False,0,Naive,Naive,Naive,219,Unknown,Unknown,1
33,74,VtFfRG,False,False,False,1,Naive,Naive,Naive,373,Unknown,Unknown,1
34,68,VtFfRG,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,1
35,76,VtFfRG,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,1
36,35,VtFfRG,False,False,False,0,Naive,Naive,Naive,38,Unknown,Unknown,1
37,14,VtFfRG,False,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,2
38,19,VtFfRG,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,2
39,65,VtFfRG,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,2
40,58,VtFfRG,False,False,False,0,Naive,Naive,Naive,223,Unknown,Unknown,2
41,67,VtFfRG,False,False,False,0,Naive,Naive,Naive,472,Unknown,Unknown,2
42,70,VtFfRG,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,1
43,1,VtFfRG,False,False,False,0,Naive,Naive,Naive,152,Unknown,Unknown,2
44,5,VtFfRG,False,False,False,0,Naive,Naive,Naive,271,Unknown,Unknown,2
45,88,VtFfRG,False,False,False,0,Naive,Naive,Naive,173,Unknown,Unknown,2
46,21,VtFfRG,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,1
47,15,VtFfRG,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,1
48,85,VtFfRG,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,1
49,37,VtFfRG,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,1
50,79,VtFfRG,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,1
51,9,VtFfRG,False,False,False,0,Naive,Naive,Naive,307,Unknown,Unknown,2
52,98,VtFfRG,False,False,False,0,Naive,Naive,Naive,215,Unknown,Unknown,1
53,63,VtFfRG,False,False,False,0,Naive,Naive,Naive,99,Unknown,Unknown,1
54,57,VtFfRG,False,False,False,0,Naive,Naive,Naive,120,Unknown,Unknown,2
55,92,VtFfRG,False,False,False,0,Naive,Naive,Naive,123,Unknown,Unknown,2
56,7,VtFfRG,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,2
