,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,2,XuI3RJ,False,False,False,0,Naive,Naive,Naive,49,Unknown,Unknown,2
1,35,XuI3RJ,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,2
2,67,XuI3RJ,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,1
3,45,XuI3RJ,False,False,False,0,Naive,Naive,Naive,210,Unknown,Unknown,1
4,96,XuI3RJ,False,False,False,0,Naive,Naive,Naive,66,Unknown,Unknown,2
5,71,XuI3RJ,False,False,False,0,Naive,Naive,Naive,486,Unknown,Unknown,1
6,85,XuI3RJ,False,False,False,0,Naive,Naive,Naive,342,Unknown,Unknown,2
7,19,XuI3RJ,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,2
8,27,XuI3RJ,False,False,False,0,Naive,Naive,Naive,157,Unknown,Unknown,1
9,11,XuI3RJ,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,1
10,75,XuI3RJ,False,False,False,2,Naive,Naive,Naive,324,Unknown,Unknown,1
11,48,XuI3RJ,False,False,False,0,Naive,Naive,Naive,326,Unknown,Unknown,1
12,20,XuI3RJ,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
13,78,XuI3RJ,False,False,False,0,Naive,Naive,Naive,261,Unknown,Unknown,1
14,14,XuI3RJ,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,1
15,33,XuI3RJ,False,False,False,0,Naive,Naive,Naive,396,Unknown,Unknown,1
16,49,XuI3RJ,False,False,False,0,Naive,Naive,Naive,147,Unknown,Unknown,1
17,41,XuI3RJ,False,False,False,0,Naive,Naive,Naive,147,Unknown,Unknown,2
18,54,XuI3RJ,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,1
19,74,XuI3RJ,False,False,False,0,Naive,Naive,Naive,59,Unknown,Unknown,1
20,77,XuI3RJ,False,False,False,0,Naive,Naive,Naive,217,Unknown,Unknown,1
21,88,XuI3RJ,False,False,False,0,Naive,Naive,Naive,454,Unknown,Unknown,2
22,62,XuI3RJ,False,False,False,0,Naive,Naive,Naive,74,Unknown,Unknown,2
23,60,XuI3RJ,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,2
24,36,XuI3RJ,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,1
25,46,XuI3RJ,False,False,False,0,Naive,Naive,Naive,203,Unknown,Unknown,1
26,63,XuI3RJ,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,2
27,7,XuI3RJ,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,2
28,90,XuI3RJ,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,2
29,58,XuI3RJ,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,2
30,66,XuI3RJ,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
31,57,XuI3RJ,False,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,1
32,21,XuI3RJ,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,1
33,37,XuI3RJ,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,2
34,99,XuI3RJ,False,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,1
35,72,XuI3RJ,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,2
36,79,XuI3RJ,False,False,False,0,Naive,Naive,Naive,307,Unknown,Unknown,2
37,64,XuI3RJ,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,2
38,22,XuI3RJ,False,False,False,0,Naive,Naive,Naive,166,Unknown,Unknown,2
39,23,XuI3RJ,False,False,False,0,Naive,Naive,Naive,509,Unknown,Unknown,2
40,55,XuI3RJ,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,1
41,94,XuI3RJ,False,False,False,0,Naive,Naive,Naive,213,Unknown,Unknown,1
42,4,XuI3RJ,False,False,False,0,Naive,Naive,Naive,86,Unknown,Unknown,1
43,1,XuI3RJ,False,False,False,0,Naive,Naive,Naive,199,Unknown,Unknown,1
44,98,XuI3RJ,False,False,False,0,Naive,Naive,Naive,317,Unknown,Unknown,2
45,16,XuI3RJ,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,1
46,29,XuI3RJ,False,False,False,0,Naive,Naive,Naive,57,Unknown,Unknown,1
47,73,XuI3RJ,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
48,51,XuI3RJ,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,2
49,15,XuI3RJ,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,1
50,84,XuI3RJ,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,2
51,9,XuI3RJ,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,1
52,146,XuI3RJ,False,False,False,0,Naive,Naive,Naive,6,137,False,1
53,76,XuI3RJ,False,False,False,0,Naive,Naive,Naive,393,Unknown,Unknown,2
54,17,XuI3RJ,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,2
55,148,XuI3RJ,False,False,False,0,Naive,Naive,Naive,6,107,False,2
56,86,XuI3RJ,False,False,False,0,Naive,Naive,Naive,125,Unknown,Unknown,1
57,42,XuI3RJ,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
