,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,94,YhEqsX,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,2
1,68,YhEqsX,False,False,False,0,Naive,Naive,Naive,469,Unknown,Unknown,1
2,58,YhEqsX,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,2
3,13,YhEqsX,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,2
4,12,YhEqsX,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,2
5,11,YhEqsX,False,False,False,0,Naive,Naive,Naive,35,Unknown,Unknown,2
6,23,YhEqsX,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,2
7,91,YhEqsX,False,False,False,0,Naive,Naive,Naive,370,Unknown,Unknown,2
8,88,YhEqsX,False,False,False,0,Naive,Naive,Naive,234,Unknown,Unknown,2
9,20,YhEqsX,False,False,False,0,Naive,Naive,Naive,202,Unknown,Unknown,2
10,37,YhEqsX,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,2
11,34,YhEqsX,False,False,False,1,Naive,Naive,Naive,411,Unknown,Unknown,1
12,93,YhEqsX,False,False,False,0,Naive,Naive,Naive,402,Unknown,Unknown,1
13,43,YhEqsX,False,True,True,2,428,2,social,435,Unknown,Unknown,1
14,54,YhEqsX,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,1
15,72,YhEqsX,False,False,False,0,Naive,Naive,Naive,477,Unknown,Unknown,1
16,5,YhEqsX,False,False,False,0,Naive,Naive,Naive,341,Unknown,Unknown,1
17,63,YhEqsX,False,False,False,0,Naive,Naive,Naive,222,Unknown,Unknown,1
18,17,YhEqsX,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,2
19,3,YhEqsX,False,False,False,0,Naive,Naive,Naive,188,Unknown,Unknown,2
20,66,YhEqsX,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
21,75,YhEqsX,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,2
22,86,YhEqsX,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
23,60,YhEqsX,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,2
24,48,YhEqsX,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,1
25,2,YhEqsX,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,1
26,116,YhEqsX,False,False,False,0,Naive,Naive,Naive,5,8,False,2
27,83,YhEqsX,False,False,False,0,Naive,Naive,Naive,330,Unknown,Unknown,1
28,77,YhEqsX,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,2
29,35,YhEqsX,False,False,False,0,Naive,Naive,Naive,256,Unknown,Unknown,1
30,73,YhEqsX,False,False,False,0,Naive,Naive,Naive,250,Unknown,Unknown,2
31,25,YhEqsX,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,2
32,87,YhEqsX,False,False,False,0,Naive,Naive,Naive,308,Unknown,Unknown,1
33,18,YhEqsX,False,False,False,0,Naive,Naive,Naive,204,Unknown,Unknown,1
34,39,YhEqsX,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,2
35,79,YhEqsX,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
36,15,YhEqsX,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,2
37,19,YhEqsX,False,False,False,0,Naive,Naive,Naive,53,Unknown,Unknown,2
38,1,YhEqsX,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,1
39,45,YhEqsX,False,False,False,0,Naive,Naive,Naive,300,Unknown,Unknown,1
40,61,YhEqsX,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,1
41,55,YhEqsX,False,False,False,0,Naive,Naive,Naive,402,Unknown,Unknown,2
42,89,YhEqsX,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,2
43,99,YhEqsX,False,False,False,0,Naive,Naive,Naive,188,Unknown,Unknown,1
44,78,YhEqsX,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,1
45,74,YhEqsX,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,2
46,95,YhEqsX,False,False,False,0,Naive,Naive,Naive,362,Unknown,Unknown,2
