,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,97,Z7eTr7,False,False,False,0,Naive,Naive,Naive,106,Unknown,Unknown,2
1,19,Z7eTr7,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,2
2,95,Z7eTr7,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,2
3,67,Z7eTr7,False,False,False,0,Naive,Naive,Naive,164,Unknown,Unknown,2
4,92,Z7eTr7,False,False,False,0,Naive,Naive,Naive,41,Unknown,Unknown,2
5,13,Z7eTr7,False,False,False,0,Naive,Naive,Naive,141,Unknown,Unknown,1
6,89,Z7eTr7,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,1
7,51,Z7eTr7,False,False,False,0,Naive,Naive,Naive,305,Unknown,Unknown,2
8,93,Z7eTr7,False,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,2
9,52,Z7eTr7,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,2
10,32,Z7eTr7,False,False,False,0,Naive,Naive,Naive,195,Unknown,Unknown,1
11,57,Z7eTr7,False,False,False,0,Naive,Naive,Naive,195,Unknown,Unknown,1
12,35,Z7eTr7,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,1
13,7,Z7eTr7,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,1
14,42,Z7eTr7,False,False,False,0,Naive,Naive,Naive,270,Unknown,Unknown,2
15,4,Z7eTr7,False,False,False,0,Naive,Naive,Naive,421,Unknown,Unknown,1
16,63,Z7eTr7,False,False,False,0,Naive,Naive,Naive,200,Unknown,Unknown,2
17,48,Z7eTr7,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,1
18,49,Z7eTr7,False,False,False,0,Naive,Naive,Naive,278,Unknown,Unknown,2
19,41,Z7eTr7,False,False,False,0,Naive,Naive,Naive,213,Unknown,Unknown,2
20,36,Z7eTr7,False,False,False,0,Naive,Naive,Naive,49,Unknown,Unknown,2
21,56,Z7eTr7,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,2
22,50,Z7eTr7,False,False,False,0,Naive,Naive,Naive,66,Unknown,Unknown,1
23,31,Z7eTr7,False,False,False,0,Naive,Naive,Naive,188,Unknown,Unknown,1
24,59,Z7eTr7,False,False,False,1,Naive,Naive,Naive,509,Unknown,Unknown,1
25,99,Z7eTr7,False,False,False,0,Naive,Naive,Naive,137,Unknown,Unknown,1
26,58,Z7eTr7,False,False,False,0,Naive,Naive,Naive,290,Unknown,Unknown,2
27,66,Z7eTr7,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,2
28,15,Z7eTr7,False,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,1
29,23,Z7eTr7,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,2
30,79,Z7eTr7,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,1
31,1,Z7eTr7,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,2
32,53,Z7eTr7,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,1
33,84,Z7eTr7,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,1
34,45,Z7eTr7,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
35,87,Z7eTr7,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,1
36,38,Z7eTr7,False,False,False,0,Naive,Naive,Naive,403,Unknown,Unknown,1
37,70,Z7eTr7,False,False,False,0,Naive,Naive,Naive,85,Unknown,Unknown,1
38,12,Z7eTr7,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,2
39,3,Z7eTr7,False,False,False,0,Naive,Naive,Naive,25,Unknown,Unknown,2
40,40,Z7eTr7,False,False,False,0,Naive,Naive,Naive,503,Unknown,Unknown,1
41,98,Z7eTr7,False,False,False,0,Naive,Naive,Naive,99,Unknown,Unknown,1
42,73,Z7eTr7,False,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,2
43,55,Z7eTr7,False,False,False,0,Naive,Naive,Naive,528,Unknown,Unknown,2
44,85,Z7eTr7,False,False,False,0,Naive,Naive,Naive,524,Unknown,Unknown,1
