,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,63,aqF69z,False,False,False,0,Naive,Naive,Naive,93,Unknown,Unknown,2
1,83,aqF69z,False,False,False,0,Naive,Naive,Naive,490,Unknown,Unknown,1
2,80,aqF69z,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
3,29,aqF69z,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,2
4,72,aqF69z,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,2
5,82,aqF69z,False,False,False,0,Naive,Naive,Naive,225,Unknown,Unknown,1
6,44,aqF69z,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,2
7,8,aqF69z,False,False,False,0,Naive,Naive,Naive,225,Unknown,Unknown,2
8,88,aqF69z,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,1
9,77,aqF69z,False,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,2
10,84,aqF69z,False,False,False,0,Naive,Naive,Naive,255,Unknown,Unknown,1
11,94,aqF69z,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,2
12,36,aqF69z,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,2
13,55,aqF69z,False,False,False,0,Naive,Naive,Naive,268,Unknown,Unknown,2
14,96,aqF69z,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
15,48,aqF69z,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,1
16,98,aqF69z,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,2
17,75,aqF69z,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,2
18,4,aqF69z,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,2
19,28,aqF69z,False,False,False,0,Naive,Naive,Naive,231,Unknown,Unknown,2
20,12,aqF69z,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
21,15,aqF69z,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,2
