,source,target
0,91.0,15.0
0,45.0,12.0
0,49.0,88.0
0,10.0,16.0
0,18.0,6.0
0,13.0,44.0
0,47.0,59.0
0,77.0,38.0
0,57.0,93.0
0,63.0,34.0
0,83.0,35.0
0,30.0,4.0
0,53.0,89.0
0,33.0,17.0
0,9.0,24.0
0,47.0,61.0
0,91.0,5.0
0,16.0,62.0
0,41.0,57.0
0,14.0,76.0
0,39.0,10.0
0,73.0,30.0
0,22.0,84.0
0,31.0,46.0
0,23.0,64.0
0,83.0,80.0
0,102.0,39.0
0,68.0,90.0
0,91.0,70.0
0,74.0,32.0
0,34.0,82.0
0,102.0,10.0
0,102.0,62.0
0,79.0,88.0
0,91.0,3.0
0,96.0,48.0
0,35.0,24.0
0,17.0,9.0
0,24.0,101.0
0,58.0,23.0
0,15.0,100.0
0,59.0,61.0
0,12.0,52.0
0,69.0,53.0
0,21.0,29.0
0,95.0,38.0
0,38.0,77.0
0,48.0,79.0
0,71.0,18.0
0,31.0,46.0
0,47.0,35.0
0,37.0,80.0
0,52.0,12.0
0,75.0,30.0
0,94.0,29.0
0,6.0,71.0
0,94.0,89.0
0,22.0,84.0
0,53.0,37.0
0,62.0,39.0
0,50.0,21.0
0,10.0,102.0
0,42.0,1.0
0,80.0,103.0
0,82.0,34.0
0,24.0,17.0
0,30.0,28.0
0,83.0,24.0
0,26.0,31.0
0,5.0,61.0
0,14.0,51.0
0,34.0,63.0
0,61.0,59.0
0,99.0,22.0
0,62.0,39.0
0,24.0,9.0
0,105.0,84.0
0,50.0,29.0
0,12.0,104.0
0,4.0,66.0
0,40.0,55.0
0,94.0,89.0
0,90.0,52.0
0,46.0,31.0
0,48.0,96.0
0,77.0,87.0
0,80.0,83.0
0,62.0,102.0
0,103.0,17.0
0,34.0,13.0
0,80.0,37.0
0,6.0,8.0
0,103.0,80.0
0,13.0,109.0
0,100.0,70.0
0,46.0,56.0
0,4.0,107.0
0,70.0,3.0
0,68.0,34.0
0,78.0,92.0
0,100.0,91.0
0,24.0,101.0
0,41.0,18.0
0,86.0,55.0
0,89.0,94.0
0,108.0,46.0
0,104.0,106.0
0,56.0,31.0
0,52.0,45.0
0,71.0,8.0
0,23.0,72.0
0,75.0,66.0
0,38.0,95.0
0,42.0,19.0
0,87.0,77.0
0,17.0,83.0
0,12.0,52.0
0,54.0,60.0
0,76.0,5.0
0,22.0,105.0
0,14.0,72.0
0,63.0,68.0
0,30.0,75.0
0,10.0,56.0
0,52.0,82.0
0,106.0,12.0
0,88.0,96.0
0,82.0,45.0
0,13.0,109.0
0,109.0,106.0
0,61.0,11.0
0,103.0,83.0
0,106.0,110.0
0,24.0,101.0
0,31.0,10.0
0,21.0,94.0
0,36.0,85.0
0,86.0,20.0
0,66.0,107.0
0,19.0,111.0
0,80.0,103.0
0,55.0,26.0
0,110.0,104.0
0,42.0,27.0
0,24.0,33.0
0,75.0,66.0
0,12.0,30.0
0,46.0,31.0
0,92.0,78.0
0,56.0,108.0
0,6.0,71.0
0,81.0,27.0
0,106.0,12.0
0,22.0,105.0
0,61.0,11.0
0,72.0,47.0
0,109.0,110.0
0,24.0,101.0
0,9.0,21.0
0,89.0,94.0
0,58.0,14.0
0,66.0,107.0
0,88.0,17.0
0,86.0,62.0
0,8.0,36.0
0,112.0,24.0
0,33.0,112.0
0,110.0,106.0
0,52.0,45.0
0,5.0,76.0
0,42.0,43.0
0,19.0,111.0
0,31.0,108.0
0,110.0,104.0
0,38.0,77.0
0,13.0,63.0
0,33.0,9.0
0,70.0,61.0
0,40.0,31.0
0,80.0,9.0
0,24.0,101.0
0,58.0,14.0
0,13.0,109.0
0,80.0,103.0
0,12.0,45.0
0,77.0,38.0
0,66.0,107.0
0,34.0,63.0
0,109.0,110.0
0,15.0,90.0
0,100.0,91.0
0,34.0,52.0
0,22.0,105.0
0,76.0,114.0
0,47.0,72.0
0,30.0,75.0
0,6.0,71.0
0,9.0,33.0
0,48.0,79.0
0,18.0,77.0
0,61.0,3.0
0,48.0,53.0
0,116.0,107.0
0,108.0,56.0
0,3.0,98.0
0,13.0,109.0
0,12.0,117.0
0,82.0,45.0
0,113.0,66.0
0,3.0,70.0
0,40.0,108.0
0,109.0,68.0
0,72.0,47.0
0,86.0,40.0
0,71.0,118.0
0,18.0,24.0
0,12.0,104.0
0,111.0,11.0
0,76.0,114.0
0,100.0,91.0
0,14.0,115.0
0,79.0,119.0
0,116.0,113.0
0,47.0,72.0
0,31.0,108.0
0,13.0,52.0
0,40.0,86.0
0,75.0,117.0
0,117.0,120.0
0,104.0,75.0
0,13.0,109.0
0,85.0,78.0
0,53.0,48.0
0,66.0,26.0
0,42.0,111.0
0,6.0,94.0
0,5.0,114.0
0,116.0,113.0
0,21.0,80.0
0,61.0,98.0
0,35.0,76.0
0,24.0,101.0
0,114.0,58.0
0,26.0,107.0
0,118.0,71.0
0,12.0,104.0
0,107.0,113.0
0,111.0,11.0
0,70.0,61.0
0,66.0,20.0
0,12.0,104.0
0,82.0,52.0
0,111.0,121.0
0,20.0,116.0
0,24.0,101.0
0,87.0,36.0
0,99.0,10.0
0,118.0,6.0
0,105.0,22.0
0,61.0,68.0
0,99.0,105.0
0,82.0,13.0
0,12.0,75.0
0,104.0,45.0
0,76.0,114.0
0,52.0,109.0
0,43.0,81.0
0,112.0,24.0
0,76.0,100.0
0,117.0,120.0
0,62.0,4.0
0,58.0,47.0
0,66.0,107.0
0,124.0,58.0
0,40.0,86.0
0,71.0,94.0
0,42.0,11.0
0,109.0,82.0
0,31.0,108.0
0,12.0,104.0
0,107.0,116.0
0,101.0,18.0
0,26.0,4.0
0,22.0,105.0
0,26.0,20.0
0,30.0,34.0
0,28.0,66.0
0,104.0,106.0
0,102.0,99.0
0,10.0,122.0
0,13.0,109.0
0,124.0,25.0
0,43.0,81.0
0,11.0,121.0
0,103.0,112.0
0,98.0,68.0
0,66.0,107.0
0,123.0,98.0
0,66.0,113.0
0,39.0,26.0
0,68.0,123.0
0,114.0,124.0
0,3.0,63.0
0,14.0,47.0
0,111.0,51.0
0,15.0,3.0
0,71.0,118.0
0,63.0,3.0
0,24.0,101.0
0,52.0,75.0
0,28.0,66.0
0,18.0,103.0
0,62.0,26.0
0,31.0,108.0
0,76.0,124.0
0,27.0,2.0
0,102.0,122.0
0,106.0,12.0
0,42.0,11.0
0,28.0,116.0
0,123.0,98.0
0,12.0,126.0
0,104.0,30.0
0,112.0,18.0
0,126.0,104.0
0,76.0,114.0
0,25.0,14.0
0,11.0,121.0
0,107.0,28.0
0,22.0,105.0
0,86.0,56.0
0,43.0,81.0
0,109.0,63.0
0,40.0,86.0
0,68.0,123.0
0,107.0,113.0
0,94.0,71.0
0,116.0,107.0
0,30.0,106.0
0,79.0,119.0
0,100.0,58.0
0,3.0,110.0
0,127.0,28.0
0,71.0,79.0
0,82.0,125.0
0,3.0,61.0
0,4.0,20.0
0,22.0,105.0
0,76.0,100.0
0,52.0,104.0
0,52.0,117.0
0,57.0,32.0
0,13.0,109.0
0,24.0,101.0
0,34.0,30.0
0,70.0,11.0
0,79.0,118.0
0,75.0,126.0
0,12.0,52.0
0,31.0,120.0
0,10.0,122.0
0,11.0,121.0
0,53.0,96.0
0,63.0,3.0
0,81.0,51.0
0,107.0,113.0
0,14.0,115.0
0,31.0,75.0
0,58.0,76.0
0,50.0,21.0
0,52.0,104.0
0,110.0,109.0
0,76.0,114.0
0,10.0,122.0
0,24.0,77.0
0,52.0,126.0
0,112.0,101.0
0,31.0,108.0
0,128.0,120.0
0,52.0,128.0
0,116.0,113.0
0,71.0,118.0
0,35.0,25.0
0,22.0,105.0
0,75.0,127.0
0,107.0,116.0
0,53.0,96.0
0,115.0,47.0
0,98.0,15.0
0,6.0,79.0
0,98.0,110.0
0,66.0,28.0
0,6.0,50.0
0,121.0,11.0
0,120.0,31.0
