,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,67,h1URzs,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,2
1,36,h1URzs,False,False,False,0,Naive,Naive,Naive,373,Unknown,Unknown,1
2,65,h1URzs,False,False,False,0,Naive,Naive,Naive,468,Unknown,Unknown,1
3,24,h1URzs,False,False,False,0,Naive,Naive,Naive,74,Unknown,Unknown,2
4,72,h1URzs,False,False,False,0,Naive,Naive,Naive,194,Unknown,Unknown,2
5,46,h1URzs,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,2
6,28,h1URzs,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,2
7,38,h1URzs,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,1
8,68,h1URzs,False,False,False,0,Naive,Naive,Naive,390,Unknown,Unknown,2
9,2,h1URzs,False,False,False,0,Naive,Naive,Naive,420,Unknown,Unknown,2
10,90,h1URzs,False,False,False,0,Naive,Naive,Naive,378,Unknown,Unknown,2
11,11,h1URzs,False,False,False,0,Naive,Naive,Naive,503,Unknown,Unknown,2
12,23,h1URzs,False,False,False,0,Naive,Naive,Naive,334,Unknown,Unknown,2
13,84,h1URzs,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,1
14,87,h1URzs,False,False,False,0,Naive,Naive,Naive,312,Unknown,Unknown,1
15,78,h1URzs,False,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,2
16,9,h1URzs,False,False,False,0,Naive,Naive,Naive,66,Unknown,Unknown,2
17,37,h1URzs,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,2
18,75,h1URzs,False,False,False,0,Naive,Naive,Naive,155,Unknown,Unknown,1
19,6,h1URzs,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,1
20,99,h1URzs,False,False,False,0,Naive,Naive,Naive,334,Unknown,Unknown,2
21,39,h1URzs,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,1
22,34,h1URzs,False,False,False,0,Naive,Naive,Naive,186,Unknown,Unknown,2
23,96,h1URzs,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,2
24,61,h1URzs,False,False,False,0,Naive,Naive,Naive,299,Unknown,Unknown,2
25,45,h1URzs,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,2
26,25,h1URzs,False,False,False,0,Naive,Naive,Naive,212,Unknown,Unknown,1
27,31,h1URzs,False,False,False,1,Naive,Naive,Naive,452,Unknown,Unknown,1
28,30,h1URzs,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,1
29,53,h1URzs,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,2
30,43,h1URzs,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
31,40,h1URzs,False,False,False,0,Naive,Naive,Naive,126,Unknown,Unknown,1
32,108,h1URzs,False,False,False,0,Naive,Naive,Naive,14,101,False,1
33,74,h1URzs,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,1
34,16,h1URzs,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,2
35,73,h1URzs,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,1
36,32,h1URzs,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
37,55,h1URzs,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,2
38,12,h1URzs,False,False,False,0,Naive,Naive,Naive,250,Unknown,Unknown,2
39,95,h1URzs,False,False,False,0,Naive,Naive,Naive,194,Unknown,Unknown,1
40,52,h1URzs,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,1
41,44,h1URzs,False,False,False,0,Naive,Naive,Naive,402,Unknown,Unknown,1
42,29,h1URzs,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,2
43,49,h1URzs,False,False,False,0,Naive,Naive,Naive,182,Unknown,Unknown,2
44,60,h1URzs,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,2
45,13,h1URzs,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,1
46,107,h1URzs,False,False,False,0,Naive,Naive,Naive,20,98,False,1
47,7,h1URzs,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,1
48,26,h1URzs,False,False,False,0,Naive,Naive,Naive,39,Unknown,Unknown,1
49,59,h1URzs,False,False,False,0,Naive,Naive,Naive,211,Unknown,Unknown,1
50,64,h1URzs,False,False,False,0,Naive,Naive,Naive,105,Unknown,Unknown,2
51,94,h1URzs,False,False,False,0,Naive,Naive,Naive,500,Unknown,Unknown,2
52,76,h1URzs,False,False,False,0,Naive,Naive,Naive,508,Unknown,Unknown,1
53,133,h1URzs,False,False,False,0,Naive,Naive,Naive,10,4,False,1
