,source,target
0,20.0,17.0
0,70.0,21.0
0,60.0,71.0
0,90.0,34.0
0,39.0,74.0
0,16.0,61.0
0,87.0,98.0
0,81.0,100.0
0,68.0,58.0
0,28.0,16.0
0,96.0,40.0
0,64.0,37.0
0,71.0,96.0
0,14.0,5.0
0,1.0,91.0
0,64.0,6.0
0,49.0,64.0
0,98.0,46.0
0,51.0,28.0
0,16.0,25.0
0,10.0,7.0
0,20.0,93.0
0,78.0,54.0
0,3.0,8.0
0,9.0,102.0
0,35.0,38.0
0,95.0,73.0
0,65.0,14.0
0,60.0,71.0
0,94.0,86.0
0,49.0,39.0
0,52.0,84.0
0,9.0,100.0
0,89.0,83.0
0,74.0,64.0
0,93.0,36.0
0,28.0,34.0
0,66.0,21.0
0,91.0,1.0
0,37.0,22.0
0,92.0,82.0
0,16.0,52.0
0,67.0,59.0
0,84.0,16.0
0,51.0,61.0
0,82.0,95.0
0,45.0,42.0
0,87.0,2.0
0,34.0,101.0
0,2.0,98.0
0,54.0,15.0
0,81.0,9.0
0,64.0,6.0
0,58.0,94.0
0,90.0,51.0
0,97.0,12.0
0,20.0,69.0
0,14.0,65.0
0,46.0,87.0
0,60.0,71.0
0,77.0,5.0
0,44.0,82.0
0,100.0,102.0
0,32.0,58.0
0,38.0,47.0
0,59.0,30.0
0,13.0,34.0
0,9.0,74.0
0,95.0,16.0
0,24.0,7.0
0,36.0,17.0
0,39.0,72.0
0,2.0,98.0
0,13.0,101.0
0,59.0,62.0
0,44.0,73.0
0,56.0,35.0
0,72.0,81.0
0,37.0,3.0
0,100.0,103.0
0,69.0,8.0
0,45.0,31.0
0,21.0,70.0
0,104.0,28.0
0,1.0,53.0
0,92.0,19.0
0,20.0,69.0
0,92.0,107.0
0,35.0,38.0
0,34.0,101.0
0,17.0,36.0
0,71.0,96.0
0,18.0,22.0
0,52.0,90.0
0,83.0,98.0
0,67.0,62.0
0,14.0,65.0
0,101.0,104.0
0,106.0,14.0
0,69.0,105.0
0,6.0,64.0
0,48.0,75.0
0,37.0,18.0
0,24.0,49.0
0,19.0,92.0
0,26.0,74.0
0,73.0,95.0
0,100.0,103.0
0,38.0,59.0
0,65.0,106.0
0,85.0,100.0
0,69.0,8.0
0,36.0,93.0
0,55.0,107.0
0,48.0,84.0
0,39.0,6.0
0,5.0,77.0
0,71.0,66.0
0,28.0,104.0
0,107.0,83.0
0,1.0,30.0
0,34.0,101.0
0,107.0,108.0
0,2.0,68.0
0,34.0,28.0
0,8.0,105.0
0,52.0,90.0
0,9.0,26.0
0,4.0,70.0
0,18.0,64.0
0,26.0,39.0
0,92.0,19.0
0,28.0,61.0
0,79.0,11.0
0,84.0,75.0
0,35.0,1.0
0,53.0,41.0
0,83.0,44.0
0,90.0,13.0
0,83.0,7.0
0,100.0,102.0
0,30.0,67.0
0,22.0,99.0
0,13.0,34.0
0,56.0,47.0
0,69.0,8.0
0,1.0,91.0
0,66.0,60.0
0,65.0,106.0
0,13.0,101.0
0,17.0,97.0
0,3.0,18.0
0,6.0,64.0
0,86.0,68.0
0,82.0,107.0
0,59.0,35.0
0,9.0,81.0
0,2.0,98.0
0,107.0,108.0
0,102.0,103.0
0,73.0,19.0
0,66.0,96.0
0,46.0,49.0
0,107.0,44.0
0,64.0,9.0
0,100.0,102.0
0,39.0,74.0
0,102.0,103.0
0,59.0,1.0
0,83.0,107.0
0,10.0,3.0
0,91.0,59.0
0,72.0,81.0
0,4.0,76.0
0,28.0,75.0
0,65.0,106.0
0,34.0,101.0
0,55.0,95.0
0,38.0,35.0
0,64.0,37.0
0,86.0,87.0
0,91.0,38.0
0,17.0,93.0
0,26.0,64.0
0,7.0,83.0
0,10.0,26.0
0,2.0,46.0
0,36.0,97.0
0,34.0,104.0
0,8.0,105.0
0,60.0,66.0
0,99.0,22.0
0,96.0,71.0
0,18.0,3.0
0,83.0,98.0
0,38.0,1.0
0,43.0,103.0
0,92.0,49.0
0,53.0,95.0
0,82.0,107.0
0,91.0,38.0
0,44.0,108.0
0,13.0,104.0
0,82.0,44.0
0,79.0,15.0
0,37.0,10.0
0,5.0,65.0
0,44.0,83.0
0,88.0,6.0
0,85.0,76.0
0,103.0,102.0
0,69.0,105.0
0,31.0,58.0
0,92.0,46.0
0,14.0,106.0
0,48.0,16.0
0,104.0,101.0
0,40.0,96.0
