,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,58,jVBpC7,False,False,False,0,Naive,Naive,Naive,366,Unknown,Unknown,2
1,2,jVBpC7,False,False,False,0,Naive,Naive,Naive,373,Unknown,Unknown,2
2,9,jVBpC7,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,2
3,67,jVBpC7,False,False,False,0,Naive,Naive,Naive,40,Unknown,Unknown,1
4,53,jVBpC7,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,1
5,48,jVBpC7,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,1
6,31,jVBpC7,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,1
7,63,jVBpC7,False,False,False,0,Naive,Naive,Naive,239,Unknown,Unknown,1
8,40,jVBpC7,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,1
9,16,jVBpC7,False,False,False,0,Naive,Naive,Naive,220,Unknown,Unknown,2
10,21,jVBpC7,False,False,False,0,Naive,Naive,Naive,343,Unknown,Unknown,1
11,64,jVBpC7,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,2
12,76,jVBpC7,False,False,False,0,Naive,Naive,Naive,406,Unknown,Unknown,2
13,92,jVBpC7,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,1
14,39,jVBpC7,False,False,False,0,Naive,Naive,Naive,346,Unknown,Unknown,2
15,32,jVBpC7,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,2
16,71,jVBpC7,False,False,False,0,Naive,Naive,Naive,237,Unknown,Unknown,2
17,82,jVBpC7,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,2
18,97,jVBpC7,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,2
19,46,jVBpC7,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,1
20,12,jVBpC7,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,2
21,3,jVBpC7,False,False,False,0,Naive,Naive,Naive,420,Unknown,Unknown,2
22,11,jVBpC7,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,2
23,14,jVBpC7,False,False,False,0,Naive,Naive,Naive,248,Unknown,Unknown,2
24,70,jVBpC7,False,False,False,0,Naive,Naive,Naive,35,Unknown,Unknown,2
25,49,jVBpC7,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,2
26,52,jVBpC7,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,2
27,62,jVBpC7,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,2
28,18,jVBpC7,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,1
29,73,jVBpC7,False,False,False,0,Naive,Naive,Naive,156,Unknown,Unknown,2
30,80,jVBpC7,False,False,False,0,Naive,Naive,Naive,164,Unknown,Unknown,2
31,93,jVBpC7,False,False,False,0,Naive,Naive,Naive,268,Unknown,Unknown,1
32,37,jVBpC7,False,False,False,0,Naive,Naive,Naive,177,Unknown,Unknown,2
33,87,jVBpC7,False,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,1
34,35,jVBpC7,False,False,False,0,Naive,Naive,Naive,154,Unknown,Unknown,1
35,96,jVBpC7,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,1
36,89,jVBpC7,False,False,False,0,Naive,Naive,Naive,132,Unknown,Unknown,2
37,17,jVBpC7,False,False,False,0,Naive,Naive,Naive,147,Unknown,Unknown,2
38,44,jVBpC7,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,1
