,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,46,jhilYw,False,False,False,0,Naive,Naive,Naive,302,Unknown,Unknown,2
1,70,jhilYw,False,False,False,0,Naive,Naive,Naive,343,Unknown,Unknown,1
2,56,jhilYw,False,False,False,0,Naive,Naive,Naive,169,Unknown,Unknown,2
3,12,jhilYw,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,2
4,65,jhilYw,False,False,False,0,Naive,Naive,Naive,389,Unknown,Unknown,1
5,88,jhilYw,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,1
6,53,jhilYw,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,1
7,79,jhilYw,False,False,False,0,Naive,Naive,Naive,346,Unknown,Unknown,1
8,14,jhilYw,False,False,False,0,Naive,Naive,Naive,231,Unknown,Unknown,2
9,23,jhilYw,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,2
10,86,jhilYw,False,False,False,0,Naive,Naive,Naive,342,Unknown,Unknown,1
11,44,jhilYw,False,False,False,0,Naive,Naive,Naive,163,Unknown,Unknown,1
12,30,jhilYw,False,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,2
13,19,jhilYw,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,1
14,32,jhilYw,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,1
15,63,jhilYw,False,False,False,0,Naive,Naive,Naive,126,Unknown,Unknown,1
16,74,jhilYw,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,2
17,26,jhilYw,False,False,False,0,Naive,Naive,Naive,369,Unknown,Unknown,1
18,28,jhilYw,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,2
19,40,jhilYw,False,False,False,0,Naive,Naive,Naive,508,Unknown,Unknown,1
20,22,jhilYw,False,False,False,0,Naive,Naive,Naive,376,Unknown,Unknown,1
21,95,jhilYw,False,False,False,0,Naive,Naive,Naive,348,Unknown,Unknown,1
22,10,jhilYw,False,False,False,0,Naive,Naive,Naive,70,Unknown,Unknown,1
23,36,jhilYw,False,False,False,0,Naive,Naive,Naive,445,Unknown,Unknown,2
24,34,jhilYw,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,1
25,91,jhilYw,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,2
26,2,jhilYw,False,False,False,0,Naive,Naive,Naive,66,Unknown,Unknown,2
27,69,jhilYw,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,2
28,48,jhilYw,False,False,False,0,Naive,Naive,Naive,245,Unknown,Unknown,2
29,81,jhilYw,False,False,False,1,Naive,Naive,Naive,483,Unknown,Unknown,1
30,96,jhilYw,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,1
31,105,jhilYw,False,False,False,0,Naive,Naive,Naive,14,38,False,2
32,77,jhilYw,False,False,False,0,Naive,Naive,Naive,434,Unknown,Unknown,1
33,52,jhilYw,False,False,False,0,Naive,Naive,Naive,110,Unknown,Unknown,2
34,76,jhilYw,False,True,True,1,251,0,social,270,Unknown,Unknown,1
35,21,jhilYw,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,1
36,98,jhilYw,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,1
37,78,jhilYw,False,False,False,0,Naive,Naive,Naive,396,Unknown,Unknown,2
38,54,jhilYw,False,False,False,0,Naive,Naive,Naive,223,Unknown,Unknown,1
39,11,jhilYw,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,1
40,62,jhilYw,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,2
41,93,jhilYw,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,2
42,5,jhilYw,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,2
43,51,jhilYw,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,1
44,61,jhilYw,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,1
45,29,jhilYw,False,False,False,1,Naive,Naive,Naive,451,Unknown,Unknown,2
