,source,target
0,95.0,88.0
0,4.0,45.0
0,19.0,5.0
0,92.0,42.0
0,100.0,89.0
0,94.0,2.0
0,76.0,69.0
0,98.0,28.0
0,81.0,38.0
0,40.0,58.0
0,71.0,64.0
0,15.0,87.0
0,3.0,41.0
0,33.0,75.0
0,75.0,40.0
0,51.0,80.0
0,20.0,70.0
0,47.0,73.0
0,4.0,66.0
0,99.0,4.0
0,23.0,82.0
0,37.0,1.0
0,69.0,92.0
0,57.0,91.0
0,66.0,57.0
0,36.0,50.0
0,61.0,7.0
0,70.0,48.0
0,9.0,96.0
0,77.0,10.0
0,92.0,42.0
0,86.0,41.0
0,10.0,69.0
0,73.0,13.0
0,10.0,103.0
0,45.0,91.0
0,54.0,88.0
0,64.0,101.0
0,102.0,49.0
0,33.0,58.0
0,45.0,66.0
0,59.0,7.0
0,27.0,82.0
0,74.0,8.0
0,101.0,71.0
0,36.0,47.0
0,33.0,40.0
0,53.0,29.0
0,81.0,11.0
0,61.0,59.0
0,4.0,1.0
0,52.0,78.0
0,97.0,80.0
0,62.0,104.0
0,77.0,10.0
0,104.0,44.0
0,88.0,54.0
0,35.0,105.0
0,91.0,57.0
0,92.0,42.0
0,4.0,99.0
0,102.0,49.0
0,8.0,17.0
0,20.0,48.0
0,42.0,103.0
0,66.0,91.0
0,57.0,35.0
0,68.0,41.0
0,40.0,33.0
0,47.0,50.0
0,102.0,106.0
0,33.0,61.0
0,55.0,27.0
0,64.0,101.0
0,94.0,8.0
0,84.0,73.0
0,100.0,12.0
0,31.0,100.0
0,67.0,21.0
0,26.0,68.0
0,105.0,35.0
0,107.0,91.0
0,12.0,100.0
0,31.0,12.0
0,5.0,31.0
0,91.0,105.0
0,64.0,101.0
0,66.0,99.0
0,104.0,92.0
0,38.0,37.0
0,78.0,52.0
0,87.0,106.0
0,14.0,40.0
0,57.0,107.0
0,3.0,21.0
0,9.0,96.0
0,74.0,17.0
0,106.0,102.0
0,92.0,109.0
0,104.0,69.0
0,11.0,81.0
0,14.0,46.0
0,75.0,58.0
0,17.0,84.0
0,111.0,103.0
0,10.0,42.0
0,55.0,27.0
0,4.0,57.0
0,107.0,99.0
0,88.0,35.0
0,1.0,77.0
0,54.0,91.0
0,6.0,49.0
0,52.0,108.0
0,105.0,54.0
0,96.0,9.0
0,12.0,5.0
0,73.0,50.0
0,42.0,92.0
0,29.0,53.0
0,55.0,27.0
0,109.0,111.0
0,57.0,107.0
0,91.0,105.0
0,58.0,112.0
0,12.0,89.0
0,49.0,106.0
0,107.0,4.0
0,74.0,17.0
0,63.0,38.0
0,106.0,87.0
0,109.0,104.0
0,111.0,42.0
0,92.0,103.0
0,104.0,69.0
0,103.0,109.0
0,44.0,81.0
0,66.0,107.0
0,92.0,69.0
0,78.0,108.0
0,38.0,95.0
0,30.0,3.0
0,62.0,37.0
0,42.0,103.0
0,7.0,89.0
0,93.0,98.0
0,40.0,112.0
0,87.0,24.0
0,91.0,54.0
0,45.0,75.0
0,100.0,31.0
0,57.0,66.0
0,94.0,7.0
0,1.0,9.0
0,69.0,96.0
0,109.0,111.0
0,114.0,92.0
0,66.0,107.0
0,96.0,115.0
0,24.0,87.0
0,78.0,108.0
0,91.0,57.0
0,64.0,101.0
0,38.0,95.0
0,87.0,102.0
0,99.0,54.0
0,92.0,109.0
0,33.0,46.0
0,62.0,81.0
0,59.0,14.0
0,94.0,8.0
0,109.0,111.0
0,114.0,116.0
0,27.0,110.0
0,86.0,20.0
0,81.0,113.0
0,84.0,36.0
0,41.0,15.0
0,74.0,59.0
0,9.0,69.0
0,52.0,93.0
0,37.0,114.0
0,31.0,100.0
0,62.0,37.0
0,44.0,92.0
0,116.0,104.0
0,30.0,3.0
0,92.0,103.0
0,44.0,103.0
0,75.0,45.0
0,27.0,55.0
0,4.0,35.0
0,114.0,116.0
0,64.0,101.0
0,114.0,111.0
0,111.0,92.0
0,85.0,39.0
0,79.0,38.0
0,64.0,88.0
0,78.0,108.0
0,17.0,7.0
0,81.0,44.0
0,9.0,115.0
0,103.0,114.0
0,107.0,91.0
0,66.0,107.0
0,58.0,112.0
0,64.0,10.0
0,67.0,3.0
0,86.0,20.0
0,87.0,102.0
0,2.0,5.0
0,104.0,109.0
0,109.0,37.0
0,14.0,118.0
0,52.0,98.0
0,108.0,117.0
0,108.0,32.0
0,93.0,8.0
0,9.0,4.0
