,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,95,mGbi8D,False,False,False,0,Naive,Naive,Naive,331,Unknown,Unknown,1
1,4,mGbi8D,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,2
2,67,mGbi8D,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,1
3,7,mGbi8D,False,False,False,0,Naive,Naive,Naive,457,Unknown,Unknown,1
4,87,mGbi8D,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,2
5,25,mGbi8D,False,False,False,0,Naive,Naive,Naive,240,Unknown,Unknown,1
6,27,mGbi8D,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,1
7,57,mGbi8D,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
8,58,mGbi8D,False,False,False,0,Naive,Naive,Naive,491,Unknown,Unknown,2
9,76,mGbi8D,False,False,False,1,Naive,Naive,Naive,392,Unknown,Unknown,2
10,8,mGbi8D,False,False,False,0,Naive,Naive,Naive,383,Unknown,Unknown,1
11,17,mGbi8D,False,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,1
12,89,mGbi8D,False,False,False,0,Naive,Naive,Naive,278,Unknown,Unknown,2
13,11,mGbi8D,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,1
14,62,mGbi8D,False,False,False,0,Naive,Naive,Naive,39,Unknown,Unknown,2
15,52,mGbi8D,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,2
16,98,mGbi8D,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,1
17,70,mGbi8D,False,False,False,0,Naive,Naive,Naive,273,Unknown,Unknown,2
18,16,mGbi8D,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,1
19,60,mGbi8D,False,False,False,0,Naive,Naive,Naive,500,Unknown,Unknown,2
20,45,mGbi8D,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,2
21,65,mGbi8D,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,2
22,78,mGbi8D,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,2
23,94,mGbi8D,False,False,False,0,Naive,Naive,Naive,84,Unknown,Unknown,2
24,85,mGbi8D,False,False,False,0,Naive,Naive,Naive,216,Unknown,Unknown,2
25,18,mGbi8D,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,1
26,81,mGbi8D,False,False,False,0,Naive,Naive,Naive,245,Unknown,Unknown,2
27,68,mGbi8D,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,2
28,66,mGbi8D,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,1
29,30,mGbi8D,False,False,False,0,Naive,Naive,Naive,328,Unknown,Unknown,1
30,36,mGbi8D,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,2
31,63,mGbi8D,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,1
32,23,mGbi8D,False,False,False,0,Naive,Naive,Naive,137,Unknown,Unknown,1
33,1,mGbi8D,False,False,False,0,Naive,Naive,Naive,234,Unknown,Unknown,2
34,12,mGbi8D,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,2
35,54,mGbi8D,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,2
36,46,mGbi8D,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,2
37,5,mGbi8D,False,False,False,0,Naive,Naive,Naive,312,Unknown,Unknown,1
38,22,mGbi8D,False,False,False,2,Naive,Naive,Naive,234,Unknown,Unknown,1
39,42,mGbi8D,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,1
40,53,mGbi8D,False,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,1
41,49,mGbi8D,False,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,1
42,79,mGbi8D,False,False,False,0,Naive,Naive,Naive,307,Unknown,Unknown,2
43,38,mGbi8D,False,False,False,0,Naive,Naive,Naive,64,Unknown,Unknown,2
44,20,mGbi8D,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,2
45,61,mGbi8D,False,False,False,0,Naive,Naive,Naive,189,Unknown,Unknown,1
46,75,mGbi8D,False,False,False,0,Naive,Naive,Naive,317,Unknown,Unknown,1
47,29,mGbi8D,False,False,False,0,Naive,Naive,Naive,186,Unknown,Unknown,1
48,35,mGbi8D,False,False,False,0,Naive,Naive,Naive,106,Unknown,Unknown,2
49,15,mGbi8D,False,False,False,0,Naive,Naive,Naive,212,Unknown,Unknown,2
50,55,mGbi8D,False,False,False,2,Naive,Naive,Naive,291,Unknown,Unknown,1
51,56,mGbi8D,False,False,False,0,Naive,Naive,Naive,216,Unknown,Unknown,2
52,91,mGbi8D,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,2
53,34,mGbi8D,False,False,False,0,Naive,Naive,Naive,368,Unknown,Unknown,1
54,6,mGbi8D,False,False,False,0,Naive,Naive,Naive,209,Unknown,Unknown,2
55,96,mGbi8D,False,False,False,0,Naive,Naive,Naive,218,Unknown,Unknown,2
56,9,mGbi8D,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,1
57,13,mGbi8D,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,1
58,39,mGbi8D,False,False,False,0,Naive,Naive,Naive,487,Unknown,Unknown,1
59,120,mGbi8D,False,False,False,0,Naive,Naive,Naive,26,115,False,2
60,37,mGbi8D,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,2
61,97,mGbi8D,False,False,False,0,Naive,Naive,Naive,452,Unknown,Unknown,1
62,83,mGbi8D,False,False,False,0,Naive,Naive,Naive,213,Unknown,Unknown,1
63,21,mGbi8D,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,1
64,92,mGbi8D,False,False,False,0,Naive,Naive,Naive,325,Unknown,Unknown,2
