,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,6,nZpHNr,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,1
1,43,nZpHNr,False,False,False,0,Naive,Naive,Naive,358,Unknown,Unknown,2
2,19,nZpHNr,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,1
3,1,nZpHNr,False,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,2
4,50,nZpHNr,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,2
5,76,nZpHNr,False,False,False,0,Naive,Naive,Naive,160,Unknown,Unknown,1
6,53,nZpHNr,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,2
7,37,nZpHNr,False,False,False,0,Naive,Naive,Naive,326,Unknown,Unknown,1
8,21,nZpHNr,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,2
9,77,nZpHNr,False,False,False,0,Naive,Naive,Naive,163,Unknown,Unknown,2
10,42,nZpHNr,False,False,False,0,Naive,Naive,Naive,485,Unknown,Unknown,1
11,59,nZpHNr,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,1
12,84,nZpHNr,False,False,False,0,Naive,Naive,Naive,283,Unknown,Unknown,1
13,78,nZpHNr,False,False,False,0,Naive,Naive,Naive,224,Unknown,Unknown,2
14,68,nZpHNr,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,1
15,10,nZpHNr,False,False,False,0,Naive,Naive,Naive,360,Unknown,Unknown,1
16,45,nZpHNr,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,1
17,14,nZpHNr,False,False,False,0,Naive,Naive,Naive,434,Unknown,Unknown,1
18,46,nZpHNr,False,False,False,0,Naive,Naive,Naive,387,Unknown,Unknown,1
19,58,nZpHNr,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,2
20,98,nZpHNr,False,False,False,0,Naive,Naive,Naive,127,Unknown,Unknown,1
21,31,nZpHNr,False,False,False,0,Naive,Naive,Naive,175,Unknown,Unknown,1
22,90,nZpHNr,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,1
23,70,nZpHNr,False,False,False,0,Naive,Naive,Naive,512,Unknown,Unknown,1
24,73,nZpHNr,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,1
25,89,nZpHNr,False,False,False,0,Naive,Naive,Naive,288,Unknown,Unknown,1
26,51,nZpHNr,False,False,False,0,Naive,Naive,Naive,350,Unknown,Unknown,2
27,30,nZpHNr,False,False,False,0,Naive,Naive,Naive,176,Unknown,Unknown,2
28,41,nZpHNr,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,1
29,96,nZpHNr,False,False,False,0,Naive,Naive,Naive,338,Unknown,Unknown,2
30,66,nZpHNr,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,2
31,9,nZpHNr,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,1
32,71,nZpHNr,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,2
33,11,nZpHNr,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,2
34,79,nZpHNr,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,2
35,13,nZpHNr,False,False,False,0,Naive,Naive,Naive,240,Unknown,Unknown,1
36,57,nZpHNr,False,False,False,0,Naive,Naive,Naive,520,Unknown,Unknown,1
37,86,nZpHNr,False,False,False,2,Naive,Naive,Naive,284,Unknown,Unknown,2
38,34,nZpHNr,False,False,False,0,Naive,Naive,Naive,268,Unknown,Unknown,2
39,23,nZpHNr,False,False,False,0,Naive,Naive,Naive,472,Unknown,Unknown,1
40,27,nZpHNr,False,False,False,0,Naive,Naive,Naive,190,Unknown,Unknown,2
41,60,nZpHNr,False,False,False,0,Naive,Naive,Naive,100,Unknown,Unknown,2
42,4,nZpHNr,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,2
43,97,nZpHNr,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
44,95,nZpHNr,False,False,False,0,Naive,Naive,Naive,223,Unknown,Unknown,2
