,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,22,qlUQWm,False,False,False,0,Naive,Naive,Naive,240,Unknown,Unknown,1
1,7,qlUQWm,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,1
2,40,qlUQWm,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
3,73,qlUQWm,False,False,False,0,Naive,Naive,Naive,413,Unknown,Unknown,1
4,64,qlUQWm,False,False,False,0,Naive,Naive,Naive,90,Unknown,Unknown,2
5,16,qlUQWm,False,False,False,0,Naive,Naive,Naive,346,Unknown,Unknown,2
6,12,qlUQWm,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,1
7,8,qlUQWm,False,False,False,0,Naive,Naive,Naive,128,Unknown,Unknown,2
8,81,qlUQWm,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,1
9,45,qlUQWm,False,False,False,0,Naive,Naive,Naive,230,Unknown,Unknown,2
10,26,qlUQWm,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,2
11,2,qlUQWm,False,False,False,0,Naive,Naive,Naive,228,Unknown,Unknown,2
12,29,qlUQWm,False,False,False,0,Naive,Naive,Naive,338,Unknown,Unknown,1
13,69,qlUQWm,False,False,False,0,Naive,Naive,Naive,346,Unknown,Unknown,1
14,15,qlUQWm,False,False,False,0,Naive,Naive,Naive,343,Unknown,Unknown,1
15,89,qlUQWm,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,1
16,11,qlUQWm,False,False,False,0,Naive,Naive,Naive,131,Unknown,Unknown,1
17,53,qlUQWm,False,False,False,0,Naive,Naive,Naive,216,Unknown,Unknown,2
18,111,qlUQWm,False,False,False,0,Naive,Naive,Naive,4,103,False,1
19,88,qlUQWm,False,False,False,0,Naive,Naive,Naive,164,Unknown,Unknown,2
20,56,qlUQWm,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,1
21,74,qlUQWm,False,False,False,0,Naive,Naive,Naive,247,Unknown,Unknown,2
22,13,qlUQWm,False,False,False,0,Naive,Naive,Naive,109,Unknown,Unknown,2
23,97,qlUQWm,False,False,False,0,Naive,Naive,Naive,370,Unknown,Unknown,1
24,43,qlUQWm,False,False,False,0,Naive,Naive,Naive,317,Unknown,Unknown,1
25,90,qlUQWm,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,1
26,98,qlUQWm,False,False,False,0,Naive,Naive,Naive,126,Unknown,Unknown,2
27,33,qlUQWm,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,2
28,50,qlUQWm,False,False,False,0,Naive,Naive,Naive,355,Unknown,Unknown,2
29,24,qlUQWm,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,1
30,99,qlUQWm,False,False,False,0,Naive,Naive,Naive,118,Unknown,Unknown,1
31,6,qlUQWm,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,2
32,116,qlUQWm,False,False,False,0,Naive,Naive,Naive,8,9,False,2
33,20,qlUQWm,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,1
34,96,qlUQWm,False,False,False,0,Naive,Naive,Naive,401,Unknown,Unknown,1
35,36,qlUQWm,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,2
36,25,qlUQWm,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
37,71,qlUQWm,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,2
38,62,qlUQWm,False,False,False,0,Naive,Naive,Naive,182,Unknown,Unknown,2
39,80,qlUQWm,False,False,False,1,Naive,Naive,Naive,409,Unknown,Unknown,2
40,66,qlUQWm,False,False,False,0,Naive,Naive,Naive,488,Unknown,Unknown,2
41,65,qlUQWm,False,False,False,0,Naive,Naive,Naive,300,Unknown,Unknown,1
42,84,qlUQWm,False,False,False,0,Naive,Naive,Naive,377,Unknown,Unknown,1
43,58,qlUQWm,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,1
44,47,qlUQWm,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,2
45,5,qlUQWm,False,False,False,0,Naive,Naive,Naive,376,Unknown,Unknown,1
46,54,qlUQWm,False,False,False,0,Naive,Naive,Naive,328,Unknown,Unknown,1
47,14,qlUQWm,False,False,False,0,Naive,Naive,Naive,180,Unknown,Unknown,1
48,28,qlUQWm,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,2
49,35,qlUQWm,False,False,False,0,Naive,Naive,Naive,266,Unknown,Unknown,2
50,63,qlUQWm,False,False,False,0,Naive,Naive,Naive,464,Unknown,Unknown,2
51,1,qlUQWm,False,False,False,0,Naive,Naive,Naive,436,Unknown,Unknown,2
52,113,qlUQWm,False,False,False,0,Naive,Naive,Naive,20,31,False,2
53,48,qlUQWm,False,False,False,0,Naive,Naive,Naive,322,Unknown,Unknown,1
54,83,qlUQWm,False,False,False,1,Naive,Naive,Naive,379,Unknown,Unknown,2
55,37,qlUQWm,False,False,False,0,Naive,Naive,Naive,73,Unknown,Unknown,2
56,10,qlUQWm,False,False,False,0,Naive,Naive,Naive,235,Unknown,Unknown,2
57,55,qlUQWm,False,False,False,0,Naive,Naive,Naive,274,Unknown,Unknown,1
58,17,qlUQWm,False,False,False,0,Naive,Naive,Naive,526,Unknown,Unknown,1
59,72,qlUQWm,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,1
60,41,qlUQWm,False,False,False,0,Naive,Naive,Naive,333,Unknown,Unknown,1
61,34,qlUQWm,False,False,False,0,Naive,Naive,Naive,428,Unknown,Unknown,1
62,49,qlUQWm,False,False,False,0,Naive,Naive,Naive,145,Unknown,Unknown,2
63,19,qlUQWm,False,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,2
64,68,qlUQWm,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,1
65,32,qlUQWm,False,False,False,0,Naive,Naive,Naive,211,Unknown,Unknown,1
66,92,qlUQWm,False,False,False,0,Naive,Naive,Naive,517,Unknown,Unknown,1
67,39,qlUQWm,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
68,77,qlUQWm,False,False,False,0,Naive,Naive,Naive,268,Unknown,Unknown,2
69,9,qlUQWm,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,2
70,59,qlUQWm,False,False,False,0,Naive,Naive,Naive,196,Unknown,Unknown,1
71,44,qlUQWm,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,2
72,85,qlUQWm,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,2
73,82,qlUQWm,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,2
74,94,qlUQWm,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
75,18,qlUQWm,False,False,False,0,Naive,Naive,Naive,279,Unknown,Unknown,2
76,52,qlUQWm,False,False,False,0,Naive,Naive,Naive,103,Unknown,Unknown,1
77,79,qlUQWm,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,1
78,132,qlUQWm,False,False,False,0,Naive,Naive,Naive,33,83,False,2
79,21,qlUQWm,False,False,False,0,Naive,Naive,Naive,92,Unknown,Unknown,1
80,95,qlUQWm,False,False,False,0,Naive,Naive,Naive,319,Unknown,Unknown,2
81,119,qlUQWm,False,False,False,0,Naive,Naive,Naive,43,68,False,1
82,67,qlUQWm,False,False,False,3,Naive,Naive,Naive,427,Unknown,Unknown,1
83,134,qlUQWm,False,False,False,0,Naive,Naive,Naive,37,130,False,1
84,57,qlUQWm,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,2
85,3,qlUQWm,False,False,False,1,Naive,Naive,Naive,180,Unknown,Unknown,2
86,30,qlUQWm,False,False,False,0,Naive,Naive,Naive,523,Unknown,Unknown,1
87,70,qlUQWm,False,False,False,0,Naive,Naive,Naive,461,Unknown,Unknown,2
88,159,qlUQWm,False,False,False,0,Naive,Naive,Naive,30,114,False,1
89,61,qlUQWm,False,False,False,1,Naive,Naive,Naive,498,Unknown,Unknown,2
90,115,qlUQWm,False,False,False,0,Naive,Naive,Naive,56,111,False,2
91,93,qlUQWm,False,False,False,0,Naive,Naive,Naive,171,Unknown,Unknown,2
92,60,qlUQWm,False,False,False,1,Naive,Naive,Naive,322,Unknown,Unknown,2
93,46,qlUQWm,False,False,False,1,Naive,Naive,Naive,130,Unknown,Unknown,2
94,42,qlUQWm,False,False,False,0,Naive,Naive,Naive,144,Unknown,Unknown,1
95,122,qlUQWm,False,False,False,1,Naive,Naive,Naive,58,108,False,2
96,75,qlUQWm,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,2
97,131,qlUQWm,False,False,False,0,Naive,Naive,Naive,55,68,False,1
98,129,qlUQWm,False,False,False,0,Naive,Naive,Naive,57,58,False,2
99,78,qlUQWm,False,False,False,0,Naive,Naive,Naive,238,Unknown,Unknown,1
100,169,qlUQWm,False,False,False,2,Naive,Naive,Naive,38,150,False,1
101,161,qlUQWm,False,False,False,0,Naive,Naive,Naive,50,34,False,1
102,143,qlUQWm,False,False,False,0,Naive,Naive,Naive,61,119,False,1
103,157,qlUQWm,False,False,False,0,Naive,Naive,Naive,53,134,False,1
104,187,qlUQWm,False,False,False,0,Naive,Naive,Naive,29,150,False,2
105,118,qlUQWm,False,False,False,0,Naive,Naive,Naive,77,110,False,2
106,23,qlUQWm,False,False,False,1,Naive,Naive,Naive,569,Unknown,Unknown,1
107,137,qlUQWm,False,False,False,0,Naive,Naive,Naive,72,93,False,2
108,136,qlUQWm,False,False,False,0,Naive,Naive,Naive,72,79,False,1
109,27,qlUQWm,False,False,False,0,Naive,Naive,Naive,352,Unknown,Unknown,1
110,31,qlUQWm,False,False,False,0,Naive,Naive,Naive,508,Unknown,Unknown,2
111,104,qlUQWm,False,False,False,0,Naive,Naive,Naive,92,63,False,1
112,108,qlUQWm,False,False,False,2,Naive,Naive,Naive,91,10,False,2
113,125,qlUQWm,False,False,False,0,Naive,Naive,Naive,90,61,False,2
114,76,qlUQWm,False,False,False,0,Naive,Naive,Naive,155,Unknown,Unknown,1
115,130,qlUQWm,False,False,False,0,Naive,Naive,Naive,89,30,False,1
116,126,qlUQWm,False,False,False,0,Naive,Naive,Naive,95,114,False,1
117,102,qlUQWm,False,False,False,1,Naive,Naive,Naive,106,97,False,1
118,202,qlUQWm,False,False,False,2,Naive,Naive,Naive,31,182,False,2
119,114,qlUQWm,False,False,False,1,Naive,Naive,Naive,105,23,False,1
120,160,qlUQWm,False,False,False,0,Naive,Naive,Naive,82,52,False,1
121,158,qlUQWm,False,False,False,0,Naive,Naive,Naive,85,92,False,1
122,179,qlUQWm,False,False,False,1,Naive,Naive,Naive,66,168,False,2
123,105,qlUQWm,False,False,False,0,Naive,Naive,Naive,113,46,False,2
124,149,qlUQWm,False,False,False,1,Naive,Naive,Naive,93,124,False,2
125,133,qlUQWm,False,False,False,0,Naive,Naive,Naive,105,60,False,2
126,168,qlUQWm,False,False,False,0,Naive,Naive,Naive,81,146,False,2
127,206,qlUQWm,False,False,False,0,Naive,Naive,Naive,36,145,False,2
128,178,qlUQWm,False,False,False,0,Naive,Naive,Naive,75,123,False,2
129,123,qlUQWm,False,False,False,0,Naive,Naive,Naive,113,93,False,2
130,109,qlUQWm,False,False,False,1,Naive,Naive,Naive,120,52,False,1
131,120,qlUQWm,False,False,False,0,Naive,Naive,Naive,118,95,False,2
132,135,qlUQWm,False,False,False,1,Naive,Naive,Naive,111,107,False,2
133,154,qlUQWm,False,False,False,0,Naive,Naive,Naive,100,78,False,1
134,182,qlUQWm,False,False,False,0,Naive,Naive,Naive,79,164,False,2
135,195,qlUQWm,False,False,False,1,Naive,Naive,Naive,64,185,False,2
136,106,qlUQWm,False,False,False,0,Naive,Naive,Naive,127,2,False,2
137,146,qlUQWm,False,False,False,0,Naive,Naive,Naive,108,125,False,2
138,208,qlUQWm,False,False,False,0,Naive,Naive,Naive,44,182,False,2
139,101,qlUQWm,False,False,False,0,Naive,Naive,Naive,131,40,False,2
140,162,qlUQWm,False,False,False,0,Naive,Naive,Naive,101,149,False,2
141,165,qlUQWm,False,False,False,1,Naive,Naive,Naive,101,39,False,1
142,86,qlUQWm,False,False,False,0,Naive,Naive,Naive,289,Unknown,Unknown,2
143,152,qlUQWm,False,False,False,3,Naive,Naive,Naive,114,132,False,2
144,147,qlUQWm,False,False,False,0,Naive,Naive,Naive,118,34,False,1
145,91,qlUQWm,False,False,False,5,Naive,Naive,Naive,299,Unknown,Unknown,2
146,192,qlUQWm,False,False,False,0,Naive,Naive,Naive,80,191,False,2
147,139,qlUQWm,False,False,False,1,Naive,Naive,Naive,127,95,False,2
148,4,qlUQWm,False,False,False,0,Naive,Naive,Naive,175,Unknown,Unknown,1
149,138,qlUQWm,False,False,False,0,Naive,Naive,Naive,133,133,False,2
150,121,qlUQWm,False,False,False,1,Naive,Naive,Naive,143,105,False,2
151,172,qlUQWm,False,False,False,1,Naive,Naive,Naive,114,156,False,2
152,87,qlUQWm,False,False,False,0,Naive,Naive,Naive,197,Unknown,Unknown,2
153,51,qlUQWm,False,False,False,0,Naive,Naive,Naive,202,Unknown,Unknown,2
154,124,qlUQWm,False,False,False,0,Naive,Naive,Naive,147,75,False,2
155,205,qlUQWm,False,False,False,0,Naive,Naive,Naive,74,137,False,2
156,163,qlUQWm,False,False,False,1,Naive,Naive,Naive,125,107,False,2
157,186,qlUQWm,False,False,False,1,Naive,Naive,Naive,109,178,False,2
158,117,qlUQWm,False,False,False,0,Naive,Naive,Naive,156,57,False,2
159,181,qlUQWm,False,False,False,0,Naive,Naive,Naive,116,143,False,1
160,213,qlUQWm,False,False,False,2,Naive,Naive,Naive,70,207,False,2
161,223,qlUQWm,False,False,False,1,Naive,Naive,Naive,52,128,False,2
162,140,qlUQWm,False,True,True,0,25,43,inherited,148,3,False,2
163,227,qlUQWm,False,False,False,0,Naive,Naive,Naive,47,182,False,2
164,219,qlUQWm,False,False,False,0,Naive,Naive,Naive,56,213,False,2
165,112,qlUQWm,False,False,False,1,Naive,Naive,Naive,162,102,False,1
166,214,qlUQWm,False,True,True,1,25,125,inherited,67,189,False,2
167,156,qlUQWm,False,False,False,4,Naive,Naive,Naive,141,118,False,2
168,164,qlUQWm,False,False,False,5,Naive,Naive,Naive,135,142,False,2
169,145,qlUQWm,False,False,False,0,Naive,Naive,Naive,150,128,False,1
170,200,qlUQWm,False,False,False,2,Naive,Naive,Naive,100,169,False,2
171,230,qlUQWm,False,False,False,0,Naive,Naive,Naive,52,198,False,1
172,142,qlUQWm,False,False,False,1,Naive,Naive,Naive,157,141,False,2
173,171,qlUQWm,False,False,False,0,Naive,Naive,Naive,140,153,False,1
174,141,qlUQWm,False,False,False,0,Naive,Naive,Naive,164,108,False,2
175,180,qlUQWm,False,True,True,0,25,73,inherited,134,151,False,2
176,174,qlUQWm,False,False,False,1,Naive,Naive,Naive,140,156,False,2
177,173,qlUQWm,False,False,False,1,Naive,Naive,Naive,141,164,False,2
178,221,qlUQWm,False,False,False,0,Naive,Naive,Naive,74,198,False,2
179,110,qlUQWm,False,False,False,3,Naive,Naive,Naive,183,25,False,2
180,38,qlUQWm,False,False,False,4,Naive,Naive,Naive,328,Unknown,Unknown,1
181,128,qlUQWm,False,False,False,0,Naive,Naive,Naive,179,63,False,2
182,201,qlUQWm,False,False,False,1,Naive,Naive,Naive,116,200,False,2
183,100,qlUQWm,False,True,True,0,Naive,Naive,Naive,192,Unknown,Unknown,2
184,199,qlUQWm,False,False,False,2,Naive,Naive,Naive,124,185,False,2
185,204,qlUQWm,False,False,False,1,Naive,Naive,Naive,114,202,False,2
186,153,qlUQWm,False,False,False,1,Naive,Naive,Naive,170,78,False,1
187,203,qlUQWm,False,False,False,0,Naive,Naive,Naive,117,145,False,1
188,176,qlUQWm,False,False,False,1,Naive,Naive,Naive,154,67,False,2
189,151,qlUQWm,False,False,False,4,Naive,Naive,Naive,178,139,False,2
190,155,qlUQWm,False,False,False,1,Naive,Naive,Naive,177,134,False,1
191,278,qlUQWm,False,False,False,0,Naive,Naive,Naive,20,242,False,1
192,255,qlUQWm,False,False,False,0,Naive,Naive,Naive,49,141,False,2
193,183,qlUQWm,False,False,False,1,Naive,Naive,Naive,156,142,False,2
194,224,qlUQWm,False,False,False,1,Naive,Naive,Naive,92,172,False,2
195,231,qlUQWm,False,False,False,1,Naive,Naive,Naive,84,106,False,2
196,233,qlUQWm,False,False,False,4,Naive,Naive,Naive,82,150,False,2
197,197,qlUQWm,False,False,False,1,Naive,Naive,Naive,141,174,False,2
198,211,qlUQWm,False,False,False,2,Naive,Naive,Naive,116,200,False,1
199,216,qlUQWm,False,False,False,1,Naive,Naive,Naive,107,164,False,2
200,150,qlUQWm,False,False,False,0,Naive,Naive,Naive,190,95,False,2
201,222,qlUQWm,False,False,False,0,Naive,Naive,Naive,100,204,False,2
202,167,qlUQWm,False,False,False,1,Naive,Naive,Naive,178,159,False,1
203,166,qlUQWm,False,False,False,2,Naive,Naive,Naive,185,18,False,2
204,243,qlUQWm,False,False,False,0,Naive,Naive,Naive,85,217,False,2
205,190,qlUQWm,False,False,False,0,Naive,Naive,Naive,162,153,False,1
206,252,qlUQWm,False,False,False,0,Naive,Naive,Naive,69,218,False,2
207,196,qlUQWm,False,False,False,0,Naive,Naive,Naive,158,129,False,2
208,240,qlUQWm,False,False,False,3,Naive,Naive,Naive,94,198,False,2
209,103,qlUQWm,False,False,False,4,Naive,Naive,Naive,224,34,False,1
210,226,qlUQWm,False,False,False,1,Naive,Naive,Naive,109,168,False,2
211,210,qlUQWm,False,False,False,3,Naive,Naive,Naive,139,108,False,2
212,298,qlUQWm,False,False,False,2,Naive,Naive,Naive,21,277,False,2
213,245,qlUQWm,False,False,False,0,Naive,Naive,Naive,91,198,False,2
214,198,qlUQWm,False,False,False,1,Naive,Naive,Naive,163,197,False,2
215,170,qlUQWm,False,False,False,0,Naive,Naive,Naive,194,4,False,2
216,242,qlUQWm,False,False,False,3,Naive,Naive,Naive,96,184,False,1
217,209,qlUQWm,False,False,False,1,Naive,Naive,Naive,146,195,False,2
218,239,qlUQWm,False,False,False,0,Naive,Naive,Naive,102,186,False,1
219,175,qlUQWm,False,False,False,3,Naive,Naive,Naive,190,125,False,2
220,276,qlUQWm,False,False,False,0,Naive,Naive,Naive,53,257,False,2
221,234,qlUQWm,False,False,False,1,Naive,Naive,Naive,109,217,False,2
222,185,qlUQWm,False,False,False,6,Naive,Naive,Naive,186,174,False,2
223,236,qlUQWm,False,False,False,0,Naive,Naive,Naive,108,121,False,2
224,304,qlUQWm,False,False,False,0,Naive,Naive,Naive,18,299,False,2
225,184,qlUQWm,False,False,False,1,Naive,Naive,Naive,187,150,False,1
226,288,qlUQWm,False,False,False,1,Naive,Naive,Naive,43,277,False,2
227,148,qlUQWm,False,False,False,5,Naive,Naive,Naive,218,68,False,1
228,262,qlUQWm,False,False,False,0,Naive,Naive,Naive,76,230,False,1
229,220,qlUQWm,False,False,False,1,Naive,Naive,Naive,133,182,False,2
230,144,qlUQWm,False,False,False,1,Naive,Naive,Naive,227,136,False,1
231,228,qlUQWm,False,False,False,1,Naive,Naive,Naive,127,188,False,1
232,268,qlUQWm,False,False,False,1,Naive,Naive,Naive,81,230,False,1
233,263,qlUQWm,False,False,False,1,Naive,Naive,Naive,84,252,False,2
234,267,qlUQWm,False,False,False,3,Naive,Naive,Naive,88,212,False,2
235,332,qlUQWm,False,False,False,0,Naive,Naive,Naive,8,248,False,2
236,248,qlUQWm,False,False,False,1,Naive,Naive,Naive,110,219,False,2
237,280,qlUQWm,False,False,False,0,Naive,Naive,Naive,71,217,False,2
238,193,qlUQWm,False,False,False,3,Naive,Naive,Naive,194,178,False,2
239,225,qlUQWm,False,True,True,0,25,142,inherited,142,195,False,2
240,258,qlUQWm,False,False,False,0,Naive,Naive,Naive,99,235,False,1
241,257,qlUQWm,False,False,False,0,Naive,Naive,Naive,103,254,False,2
242,191,qlUQWm,False,False,False,4,Naive,Naive,Naive,202,23,False,2
243,218,qlUQWm,False,False,False,1,Naive,Naive,Naive,155,208,False,2
244,328,qlUQWm,False,False,False,0,Naive,Naive,Naive,24,322,False,2
245,244,qlUQWm,False,False,False,0,Naive,Naive,Naive,126,228,False,1
