,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,82,rzWXbi,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,2
1,67,rzWXbi,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,2
2,61,rzWXbi,False,False,False,0,Naive,Naive,Naive,237,Unknown,Unknown,1
3,30,rzWXbi,False,False,False,0,Naive,Naive,Naive,282,Unknown,Unknown,1
4,71,rzWXbi,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,1
5,46,rzWXbi,False,False,False,0,Naive,Naive,Naive,237,Unknown,Unknown,2
6,73,rzWXbi,False,False,False,0,Naive,Naive,Naive,161,Unknown,Unknown,1
7,64,rzWXbi,False,False,False,0,Naive,Naive,Naive,448,Unknown,Unknown,2
8,88,rzWXbi,False,False,False,0,Naive,Naive,Naive,68,Unknown,Unknown,2
9,27,rzWXbi,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
10,94,rzWXbi,False,False,False,0,Naive,Naive,Naive,411,Unknown,Unknown,1
11,10,rzWXbi,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,1
12,56,rzWXbi,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,2
13,63,rzWXbi,False,False,False,0,Naive,Naive,Naive,251,Unknown,Unknown,2
14,70,rzWXbi,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,2
15,16,rzWXbi,False,False,False,0,Naive,Naive,Naive,470,Unknown,Unknown,2
16,74,rzWXbi,False,False,False,0,Naive,Naive,Naive,305,Unknown,Unknown,1
17,97,rzWXbi,False,False,False,1,Naive,Naive,Naive,312,Unknown,Unknown,1
18,52,rzWXbi,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,1
19,35,rzWXbi,False,False,False,0,Naive,Naive,Naive,290,Unknown,Unknown,1
20,18,rzWXbi,False,False,False,0,Naive,Naive,Naive,500,Unknown,Unknown,2
21,17,rzWXbi,False,False,False,0,Naive,Naive,Naive,459,Unknown,Unknown,1
22,65,rzWXbi,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,2
23,76,rzWXbi,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,2
24,38,rzWXbi,False,False,False,1,Naive,Naive,Naive,238,Unknown,Unknown,1
25,29,rzWXbi,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,1
26,13,rzWXbi,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
27,57,rzWXbi,False,False,False,0,Naive,Naive,Naive,420,Unknown,Unknown,2
28,87,rzWXbi,False,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,2
29,96,rzWXbi,False,False,False,0,Naive,Naive,Naive,93,Unknown,Unknown,1
30,25,rzWXbi,False,False,False,0,Naive,Naive,Naive,76,Unknown,Unknown,1
31,37,rzWXbi,False,False,False,0,Naive,Naive,Naive,459,Unknown,Unknown,1
