,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,24,sNwVY4,False,False,False,0,Naive,Naive,Naive,429,Unknown,Unknown,1
1,84,sNwVY4,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
2,36,sNwVY4,False,False,False,0,Naive,Naive,Naive,236,Unknown,Unknown,1
3,41,sNwVY4,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,2
4,48,sNwVY4,False,False,False,0,Naive,Naive,Naive,235,Unknown,Unknown,2
5,73,sNwVY4,False,False,False,0,Naive,Naive,Naive,78,Unknown,Unknown,2
6,82,sNwVY4,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,1
7,75,sNwVY4,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,1
8,25,sNwVY4,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,2
9,68,sNwVY4,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,2
10,18,sNwVY4,False,False,False,0,Naive,Naive,Naive,491,Unknown,Unknown,2
11,21,sNwVY4,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,1
12,10,sNwVY4,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,1
13,72,sNwVY4,False,False,False,0,Naive,Naive,Naive,91,Unknown,Unknown,1
14,54,sNwVY4,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,1
15,39,sNwVY4,False,False,False,0,Naive,Naive,Naive,270,Unknown,Unknown,2
16,89,sNwVY4,False,False,False,0,Naive,Naive,Naive,70,Unknown,Unknown,2
17,74,sNwVY4,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,2
18,28,sNwVY4,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,1
19,7,sNwVY4,False,False,False,0,Naive,Naive,Naive,288,Unknown,Unknown,2
20,78,sNwVY4,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,2
21,61,sNwVY4,False,False,False,0,Naive,Naive,Naive,62,Unknown,Unknown,1
22,90,sNwVY4,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,2
23,53,sNwVY4,False,False,False,0,Naive,Naive,Naive,301,Unknown,Unknown,2
24,4,sNwVY4,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,1
25,2,sNwVY4,False,False,False,0,Naive,Naive,Naive,278,Unknown,Unknown,2
26,33,sNwVY4,False,False,False,0,Naive,Naive,Naive,341,Unknown,Unknown,2
27,50,sNwVY4,False,False,False,0,Naive,Naive,Naive,193,Unknown,Unknown,1
28,76,sNwVY4,False,False,False,0,Naive,Naive,Naive,250,Unknown,Unknown,2
29,96,sNwVY4,False,False,False,0,Naive,Naive,Naive,362,Unknown,Unknown,2
30,94,sNwVY4,False,False,False,0,Naive,Naive,Naive,500,Unknown,Unknown,1
31,56,sNwVY4,False,False,False,0,Naive,Naive,Naive,388,Unknown,Unknown,2
