,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,20,tHvvT4,False,False,False,0,Naive,Naive,Naive,193,Unknown,Unknown,2
1,58,tHvvT4,False,False,False,0,Naive,Naive,Naive,335,Unknown,Unknown,2
2,16,tHvvT4,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,1
3,89,tHvvT4,False,False,False,0,Naive,Naive,Naive,208,Unknown,Unknown,2
4,92,tHvvT4,False,False,False,0,Naive,Naive,Naive,372,Unknown,Unknown,1
5,33,tHvvT4,False,False,False,0,Naive,Naive,Naive,367,Unknown,Unknown,2
6,94,tHvvT4,False,False,False,0,Naive,Naive,Naive,194,Unknown,Unknown,1
7,40,tHvvT4,False,False,False,0,Naive,Naive,Naive,321,Unknown,Unknown,2
8,56,tHvvT4,False,False,False,0,Naive,Naive,Naive,119,Unknown,Unknown,2
9,7,tHvvT4,False,False,False,0,Naive,Naive,Naive,435,Unknown,Unknown,1
10,59,tHvvT4,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,1
11,85,tHvvT4,False,False,False,0,Naive,Naive,Naive,158,Unknown,Unknown,1
12,37,tHvvT4,False,False,False,0,Naive,Naive,Naive,374,Unknown,Unknown,2
13,76,tHvvT4,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,2
14,60,tHvvT4,False,False,False,0,Naive,Naive,Naive,490,Unknown,Unknown,2
15,29,tHvvT4,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
16,11,tHvvT4,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,2
17,3,tHvvT4,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,1
18,75,tHvvT4,False,False,False,0,Naive,Naive,Naive,114,Unknown,Unknown,1
19,15,tHvvT4,False,False,False,0,Naive,Naive,Naive,174,Unknown,Unknown,2
20,32,tHvvT4,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,2
21,93,tHvvT4,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,2
22,90,tHvvT4,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,2
23,62,tHvvT4,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,1
24,26,tHvvT4,False,False,False,0,Naive,Naive,Naive,83,Unknown,Unknown,1
25,55,tHvvT4,False,False,False,0,Naive,Naive,Naive,232,Unknown,Unknown,2
26,71,tHvvT4,False,False,False,0,Naive,Naive,Naive,165,Unknown,Unknown,1
27,9,tHvvT4,False,False,False,0,Naive,Naive,Naive,458,Unknown,Unknown,2
