,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,47,tfnzWu,False,False,False,0,Naive,Naive,Naive,394,Unknown,Unknown,2
1,99,tfnzWu,False,False,False,0,Naive,Naive,Naive,311,Unknown,Unknown,1
2,76,tfnzWu,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,1
3,54,tfnzWu,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,2
4,31,tfnzWu,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,2
5,42,tfnzWu,False,False,False,0,Naive,Naive,Naive,265,Unknown,Unknown,2
6,4,tfnzWu,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,2
7,69,tfnzWu,False,False,False,0,Naive,Naive,Naive,344,Unknown,Unknown,1
8,19,tfnzWu,False,False,False,0,Naive,Naive,Naive,503,Unknown,Unknown,2
9,89,tfnzWu,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,1
10,9,tfnzWu,False,False,False,0,Naive,Naive,Naive,186,Unknown,Unknown,2
11,98,tfnzWu,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
12,75,tfnzWu,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,1
13,26,tfnzWu,False,False,False,0,Naive,Naive,Naive,375,Unknown,Unknown,2
14,24,tfnzWu,False,False,False,0,Naive,Naive,Naive,105,Unknown,Unknown,2
15,14,tfnzWu,False,False,False,0,Naive,Naive,Naive,481,Unknown,Unknown,1
16,74,tfnzWu,False,False,False,0,Naive,Naive,Naive,339,Unknown,Unknown,1
17,29,tfnzWu,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,2
18,45,tfnzWu,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,1
19,94,tfnzWu,False,False,False,0,Naive,Naive,Naive,194,Unknown,Unknown,1
20,18,tfnzWu,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,1
21,38,tfnzWu,False,False,False,0,Naive,Naive,Naive,242,Unknown,Unknown,2
22,27,tfnzWu,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,2
23,79,tfnzWu,False,False,False,0,Naive,Naive,Naive,409,Unknown,Unknown,1
24,57,tfnzWu,False,False,False,0,Naive,Naive,Naive,370,Unknown,Unknown,1
25,53,tfnzWu,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,2
26,81,tfnzWu,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,2
27,68,tfnzWu,False,False,False,0,Naive,Naive,Naive,459,Unknown,Unknown,1
28,60,tfnzWu,False,False,False,0,Naive,Naive,Naive,412,Unknown,Unknown,1
29,61,tfnzWu,False,False,False,0,Naive,Naive,Naive,61,Unknown,Unknown,2
30,8,tfnzWu,False,False,False,0,Naive,Naive,Naive,367,Unknown,Unknown,2
31,28,tfnzWu,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,2
32,7,tfnzWu,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,2
33,37,tfnzWu,False,False,False,0,Naive,Naive,Naive,354,Unknown,Unknown,2
34,59,tfnzWu,False,False,False,0,Naive,Naive,Naive,340,Unknown,Unknown,1
35,5,tfnzWu,False,False,False,0,Naive,Naive,Naive,235,Unknown,Unknown,1
36,82,tfnzWu,False,False,False,0,Naive,Naive,Naive,498,Unknown,Unknown,2
37,113,tfnzWu,False,False,False,0,Naive,Naive,Naive,11,2,False,1
38,35,tfnzWu,False,False,False,0,Naive,Naive,Naive,408,Unknown,Unknown,2
39,84,tfnzWu,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,1
40,65,tfnzWu,False,False,False,0,Naive,Naive,Naive,178,Unknown,Unknown,1
41,36,tfnzWu,False,False,False,0,Naive,Naive,Naive,239,Unknown,Unknown,2
42,46,tfnzWu,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,2
