,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,97,tsuw3m,False,False,False,0,Naive,Naive,Naive,257,Unknown,Unknown,1
1,79,tsuw3m,False,False,False,0,Naive,Naive,Naive,111,Unknown,Unknown,1
2,35,tsuw3m,False,False,False,0,Naive,Naive,Naive,496,Unknown,Unknown,1
3,99,tsuw3m,False,False,False,0,Naive,Naive,Naive,315,Unknown,Unknown,2
4,96,tsuw3m,False,False,False,0,Naive,Naive,Naive,348,Unknown,Unknown,1
5,98,tsuw3m,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,1
6,59,tsuw3m,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,2
7,76,tsuw3m,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,2
8,67,tsuw3m,False,False,False,0,Naive,Naive,Naive,156,Unknown,Unknown,1
9,25,tsuw3m,False,False,False,0,Naive,Naive,Naive,161,Unknown,Unknown,2
10,83,tsuw3m,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
11,44,tsuw3m,False,False,False,0,Naive,Naive,Naive,287,Unknown,Unknown,2
12,90,tsuw3m,False,False,False,0,Naive,Naive,Naive,342,Unknown,Unknown,1
13,80,tsuw3m,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,1
14,34,tsuw3m,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,1
15,47,tsuw3m,False,False,False,0,Naive,Naive,Naive,484,Unknown,Unknown,1
16,40,tsuw3m,False,False,False,0,Naive,Naive,Naive,480,Unknown,Unknown,1
17,31,tsuw3m,False,False,False,0,Naive,Naive,Naive,206,Unknown,Unknown,1
18,20,tsuw3m,False,False,False,0,Naive,Naive,Naive,324,Unknown,Unknown,2
19,43,tsuw3m,False,False,False,0,Naive,Naive,Naive,443,Unknown,Unknown,1
20,5,tsuw3m,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,2
21,81,tsuw3m,False,False,False,0,Naive,Naive,Naive,337,Unknown,Unknown,1
22,9,tsuw3m,False,False,False,1,Naive,Naive,Naive,321,Unknown,Unknown,2
23,14,tsuw3m,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,2
24,19,tsuw3m,False,False,False,0,Naive,Naive,Naive,342,Unknown,Unknown,1
25,27,tsuw3m,False,False,False,2,Naive,Naive,Naive,427,Unknown,Unknown,1
26,3,tsuw3m,False,False,False,0,Naive,Naive,Naive,295,Unknown,Unknown,2
27,94,tsuw3m,False,False,False,0,Naive,Naive,Naive,162,Unknown,Unknown,2
28,49,tsuw3m,False,False,False,0,Naive,Naive,Naive,453,Unknown,Unknown,1
29,92,tsuw3m,False,False,False,0,Naive,Naive,Naive,451,Unknown,Unknown,2
30,18,tsuw3m,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
31,33,tsuw3m,False,False,False,0,Naive,Naive,Naive,344,Unknown,Unknown,2
32,15,tsuw3m,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,2
33,11,tsuw3m,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,2
34,64,tsuw3m,False,False,False,0,Naive,Naive,Naive,392,Unknown,Unknown,1
35,50,tsuw3m,False,False,False,0,Naive,Naive,Naive,226,Unknown,Unknown,2
36,26,tsuw3m,False,False,False,0,Naive,Naive,Naive,294,Unknown,Unknown,1
37,13,tsuw3m,False,False,False,0,Naive,Naive,Naive,521,Unknown,Unknown,2
38,6,tsuw3m,False,False,False,0,Naive,Naive,Naive,125,Unknown,Unknown,1
39,54,tsuw3m,False,False,False,0,Naive,Naive,Naive,346,Unknown,Unknown,1
40,95,tsuw3m,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,2
41,8,tsuw3m,False,False,False,0,Naive,Naive,Naive,449,Unknown,Unknown,1
42,16,tsuw3m,False,False,False,0,Naive,Naive,Naive,508,Unknown,Unknown,1
43,85,tsuw3m,False,False,False,0,Naive,Naive,Naive,373,Unknown,Unknown,1
44,56,tsuw3m,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,2
45,51,tsuw3m,False,False,False,0,Naive,Naive,Naive,298,Unknown,Unknown,1
46,77,tsuw3m,False,False,False,0,Naive,Naive,Naive,384,Unknown,Unknown,1
47,41,tsuw3m,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,2
48,46,tsuw3m,False,False,False,0,Naive,Naive,Naive,397,Unknown,Unknown,2
49,29,tsuw3m,False,False,False,0,Naive,Naive,Naive,503,Unknown,Unknown,2
50,93,tsuw3m,False,False,False,0,Naive,Naive,Naive,102,Unknown,Unknown,1
51,38,tsuw3m,False,False,False,2,Naive,Naive,Naive,489,Unknown,Unknown,1
52,66,tsuw3m,False,False,False,0,Naive,Naive,Naive,108,Unknown,Unknown,2
53,124,tsuw3m,False,False,False,0,Naive,Naive,Naive,13,118,False,1
54,65,tsuw3m,False,False,False,0,Naive,Naive,Naive,269,Unknown,Unknown,1
55,62,tsuw3m,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,1
56,4,tsuw3m,False,False,False,1,Naive,Naive,Naive,301,Unknown,Unknown,1
57,53,tsuw3m,False,False,False,0,Naive,Naive,Naive,305,Unknown,Unknown,2
58,73,tsuw3m,False,False,False,0,Naive,Naive,Naive,353,Unknown,Unknown,2
59,136,tsuw3m,False,False,False,1,Naive,Naive,Naive,12,95,False,2
60,10,tsuw3m,False,False,False,0,Naive,Naive,Naive,510,Unknown,Unknown,2
61,72,tsuw3m,False,False,False,0,Naive,Naive,Naive,143,Unknown,Unknown,1
62,30,tsuw3m,False,False,False,0,Naive,Naive,Naive,170,Unknown,Unknown,2
63,32,tsuw3m,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,2
64,21,tsuw3m,False,False,False,0,Naive,Naive,Naive,143,Unknown,Unknown,1
65,103,tsuw3m,False,False,False,0,Naive,Naive,Naive,41,34,False,1
66,28,tsuw3m,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,1
67,78,tsuw3m,False,True,True,2,179,41,social,181,Unknown,Unknown,2
68,61,tsuw3m,False,False,False,0,Naive,Naive,Naive,384,Unknown,Unknown,1
69,127,tsuw3m,False,False,False,0,Naive,Naive,Naive,28,93,False,1
70,142,tsuw3m,False,False,False,0,Naive,Naive,Naive,23,105,False,1
71,39,tsuw3m,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,1
72,58,tsuw3m,False,False,False,1,Naive,Naive,Naive,500,Unknown,Unknown,2
73,23,tsuw3m,False,False,False,0,Naive,Naive,Naive,462,Unknown,Unknown,2
74,119,tsuw3m,False,False,False,1,Naive,Naive,Naive,45,63,False,2
75,37,tsuw3m,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,1
76,57,tsuw3m,False,False,False,1,Naive,Naive,Naive,161,Unknown,Unknown,1
77,91,tsuw3m,False,False,False,0,Naive,Naive,Naive,293,Unknown,Unknown,1
78,45,tsuw3m,False,False,False,2,Naive,Naive,Naive,88,Unknown,Unknown,2
79,52,tsuw3m,False,False,False,0,Naive,Naive,Naive,230,Unknown,Unknown,1
80,2,tsuw3m,False,True,True,2,201,49,social,216,Unknown,Unknown,1
81,68,tsuw3m,False,False,False,0,Naive,Naive,Naive,145,Unknown,Unknown,2
82,84,tsuw3m,False,False,False,0,Naive,Naive,Naive,188,Unknown,Unknown,1
83,120,tsuw3m,False,False,False,0,Naive,Naive,Naive,57,57,False,2
84,70,tsuw3m,False,False,False,0,Naive,Naive,Naive,252,Unknown,Unknown,1
85,154,tsuw3m,False,False,False,0,Naive,Naive,Naive,46,4,False,2
86,171,tsuw3m,False,False,False,0,Naive,Naive,Naive,31,166,False,1
87,128,tsuw3m,False,False,False,1,Naive,Naive,Naive,61,107,False,1
88,170,tsuw3m,False,False,False,0,Naive,Naive,Naive,34,148,False,1
