,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,78,u8JOWl,False,False,False,0,Naive,Naive,Naive,389,Unknown,Unknown,1
1,83,u8JOWl,False,False,False,0,Naive,Naive,Naive,433,Unknown,Unknown,1
2,40,u8JOWl,False,False,False,0,Naive,Naive,Naive,215,Unknown,Unknown,1
3,93,u8JOWl,False,False,False,0,Naive,Naive,Naive,497,Unknown,Unknown,1
4,71,u8JOWl,False,False,False,0,Naive,Naive,Naive,190,Unknown,Unknown,2
5,55,u8JOWl,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
6,46,u8JOWl,False,False,False,0,Naive,Naive,Naive,309,Unknown,Unknown,1
7,39,u8JOWl,False,False,False,0,Naive,Naive,Naive,81,Unknown,Unknown,2
8,80,u8JOWl,False,False,False,0,Naive,Naive,Naive,422,Unknown,Unknown,2
9,75,u8JOWl,False,False,False,0,Naive,Naive,Naive,241,Unknown,Unknown,2
10,31,u8JOWl,False,False,False,0,Naive,Naive,Naive,357,Unknown,Unknown,2
11,69,u8JOWl,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,2
12,35,u8JOWl,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,2
13,87,u8JOWl,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,2
14,7,u8JOWl,False,False,False,0,Naive,Naive,Naive,414,Unknown,Unknown,2
15,3,u8JOWl,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,1
16,11,u8JOWl,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,1
17,29,u8JOWl,False,False,False,0,Naive,Naive,Naive,442,Unknown,Unknown,2
18,82,u8JOWl,False,False,False,0,Naive,Naive,Naive,244,Unknown,Unknown,1
19,12,u8JOWl,False,False,False,2,Naive,Naive,Naive,65,Unknown,Unknown,2
20,62,u8JOWl,False,False,False,0,Naive,Naive,Naive,463,Unknown,Unknown,2
21,13,u8JOWl,False,False,False,0,Naive,Naive,Naive,192,Unknown,Unknown,1
