,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,98,usyPQM,False,False,False,0,Naive,Naive,Naive,277,Unknown,Unknown,2
1,27,usyPQM,False,False,False,0,Naive,Naive,Naive,207,Unknown,Unknown,1
2,77,usyPQM,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,2
3,96,usyPQM,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,2
4,75,usyPQM,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,2
5,41,usyPQM,False,False,False,0,Naive,Naive,Naive,61,Unknown,Unknown,2
6,30,usyPQM,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,1
7,65,usyPQM,False,False,False,0,Naive,Naive,Naive,286,Unknown,Unknown,2
8,31,usyPQM,False,False,False,0,Naive,Naive,Naive,382,Unknown,Unknown,2
9,43,usyPQM,False,False,False,0,Naive,Naive,Naive,202,Unknown,Unknown,1
10,28,usyPQM,False,False,False,0,Naive,Naive,Naive,465,Unknown,Unknown,1
11,19,usyPQM,False,False,False,0,Naive,Naive,Naive,478,Unknown,Unknown,2
12,17,usyPQM,False,False,False,0,Naive,Naive,Naive,466,Unknown,Unknown,2
13,3,usyPQM,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,1
14,5,usyPQM,False,False,False,0,Naive,Naive,Naive,91,Unknown,Unknown,2
15,12,usyPQM,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,1
16,40,usyPQM,False,False,False,0,Naive,Naive,Naive,489,Unknown,Unknown,1
17,57,usyPQM,False,False,False,0,Naive,Naive,Naive,386,Unknown,Unknown,2
18,51,usyPQM,False,False,False,0,Naive,Naive,Naive,250,Unknown,Unknown,2
19,89,usyPQM,False,False,False,1,Naive,Naive,Naive,152,Unknown,Unknown,1
20,78,usyPQM,False,False,False,0,Naive,Naive,Naive,415,Unknown,Unknown,1
21,46,usyPQM,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,2
22,87,usyPQM,False,False,False,1,Naive,Naive,Naive,211,Unknown,Unknown,2
23,18,usyPQM,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,2
24,35,usyPQM,False,False,False,0,Naive,Naive,Naive,471,Unknown,Unknown,2
25,45,usyPQM,False,False,False,0,Naive,Naive,Naive,416,Unknown,Unknown,2
26,94,usyPQM,False,False,False,1,Naive,Naive,Naive,453,Unknown,Unknown,2
27,48,usyPQM,False,False,False,0,Naive,Naive,Naive,258,Unknown,Unknown,2
28,42,usyPQM,False,False,False,1,Naive,Naive,Naive,348,Unknown,Unknown,1
29,83,usyPQM,False,False,False,0,Naive,Naive,Naive,516,Unknown,Unknown,1
30,29,usyPQM,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
31,36,usyPQM,False,False,False,0,Naive,Naive,Naive,365,Unknown,Unknown,1
32,67,usyPQM,False,False,False,0,Naive,Naive,Naive,479,Unknown,Unknown,1
33,2,usyPQM,False,False,False,0,Naive,Naive,Naive,165,Unknown,Unknown,2
34,63,usyPQM,False,False,False,0,Naive,Naive,Naive,303,Unknown,Unknown,2
35,21,usyPQM,False,False,False,0,Naive,Naive,Naive,24,Unknown,Unknown,1
36,32,usyPQM,False,False,False,0,Naive,Naive,Naive,132,Unknown,Unknown,2
37,16,usyPQM,False,False,False,0,Naive,Naive,Naive,470,Unknown,Unknown,2
38,61,usyPQM,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,2
39,70,usyPQM,False,False,False,0,Naive,Naive,Naive,474,Unknown,Unknown,2
40,109,usyPQM,False,False,False,0,Naive,Naive,Naive,22,43,False,1
41,38,usyPQM,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,2
42,20,usyPQM,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,2
43,69,usyPQM,False,False,False,0,Naive,Naive,Naive,513,Unknown,Unknown,1
44,76,usyPQM,False,False,False,0,Naive,Naive,Naive,91,Unknown,Unknown,1
45,50,usyPQM,False,False,False,0,Naive,Naive,Naive,185,Unknown,Unknown,1
46,44,usyPQM,False,False,False,0,Naive,Naive,Naive,248,Unknown,Unknown,2
47,52,usyPQM,False,False,False,0,Naive,Naive,Naive,442,Unknown,Unknown,2
48,54,usyPQM,False,False,False,0,Naive,Naive,Naive,368,Unknown,Unknown,2
49,15,usyPQM,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,2
50,81,usyPQM,False,False,False,0,Naive,Naive,Naive,400,Unknown,Unknown,1
51,26,usyPQM,False,False,False,0,Naive,Naive,Naive,267,Unknown,Unknown,2
52,66,usyPQM,False,False,False,0,Naive,Naive,Naive,446,Unknown,Unknown,1
53,58,usyPQM,False,False,False,0,Naive,Naive,Naive,248,Unknown,Unknown,2
54,10,usyPQM,False,False,False,0,Naive,Naive,Naive,370,Unknown,Unknown,2
55,9,usyPQM,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,1
56,14,usyPQM,False,False,False,0,Naive,Naive,Naive,440,Unknown,Unknown,2
57,62,usyPQM,False,False,False,0,Naive,Naive,Naive,274,Unknown,Unknown,1
58,49,usyPQM,False,False,False,0,Naive,Naive,Naive,510,Unknown,Unknown,2
59,93,usyPQM,False,False,False,0,Naive,Naive,Naive,263,Unknown,Unknown,2
60,74,usyPQM,False,False,False,0,Naive,Naive,Naive,395,Unknown,Unknown,1
61,11,usyPQM,False,False,False,0,Naive,Naive,Naive,138,Unknown,Unknown,1
62,60,usyPQM,False,False,False,0,Naive,Naive,Naive,441,Unknown,Unknown,2
63,59,usyPQM,False,False,False,0,Naive,Naive,Naive,540,Unknown,Unknown,1
64,79,usyPQM,False,False,False,0,Naive,Naive,Naive,151,Unknown,Unknown,1
65,125,usyPQM,False,False,False,0,Naive,Naive,Naive,41,112,False,1
66,34,usyPQM,False,False,False,0,Naive,Naive,Naive,380,Unknown,Unknown,2
67,6,usyPQM,False,False,False,0,Naive,Naive,Naive,312,Unknown,Unknown,1
68,13,usyPQM,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,1
69,73,usyPQM,False,False,False,0,Naive,Naive,Naive,262,Unknown,Unknown,1
70,39,usyPQM,False,False,False,0,Naive,Naive,Naive,391,Unknown,Unknown,2
71,97,usyPQM,False,False,False,1,Naive,Naive,Naive,151,Unknown,Unknown,1
72,86,usyPQM,False,False,False,0,Naive,Naive,Naive,246,Unknown,Unknown,1
73,91,usyPQM,False,False,False,0,Naive,Naive,Naive,254,Unknown,Unknown,1
74,64,usyPQM,False,False,False,1,Naive,Naive,Naive,343,Unknown,Unknown,1
75,174,usyPQM,False,False,False,0,Naive,Naive,Naive,3,128,False,1
76,110,usyPQM,False,False,False,0,Naive,Naive,Naive,64,83,False,2
77,148,usyPQM,False,False,False,0,Naive,Naive,Naive,38,68,False,2
78,71,usyPQM,False,False,False,0,Naive,Naive,Naive,89,Unknown,Unknown,1
79,8,usyPQM,False,False,False,0,Naive,Naive,Naive,417,Unknown,Unknown,1
80,47,usyPQM,False,False,False,1,Naive,Naive,Naive,382,Unknown,Unknown,1
81,131,usyPQM,False,False,False,0,Naive,Naive,Naive,55,127,False,1
82,95,usyPQM,False,False,False,0,Naive,Naive,Naive,306,Unknown,Unknown,2
83,84,usyPQM,False,False,False,0,Naive,Naive,Naive,108,Unknown,Unknown,2
84,116,usyPQM,False,False,False,0,Naive,Naive,Naive,69,40,False,1
85,134,usyPQM,False,False,False,0,Naive,Naive,Naive,57,56,False,2
86,103,usyPQM,False,False,False,0,Naive,Naive,Naive,78,15,False,2
87,92,usyPQM,False,False,False,0,Naive,Naive,Naive,367,Unknown,Unknown,1
88,90,usyPQM,False,False,False,0,Naive,Naive,Naive,121,Unknown,Unknown,2
89,37,usyPQM,False,False,False,0,Naive,Naive,Naive,389,Unknown,Unknown,2
90,72,usyPQM,False,False,False,0,Naive,Naive,Naive,153,Unknown,Unknown,1
91,129,usyPQM,False,False,False,1,Naive,Naive,Naive,72,109,False,1
92,82,usyPQM,False,False,False,0,Naive,Naive,Naive,160,Unknown,Unknown,2
93,85,usyPQM,False,False,False,0,Naive,Naive,Naive,167,Unknown,Unknown,1
94,33,usyPQM,False,False,False,0,Naive,Naive,Naive,160,Unknown,Unknown,1
95,135,usyPQM,False,False,False,0,Naive,Naive,Naive,74,76,False,1
96,7,usyPQM,False,False,False,1,Naive,Naive,Naive,115,Unknown,Unknown,1
97,159,usyPQM,False,False,False,0,Naive,Naive,Naive,52,153,False,2
98,99,usyPQM,False,False,False,0,Naive,Naive,Naive,245,Unknown,Unknown,1
99,133,usyPQM,False,False,False,0,Naive,Naive,Naive,78,113,False,2
100,179,usyPQM,False,False,False,0,Naive,Naive,Naive,26,145,False,2
101,4,usyPQM,False,False,False,0,Naive,Naive,Naive,139,Unknown,Unknown,1
102,151,usyPQM,False,False,False,2,Naive,Naive,Naive,70,80,False,2
103,121,usyPQM,False,False,False,0,Naive,Naive,Naive,94,119,False,2
104,172,usyPQM,False,False,False,0,Naive,Naive,Naive,44,156,False,1
105,144,usyPQM,False,False,False,0,Naive,Naive,Naive,78,140,False,2
106,171,usyPQM,False,False,False,0,Naive,Naive,Naive,47,112,False,1
107,154,usyPQM,False,False,False,0,Naive,Naive,Naive,68,110,False,2
108,143,usyPQM,False,False,False,4,Naive,Naive,Naive,81,126,False,2
109,122,usyPQM,False,False,False,0,Naive,Naive,Naive,98,56,False,2
110,118,usyPQM,False,False,False,0,Naive,Naive,Naive,100,103,False,2
111,189,usyPQM,False,False,False,0,Naive,Naive,Naive,30,145,False,2
112,170,usyPQM,False,False,False,0,Naive,Naive,Naive,53,105,False,1
113,117,usyPQM,False,False,False,0,Naive,Naive,Naive,103,49,False,2
114,22,usyPQM,False,False,False,1,Naive,Naive,Naive,252,Unknown,Unknown,1
115,68,usyPQM,False,False,False,0,Naive,Naive,Naive,323,Unknown,Unknown,2
116,153,usyPQM,False,False,False,0,Naive,Naive,Naive,75,150,False,2
117,102,usyPQM,False,False,False,0,Naive,Naive,Naive,113,86,False,1
