,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,95,v7IGXm,False,False,False,0,Naive,Naive,Naive,403,Unknown,Unknown,1
1,64,v7IGXm,False,False,False,0,Naive,Naive,Naive,165,Unknown,Unknown,2
2,43,v7IGXm,False,False,False,0,Naive,Naive,Naive,431,Unknown,Unknown,2
3,3,v7IGXm,False,False,False,0,Naive,Naive,Naive,253,Unknown,Unknown,1
4,27,v7IGXm,False,False,False,0,Naive,Naive,Naive,336,Unknown,Unknown,1
5,46,v7IGXm,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,1
6,13,v7IGXm,False,False,False,0,Naive,Naive,Naive,229,Unknown,Unknown,2
7,78,v7IGXm,False,False,False,0,Naive,Naive,Naive,99,Unknown,Unknown,2
8,36,v7IGXm,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
9,53,v7IGXm,False,False,False,0,Naive,Naive,Naive,467,Unknown,Unknown,1
10,50,v7IGXm,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,1
11,33,v7IGXm,False,False,False,0,Naive,Naive,Naive,257,Unknown,Unknown,1
12,71,v7IGXm,False,False,False,0,Naive,Naive,Naive,430,Unknown,Unknown,1
13,48,v7IGXm,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,2
14,1,v7IGXm,False,False,False,0,Naive,Naive,Naive,307,Unknown,Unknown,2
15,65,v7IGXm,False,False,False,0,Naive,Naive,Naive,255,Unknown,Unknown,2
16,87,v7IGXm,False,False,False,0,Naive,Naive,Naive,260,Unknown,Unknown,1
17,7,v7IGXm,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,2
18,93,v7IGXm,False,False,False,0,Naive,Naive,Naive,120,Unknown,Unknown,1
19,55,v7IGXm,False,False,False,0,Naive,Naive,Naive,148,Unknown,Unknown,2
20,35,v7IGXm,False,False,False,0,Naive,Naive,Naive,358,Unknown,Unknown,1
21,39,v7IGXm,False,False,False,0,Naive,Naive,Naive,316,Unknown,Unknown,2
22,16,v7IGXm,False,False,False,0,Naive,Naive,Naive,407,Unknown,Unknown,1
23,30,v7IGXm,False,False,False,0,Naive,Naive,Naive,492,Unknown,Unknown,1
24,49,v7IGXm,False,False,False,0,Naive,Naive,Naive,67,Unknown,Unknown,1
25,63,v7IGXm,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,1
26,70,v7IGXm,False,False,False,0,Naive,Naive,Naive,274,Unknown,Unknown,2
27,23,v7IGXm,False,False,False,0,Naive,Naive,Naive,363,Unknown,Unknown,2
28,45,v7IGXm,False,False,False,0,Naive,Naive,Naive,349,Unknown,Unknown,1
29,37,v7IGXm,False,False,False,0,Naive,Naive,Naive,327,Unknown,Unknown,1
30,19,v7IGXm,False,False,False,0,Naive,Naive,Naive,137,Unknown,Unknown,1
31,24,v7IGXm,False,False,False,0,Naive,Naive,Naive,235,Unknown,Unknown,1
32,42,v7IGXm,False,False,False,0,Naive,Naive,Naive,399,Unknown,Unknown,2
33,62,v7IGXm,False,False,False,0,Naive,Naive,Naive,40,Unknown,Unknown,2
34,73,v7IGXm,False,False,False,0,Naive,Naive,Naive,475,Unknown,Unknown,2
35,61,v7IGXm,False,False,False,0,Naive,Naive,Naive,272,Unknown,Unknown,2
36,91,v7IGXm,False,False,False,0,Naive,Naive,Naive,362,Unknown,Unknown,2
37,92,v7IGXm,False,False,False,0,Naive,Naive,Naive,221,Unknown,Unknown,2
38,11,v7IGXm,False,False,False,0,Naive,Naive,Naive,278,Unknown,Unknown,1
39,98,v7IGXm,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,2
40,66,v7IGXm,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,2
41,4,v7IGXm,False,False,False,0,Naive,Naive,Naive,511,Unknown,Unknown,1
42,90,v7IGXm,False,False,False,0,Naive,Naive,Naive,359,Unknown,Unknown,1
43,51,v7IGXm,False,False,False,0,Naive,Naive,Naive,338,Unknown,Unknown,2
44,99,v7IGXm,False,False,False,0,Naive,Naive,Naive,371,Unknown,Unknown,1
