,source,target
0,32.0,56.0
0,52.0,19.0
0,44.0,100.0
0,65.0,53.0
0,4.0,92.0
0,33.0,18.0
0,7.0,45.0
0,30.0,49.0
0,18.0,59.0
0,80.0,50.0
0,72.0,84.0
0,25.0,23.0
0,89.0,96.0
0,5.0,12.0
0,73.0,15.0
0,99.0,78.0
0,35.0,46.0
0,61.0,37.0
0,85.0,91.0
0,69.0,42.0
0,74.0,96.0
0,92.0,3.0
0,5.0,10.0
0,19.0,52.0
0,43.0,95.0
0,74.0,60.0
0,3.0,31.0
0,80.0,71.0
0,90.0,82.0
0,82.0,1.0
0,95.0,62.0
0,40.0,54.0
0,70.0,53.0
0,23.0,63.0
0,86.0,13.0
0,9.0,34.0
0,42.0,98.0
0,81.0,47.0
0,10.0,38.0
0,20.0,70.0
0,37.0,102.0
0,92.0,44.0
0,24.0,94.0
0,63.0,23.0
0,27.0,74.0
0,100.0,3.0
0,36.0,89.0
0,54.0,86.0
0,98.0,69.0
0,102.0,38.0
0,55.0,99.0
0,88.0,45.0
0,10.0,5.0
0,28.0,97.0
0,62.0,43.0
0,13.0,67.0
0,3.0,66.0
0,9.0,34.0
0,86.0,51.0
0,71.0,101.0
0,83.0,46.0
0,40.0,67.0
0,13.0,32.0
0,88.0,45.0
0,62.0,24.0
0,5.0,38.0
0,55.0,20.0
0,12.0,47.0
0,70.0,53.0
0,99.0,105.0
0,99.0,55.0
0,23.0,104.0
0,24.0,43.0
0,71.0,101.0
0,16.0,39.0
0,63.0,19.0
0,107.0,83.0
0,29.0,93.0
0,100.0,4.0
0,46.0,107.0
0,14.0,26.0
0,20.0,105.0
0,88.0,45.0
0,34.0,18.0
0,95.0,24.0
0,19.0,104.0
0,67.0,54.0
0,45.0,77.0
0,73.0,78.0
0,86.0,81.0
0,3.0,103.0
0,43.0,95.0
0,73.0,20.0
0,83.0,107.0
0,12.0,84.0
0,90.0,82.0
0,3.0,4.0
0,70.0,53.0
0,43.0,106.0
0,28.0,97.0
0,84.0,10.0
0,44.0,103.0
0,99.0,78.0
0,71.0,101.0
0,20.0,73.0
0,20.0,87.0
0,70.0,108.0
0,23.0,104.0
0,67.0,40.0
0,37.0,38.0
0,92.0,34.0
0,52.0,35.0
0,42.0,13.0
0,83.0,46.0
0,49.0,30.0
0,58.0,14.0
0,3.0,4.0
0,77.0,109.0
0,16.0,39.0
0,12.0,84.0
0,46.0,107.0
0,71.0,65.0
0,102.0,75.0
0,53.0,29.0
0,13.0,42.0
0,37.0,102.0
0,35.0,19.0
0,1.0,82.0
0,10.0,110.0
0,77.0,109.0
0,99.0,105.0
0,87.0,78.0
0,113.0,83.0
0,35.0,112.0
0,53.0,108.0
0,81.0,54.0
0,23.0,104.0
0,51.0,31.0
0,58.0,14.0
0,65.0,73.0
0,94.0,92.0
0,46.0,107.0
0,65.0,101.0
0,41.0,71.0
0,110.0,68.0
0,115.0,13.0
0,26.0,42.0
0,65.0,114.0
0,43.0,95.0
0,87.0,55.0
0,99.0,116.0
0,66.0,44.0
0,32.0,67.0
0,90.0,82.0
0,52.0,19.0
0,29.0,108.0
0,30.0,49.0
0,42.0,115.0
0,66.0,40.0
0,33.0,94.0
0,10.0,110.0
0,84.0,12.0
0,29.0,30.0
0,26.0,66.0
0,35.0,112.0
0,104.0,111.0
0,107.0,113.0
0,4.0,51.0
0,71.0,41.0
0,73.0,20.0
0,114.0,50.0
0,46.0,107.0
0,94.0,33.0
0,99.0,105.0
0,87.0,78.0
0,41.0,101.0
0,46.0,113.0
0,19.0,117.0
0,12.0,84.0
0,35.0,111.0
0,105.0,116.0
0,67.0,66.0
0,108.0,70.0
0,53.0,108.0
0,2.0,98.0
0,99.0,109.0
0,48.0,10.0
0,30.0,53.0
0,44.0,103.0
0,42.0,115.0
0,74.0,96.0
0,46.0,107.0
0,109.0,105.0
0,9.0,112.0
0,107.0,113.0
0,52.0,9.0
0,53.0,108.0
0,65.0,114.0
0,80.0,20.0
0,45.0,99.0
0,46.0,58.0
0,77.0,109.0
0,118.0,40.0
0,40.0,66.0
0,19.0,23.0
0,117.0,19.0
0,54.0,81.0
0,75.0,37.0
0,106.0,95.0
0,38.0,102.0
0,87.0,71.0
0,113.0,119.0
0,70.0,55.0
0,42.0,115.0
0,16.0,36.0
0,17.0,118.0
0,32.0,67.0
0,48.0,110.0
0,71.0,78.0
0,43.0,106.0
0,78.0,101.0
0,58.0,107.0
0,46.0,113.0
0,87.0,71.0
0,65.0,114.0
0,105.0,116.0
0,118.0,84.0
0,48.0,10.0
0,99.0,105.0
0,111.0,9.0
0,87.0,55.0
0,54.0,69.0
0,74.0,36.0
0,66.0,118.0
0,9.0,64.0
0,24.0,62.0
0,104.0,19.0
0,94.0,100.0
0,19.0,117.0
0,58.0,119.0
0,38.0,102.0
0,77.0,78.0
0,70.0,87.0
0,90.0,35.0
0,32.0,66.0
0,106.0,95.0
0,115.0,67.0
0,119.0,121.0
0,65.0,114.0
0,43.0,106.0
0,10.0,110.0
0,111.0,9.0
0,58.0,14.0
0,30.0,53.0
0,46.0,107.0
0,46.0,119.0
0,71.0,122.0
0,40.0,32.0
0,99.0,105.0
0,23.0,104.0
0,90.0,112.0
0,19.0,117.0
0,40.0,81.0
0,64.0,111.0
0,108.0,30.0
0,17.0,84.0
0,55.0,101.0
0,26.0,118.0
0,78.0,109.0
0,113.0,42.0
0,67.0,124.0
0,16.0,8.0
0,66.0,26.0
0,123.0,19.0
0,44.0,103.0
0,42.0,115.0
0,119.0,113.0
0,108.0,53.0
0,32.0,40.0
0,67.0,124.0
0,65.0,114.0
0,67.0,42.0
0,36.0,56.0
0,108.0,30.0
0,54.0,4.0
0,106.0,43.0
0,77.0,109.0
0,119.0,121.0
0,95.0,62.0
0,122.0,101.0
0,107.0,119.0
0,45.0,105.0
0,8.0,65.0
0,19.0,117.0
0,90.0,35.0
0,56.0,39.0
0,77.0,109.0
0,29.0,53.0
0,35.0,112.0
0,65.0,114.0
0,46.0,107.0
0,54.0,4.0
0,19.0,125.0
0,53.0,30.0
0,66.0,118.0
0,36.0,39.0
0,26.0,17.0
0,2.0,117.0
0,69.0,103.0
0,24.0,62.0
0,30.0,126.0
0,125.0,2.0
0,10.0,110.0
0,24.0,128.0
0,55.0,122.0
0,65.0,50.0
0,33.0,98.0
0,119.0,121.0
0,42.0,115.0
0,121.0,113.0
0,13.0,42.0
0,107.0,119.0
0,22.0,92.0
0,1.0,57.0
0,58.0,13.0
0,67.0,124.0
0,70.0,87.0
0,64.0,123.0
0,45.0,120.0
0,49.0,101.0
0,66.0,83.0
0,43.0,106.0
0,55.0,122.0
0,110.0,10.0
0,45.0,116.0
0,30.0,126.0
0,107.0,113.0
0,77.0,109.0
0,26.0,12.0
0,64.0,123.0
0,121.0,119.0
0,117.0,125.0
0,56.0,39.0
0,46.0,107.0
0,113.0,23.0
0,83.0,118.0
0,65.0,114.0
0,69.0,33.0
0,104.0,111.0
0,58.0,13.0
0,38.0,102.0
0,128.0,62.0
0,118.0,124.0
0,53.0,108.0
0,12.0,48.0
0,40.0,32.0
0,62.0,24.0
0,103.0,69.0
0,105.0,120.0
0,127.0,121.0
0,117.0,19.0
0,115.0,124.0
0,124.0,83.0
0,75.0,61.0
0,107.0,119.0
0,42.0,67.0
0,117.0,125.0
0,12.0,26.0
0,43.0,106.0
0,42.0,115.0
0,119.0,113.0
0,55.0,122.0
0,87.0,50.0
0,52.0,13.0
0,106.0,130.0
0,77.0,109.0
0,14.0,58.0
0,24.0,62.0
0,43.0,95.0
0,64.0,123.0
0,131.0,127.0
0,10.0,110.0
0,47.0,79.0
0,53.0,126.0
0,120.0,105.0
0,119.0,23.0
0,101.0,70.0
0,19.0,132.0
0,22.0,39.0
0,113.0,121.0
0,106.0,95.0
0,77.0,109.0
0,108.0,126.0
0,113.0,104.0
0,31.0,84.0
0,41.0,101.0
0,46.0,107.0
0,117.0,125.0
0,125.0,13.0
0,19.0,117.0
0,61.0,37.0
0,127.0,121.0
0,42.0,115.0
0,42.0,58.0
0,94.0,39.0
0,107.0,23.0
0,67.0,124.0
0,81.0,42.0
0,67.0,83.0
0,121.0,131.0
0,37.0,47.0
0,107.0,119.0
0,92.0,129.0
0,54.0,40.0
0,64.0,123.0
0,107.0,113.0
0,26.0,12.0
0,124.0,133.0
0,101.0,49.0
0,46.0,107.0
0,117.0,125.0
0,113.0,104.0
0,48.0,17.0
0,2.0,66.0
0,120.0,116.0
0,92.0,129.0
0,4.0,31.0
0,100.0,94.0
0,70.0,87.0
0,12.0,26.0
0,106.0,62.0
0,123.0,64.0
0,119.0,121.0
0,37.0,61.0
0,23.0,46.0
0,106.0,128.0
0,55.0,122.0
0,19.0,117.0
0,115.0,54.0
0,120.0,105.0
0,75.0,79.0
0,77.0,109.0
0,107.0,113.0
0,70.0,114.0
0,104.0,127.0
0,107.0,111.0
0,124.0,133.0
0,106.0,130.0
0,117.0,132.0
0,95.0,134.0
0,113.0,119.0
0,52.0,81.0
0,115.0,52.0
0,121.0,113.0
0,127.0,107.0
0,19.0,132.0
0,111.0,121.0
0,104.0,111.0
0,67.0,124.0
0,113.0,119.0
0,99.0,120.0
0,13.0,58.0
0,49.0,41.0
0,2.0,14.0
0,111.0,135.0
0,66.0,23.0
0,95.0,130.0
0,92.0,129.0
0,105.0,116.0
0,61.0,37.0
0,117.0,125.0
0,135.0,131.0
0,42.0,52.0
0,99.0,105.0
0,62.0,128.0
0,2.0,118.0
0,55.0,122.0
0,30.0,87.0
0,49.0,101.0
0,126.0,29.0
0,40.0,32.0
0,133.0,83.0
0,42.0,115.0
0,46.0,104.0
0,121.0,127.0
0,64.0,123.0
0,67.0,133.0
0,122.0,126.0
0,115.0,32.0
0,55.0,122.0
0,136.0,104.0
0,106.0,43.0
0,110.0,10.0
0,121.0,119.0
0,99.0,105.0
0,120.0,116.0
0,92.0,129.0
0,101.0,51.0
0,105.0,137.0
0,139.0,120.0
0,42.0,115.0
0,62.0,128.0
0,19.0,132.0
0,66.0,23.0
0,64.0,123.0
0,30.0,87.0
0,46.0,111.0
0,23.0,136.0
0,41.0,49.0
0,112.0,90.0
0,98.0,33.0
0,51.0,114.0
0,127.0,107.0
0,131.0,121.0
0,17.0,26.0
0,135.0,127.0
0,32.0,42.0
0,95.0,130.0
0,113.0,135.0
0,19.0,117.0
0,43.0,95.0
0,113.0,131.0
0,67.0,124.0
0,46.0,118.0
0,127.0,46.0
0,130.0,106.0
0,118.0,66.0
0,134.0,130.0
0,104.0,66.0
0,56.0,36.0
0,66.0,118.0
0,30.0,55.0
0,23.0,121.0
0,140.0,116.0
0,124.0,133.0
0,42.0,115.0
0,111.0,107.0
0,111.0,141.0
0,126.0,108.0
0,143.0,131.0
0,104.0,111.0
0,107.0,136.0
0,23.0,127.0
0,136.0,119.0
0,24.0,92.0
0,141.0,142.0
0,31.0,4.0
0,84.0,78.0
0,10.0,110.0
0,75.0,79.0
0,117.0,125.0
0,139.0,140.0
0,19.0,132.0
0,136.0,113.0
0,124.0,67.0
0,37.0,47.0
0,136.0,104.0
0,70.0,87.0
0,114.0,41.0
0,105.0,137.0
0,14.0,2.0
0,46.0,143.0
0,48.0,12.0
0,23.0,104.0
0,23.0,141.0
0,66.0,14.0
0,51.0,70.0
0,42.0,115.0
0,107.0,121.0
0,111.0,46.0
0,132.0,117.0
0,120.0,140.0
0,55.0,122.0
0,119.0,127.0
0,108.0,126.0
0,143.0,135.0
0,135.0,113.0
0,114.0,51.0
0,40.0,67.0
0,135.0,131.0
0,29.0,80.0
0,98.0,33.0
0,43.0,106.0
0,42.0,138.0
0,12.0,26.0
0,23.0,136.0
0,105.0,137.0
0,142.0,111.0
0,45.0,10.0
0,103.0,94.0
0,135.0,119.0
0,51.0,101.0
0,46.0,107.0
0,131.0,142.0
0,49.0,41.0
0,75.0,79.0
0,138.0,40.0
0,4.0,103.0
0,69.0,13.0
0,47.0,37.0
0,8.0,101.0
0,130.0,128.0
0,111.0,23.0
0,83.0,2.0
0,134.0,74.0
0,66.0,118.0
0,121.0,136.0
0,107.0,113.0
0,113.0,119.0
0,122.0,55.0
0,29.0,108.0
0,104.0,111.0
0,113.0,66.0
0,106.0,130.0
0,127.0,141.0
0,83.0,145.0
0,140.0,120.0
0,119.0,143.0
0,64.0,123.0
0,121.0,131.0
0,130.0,146.0
0,14.0,46.0
0,113.0,121.0
0,56.0,36.0
0,121.0,127.0
0,114.0,144.0
0,147.0,135.0
0,122.0,29.0
0,41.0,49.0
0,32.0,138.0
0,48.0,78.0
0,137.0,139.0
0,108.0,126.0
0,131.0,104.0
0,19.0,132.0
0,102.0,105.0
0,83.0,119.0
0,43.0,106.0
0,115.0,42.0
