,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,55,xKSnys,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
1,66,xKSnys,False,False,False,0,Naive,Naive,Naive,450,Unknown,Unknown,2
2,85,xKSnys,False,False,False,0,Naive,Naive,Naive,405,Unknown,Unknown,1
3,92,xKSnys,False,False,False,0,Naive,Naive,Naive,379,Unknown,Unknown,1
4,78,xKSnys,False,False,False,0,Naive,Naive,Naive,351,Unknown,Unknown,1
5,46,xKSnys,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,1
6,98,xKSnys,False,False,False,0,Naive,Naive,Naive,320,Unknown,Unknown,1
7,44,xKSnys,False,False,False,0,Naive,Naive,Naive,332,Unknown,Unknown,1
8,96,xKSnys,False,False,False,0,Naive,Naive,Naive,384,Unknown,Unknown,2
9,16,xKSnys,False,False,False,0,Naive,Naive,Naive,437,Unknown,Unknown,1
10,51,xKSnys,False,False,False,0,Naive,Naive,Naive,194,Unknown,Unknown,1
11,91,xKSnys,False,False,False,0,Naive,Naive,Naive,427,Unknown,Unknown,2
12,11,xKSnys,False,False,False,0,Naive,Naive,Naive,87,Unknown,Unknown,2
13,14,xKSnys,False,False,False,0,Naive,Naive,Naive,502,Unknown,Unknown,1
14,94,xKSnys,False,False,False,0,Naive,Naive,Naive,499,Unknown,Unknown,1
15,69,xKSnys,False,False,False,0,Naive,Naive,Naive,432,Unknown,Unknown,1
16,39,xKSnys,False,False,False,0,Naive,Naive,Naive,310,Unknown,Unknown,2
17,72,xKSnys,False,False,False,0,Naive,Naive,Naive,284,Unknown,Unknown,2
18,35,xKSnys,False,False,False,0,Naive,Naive,Naive,224,Unknown,Unknown,2
19,76,xKSnys,False,False,False,0,Naive,Naive,Naive,155,Unknown,Unknown,2
20,24,xKSnys,False,False,False,0,Naive,Naive,Naive,195,Unknown,Unknown,2
21,1,xKSnys,False,False,False,0,Naive,Naive,Naive,307,Unknown,Unknown,2
22,5,xKSnys,False,False,False,0,Naive,Naive,Naive,494,Unknown,Unknown,1
23,32,xKSnys,False,False,False,0,Naive,Naive,Naive,305,Unknown,Unknown,2
24,74,xKSnys,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,1
25,77,xKSnys,False,False,False,0,Naive,Naive,Naive,180,Unknown,Unknown,1
26,56,xKSnys,False,False,False,0,Naive,Naive,Naive,206,Unknown,Unknown,1
27,41,xKSnys,False,False,False,0,Naive,Naive,Naive,126,Unknown,Unknown,1
28,49,xKSnys,False,False,False,0,Naive,Naive,Naive,495,Unknown,Unknown,2
29,79,xKSnys,False,False,False,0,Naive,Naive,Naive,187,Unknown,Unknown,2
30,75,xKSnys,False,False,False,0,Naive,Naive,Naive,321,Unknown,Unknown,1
31,67,xKSnys,False,False,False,0,Naive,Naive,Naive,504,Unknown,Unknown,1
32,114,xKSnys,False,False,False,0,Naive,Naive,Naive,7,75,False,1
33,4,xKSnys,False,False,False,0,Naive,Naive,Naive,292,Unknown,Unknown,1
34,38,xKSnys,False,False,False,0,Naive,Naive,Naive,99,Unknown,Unknown,1
35,86,xKSnys,False,False,False,0,Naive,Naive,Naive,243,Unknown,Unknown,2
