,id,run_id,living,tool_user,learned_tool_use,tool_user_encounters,age_learned_tool_use,time_step_learned,learning_method,age,mother,mother_tool_user,hair
0,61,xeZwvr,False,False,False,0,Naive,Naive,Naive,381,Unknown,Unknown,1
1,72,xeZwvr,False,False,False,0,Naive,Naive,Naive,281,Unknown,Unknown,2
2,65,xeZwvr,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,1
3,53,xeZwvr,False,False,False,0,Naive,Naive,Naive,444,Unknown,Unknown,1
4,25,xeZwvr,False,False,False,0,Naive,Naive,Naive,364,Unknown,Unknown,1
5,64,xeZwvr,False,False,False,0,Naive,Naive,Naive,439,Unknown,Unknown,2
6,3,xeZwvr,False,False,False,0,Naive,Naive,Naive,259,Unknown,Unknown,1
7,5,xeZwvr,False,False,False,0,Naive,Naive,Naive,91,Unknown,Unknown,1
8,84,xeZwvr,False,False,False,0,Naive,Naive,Naive,419,Unknown,Unknown,2
9,13,xeZwvr,False,False,False,0,Naive,Naive,Naive,318,Unknown,Unknown,2
10,59,xeZwvr,False,False,False,0,Naive,Naive,Naive,131,Unknown,Unknown,2
11,67,xeZwvr,False,False,False,0,Naive,Naive,Naive,493,Unknown,Unknown,1
12,55,xeZwvr,False,False,False,0,Naive,Naive,Naive,460,Unknown,Unknown,2
13,95,xeZwvr,False,False,False,0,Naive,Naive,Naive,214,Unknown,Unknown,2
14,17,xeZwvr,False,False,False,0,Naive,Naive,Naive,45,Unknown,Unknown,2
15,58,xeZwvr,False,False,False,0,Naive,Naive,Naive,483,Unknown,Unknown,2
16,81,xeZwvr,False,False,False,0,Naive,Naive,Naive,223,Unknown,Unknown,2
17,63,xeZwvr,False,False,False,0,Naive,Naive,Naive,455,Unknown,Unknown,1
18,10,xeZwvr,False,False,False,0,Naive,Naive,Naive,385,Unknown,Unknown,1
19,82,xeZwvr,False,False,False,0,Naive,Naive,Naive,501,Unknown,Unknown,1
20,19,xeZwvr,False,False,False,2,Naive,Naive,Naive,320,Unknown,Unknown,2
21,16,xeZwvr,False,False,False,0,Naive,Naive,Naive,356,Unknown,Unknown,2
22,36,xeZwvr,False,False,False,0,Naive,Naive,Naive,418,Unknown,Unknown,2
23,20,xeZwvr,False,False,False,0,Naive,Naive,Naive,297,Unknown,Unknown,2
24,34,xeZwvr,False,False,False,0,Naive,Naive,Naive,120,Unknown,Unknown,2
25,11,xeZwvr,False,False,False,0,Naive,Naive,Naive,424,Unknown,Unknown,1
26,44,xeZwvr,False,False,False,0,Naive,Naive,Naive,77,Unknown,Unknown,1
27,23,xeZwvr,False,False,False,0,Naive,Naive,Naive,426,Unknown,Unknown,1
28,69,xeZwvr,False,False,False,0,Naive,Naive,Naive,398,Unknown,Unknown,2
29,18,xeZwvr,False,False,False,0,Naive,Naive,Naive,516,Unknown,Unknown,2
30,92,xeZwvr,False,False,False,0,Naive,Naive,Naive,376,Unknown,Unknown,2
31,27,xeZwvr,False,False,False,0,Naive,Naive,Naive,321,Unknown,Unknown,1
32,38,xeZwvr,False,False,False,0,Naive,Naive,Naive,473,Unknown,Unknown,2
33,60,xeZwvr,False,False,False,0,Naive,Naive,Naive,476,Unknown,Unknown,1
34,37,xeZwvr,False,False,False,0,Naive,Naive,Naive,168,Unknown,Unknown,1
35,49,xeZwvr,False,False,False,0,Naive,Naive,Naive,65,Unknown,Unknown,2
36,56,xeZwvr,False,False,False,0,Naive,Naive,Naive,69,Unknown,Unknown,2
37,47,xeZwvr,False,False,False,0,Naive,Naive,Naive,110,Unknown,Unknown,2
38,2,xeZwvr,False,False,False,0,Naive,Naive,Naive,523,Unknown,Unknown,1
39,87,xeZwvr,False,False,False,0,Naive,Naive,Naive,519,Unknown,Unknown,1
